"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-28",634,"2020-08-08",32,36,519,634,11,"3.48%"
"2020-07-29",644,"2020-08-10",32,37,534,646,12,"4.46%"
"2020-07-30",660,"2020-08-11",32,37,535,662,12,"3.94%"
"2020-07-31",667,"2020-08-12",32,38,545,677,12,"4.55%"
"2020-08-01",678,"2020-08-13",32,38,550,689,12,"4.32%"
"2020-08-02",686,"2020-08-13",32,38,569,689,11,"5.%"
"2020-08-03",700,"2020-08-15",33,38,587,709,12,"4.1%"
"2020-08-04",712,"2020-08-17",34,40,593,725,13,"4.55%"
"2020-08-05",727,"2020-08-18",35,40,594,744,13,"3.33%"
"2020-08-06",736,"2020-08-18",35,40,602,744,12,"3.52%"
"2020-08-07",751,"2020-08-19",35,41,626,757,12,"4.58%"
"2020-08-08",764,"2020-08-20",36,43,634,774,12,"5.%"
"2020-08-09",778,"2020-08-21",36,44,643,791,12,"5.41%"
"2020-08-10",788,"2020-08-21",37,44,646,791,11,"4.83%"
"2020-08-11",807,"2020-08-22",37,45,662,807,11,"5.52%"
"2020-08-12",814,"2020-08-23",38,45,677,823,11,"4.79%"
"2020-08-13",827,"2020-08-25",38,46,689,844,12,"5.16%"
"2020-08-14",836,"2020-08-25",38,46,692,844,11,"5.26%"
"2020-08-15",850,"2020-08-26",38,47,709,875,11,"5.42%"
"2020-08-16",868,"2020-08-26",38,47,711,875,10,"5.49%"
"2020-08-17",881,"2020-08-27",40,49,725,895,10,"5.29%"
"2020-08-18",901,"2020-08-28",40,49,744,910,10,"5.42%"
"2020-08-19",926,"2020-08-29",41,50,757,930,10,"5.2%"
"2020-08-20",933,"2020-08-30",43,53,774,944,10,"5.88%"
"2020-08-21",939,"2020-08-30",44,53,791,944,9,"5.88%"
"2020-08-22",968,"2020-09-01",45,55,807,974,10,"5.99%"
"2020-08-23",981,"2020-09-02",45,55,823,985,10,"6.17%"
"2020-08-24",996,"2020-09-04",45,58,824,1005,11,"7.18%"
"2020-08-25",1015,"2020-09-05",46,60,844,1028,11,"7.61%"
"2020-08-26",1050,"2020-09-07",47,63,875,1063,12,"8.51%"
"2020-08-27",1081,"2020-09-09",49,67,895,1117,13,"8.11%"
"2020-08-28",1092,"2020-09-09",49,67,910,1117,12,"8.7%"
"2020-08-29",1110,"2020-09-09",50,67,930,1117,11,"9.09%"
"2020-08-30",1118,"2020-09-10",53,67,944,1133,11,"7.41%"
"2020-08-31",1135,"2020-09-11",53,69,957,1148,11,"8.38%"
"2020-09-01",1156,"2020-09-12",55,69,974,1164,11,"7.37%"
"2020-09-02",1174,"2020-09-14",55,74,985,1192,12,"9.18%"
"2020-09-03",1198,"2020-09-15",57,75,994,1220,12,"7.96%"
"2020-09-04",1217,"2020-09-15",58,75,1005,1220,11,"7.91%"
"2020-09-05",1235,"2020-09-17",60,78,1028,1241,12,"8.45%"
"2020-09-06",1256,"2020-09-18",60,79,1034,1259,12,"8.44%"
"2020-09-07",1286,"2020-09-20",63,80,1063,1302,13,"7.11%"
"2020-09-08",1305,"2020-09-21",64,83,1078,1332,13,"7.48%"
"2020-09-09",1329,"2020-09-21",67,83,1117,1332,12,"7.44%"
"2020-09-10",1410,"2020-09-23",67,91,1133,1437,13,"7.89%"
"2020-09-11",1464,"2020-09-25",69,94,1148,1491,14,"7.29%"
"2020-09-12",1493,"2020-09-26",69,95,1164,1513,14,"7.45%"
"2020-09-13",1564,"2020-09-28",72,98,1173,1672,15,"5.21%"
"2020-09-14",1620,"2020-09-28",74,98,1192,1672,14,"5.%"
"2020-09-15",1691,"2020-09-29",75,99,1220,1744,14,"4.58%"
"2020-09-16",1741,"2020-09-29",76,99,1231,1744,13,"4.48%"
"2020-09-17",1786,"2020-10-01",78,100,1241,1838,14,"3.69%"
"2020-09-18",1830,"2020-10-01",79,100,1259,1838,13,"3.63%"
"2020-09-19",1907,"2020-10-03",79,104,1272,1940,14,"3.74%"
"2020-09-20",1977,"2020-10-04",80,107,1302,1981,14,"3.98%"
"2020-09-21",2035,"2020-10-06",83,111,1332,2080,15,"3.74%"
"2020-09-22",2093,"2020-10-07",87,112,1360,2170,15,"3.09%"
"2020-09-23",2128,"2020-10-07",91,112,1437,2170,14,"2.86%"
"2020-09-24",2170,"2020-10-07",92,112,1453,2170,13,"2.79%"
"2020-09-25",2216,"2020-10-08",94,113,1491,2250,13,"2.5%"
"2020-09-26",2277,"2020-10-09",95,114,1513,2299,13,"2.42%"
"2020-09-27",2353,"2020-10-10",96,115,1545,2368,13,"2.31%"
"2020-09-28",2389,"2020-10-11",98,116,1672,2419,13,"2.41%"
"2020-09-29",2436,"2020-10-12",99,116,1744,2459,13,"2.38%"
"2020-09-30",2459,"2020-10-12",100,116,1783,2459,12,"2.37%"
"2020-10-01",2510,"2020-10-14",100,116,1838,2582,13,"2.15%"
"2020-10-02",2546,"2020-10-14",101,116,1899,2582,12,"2.2%"
"2020-10-03",2588,"2020-10-15",104,117,1940,2629,12,"1.89%"
"2020-10-04",2624,"2020-10-15",107,117,1981,2629,11,"1.54%"
"2020-10-05",2647,"2020-10-16",110,117,2021,2664,11,"1.09%"
"2020-10-06",2679,"2020-10-17",111,117,2080,2698,11,".97%"
"2020-10-07",2695,"2020-10-17",112,117,2170,2698,10,".95%"
"2020-10-08",2735,"2020-10-19",113,117,2250,2743,11,".81%"
"2020-10-09",2762,"2020-10-20",114,119,2299,2780,11,"1.04%"
"2020-10-10",2796,"2020-10-21",115,120,2368,2808,11,"1.14%"
"2020-10-11",2833,"2020-10-22",116,120,2419,2852,11,".92%"
"2020-10-12",2860,"2020-10-23",116,120,2459,2877,11,".96%"
"2020-10-13",2894,"2020-10-24",116,120,2500,2914,11,".97%"
"2020-10-14",2972,"2020-10-26",116,121,2582,3003,12,"1.19%"
"2020-10-15",3015,"2020-10-27",117,122,2629,3046,12,"1.2%"
"2020-10-16",3051,"2020-10-28",117,123,2664,3085,12,"1.43%"
"2020-10-17",3067,"2020-10-28",117,123,2698,3085,11,"1.55%"
"2020-10-18",3102,"2020-10-29",117,124,2713,3136,11,"1.65%"
"2020-10-19",3156,"2020-10-30",117,124,2743,3189,11,"1.57%"
"2020-10-20",3192,"2020-10-31",119,124,2780,3217,11,"1.14%"
"2020-10-21",3223,"2020-11-01",120,124,2808,3254,11,".9%"
"2020-10-22",3260,"2020-11-02",120,124,2852,3278,11,".94%"
"2020-10-23",3281,"2020-11-03",120,124,2877,3317,11,".91%"
"2020-10-24",3308,"2020-11-03",120,124,2914,3317,10,".99%"
"2020-10-25",3348,"2020-11-04",120,124,2960,3348,10,"1.03%"
"2020-10-26",3382,"2020-11-05",121,124,3003,3386,10,".78%"
"2020-10-27",3394,"2020-11-06",122,125,3046,3438,10,".77%"
"2020-10-28",3424,"2020-11-06",123,125,3085,3438,9,".57%"
"2020-10-29",3437,"2020-11-06",124,125,3136,3438,8,".33%"
"2020-10-30",3448,"2020-11-07",124,125,3189,3466,8,".36%"
"2020-10-31",3465,"2020-11-07",124,125,3217,3466,7,".4%"
"2020-11-01",3481,"2020-11-08",124,126,3254,3482,7,".88%"
"2020-11-02",3498,"2020-11-10",124,126,3278,3518,8,".83%"
"2020-11-03",3517,"2020-11-10",124,126,3317,3518,7,"1.%"
"2020-11-04",3540,"2020-11-12",124,126,3348,3559,8,".95%"
"2020-11-05",3585,"2020-11-13",124,126,3386,3586,8,"1.%"
"2020-11-06",3622,"2020-11-14",125,126,3438,3631,8,".52%"
"2020-11-07",3658,"2020-11-15",125,128,3466,3667,8,"1.49%"
"2020-11-08",3684,"2020-11-16",126,128,3482,3697,8,".93%"
"2020-11-09",3705,"2020-11-17",126,128,3496,3721,8,".89%"
"2020-11-10",3721,"2020-11-17",126,128,3518,3721,7,".99%"
"2020-11-11",3740,"2020-11-18",126,128,3537,3748,7,".95%"
"2020-11-12",3775,"2020-11-20",126,131,3559,3797,8,"2.1%"
"2020-11-13",3823,"2020-11-21",126,132,3586,3826,8,"2.5%"
"2020-11-14",3869,"2020-11-23",126,134,3631,3885,9,"3.15%"
"2020-11-15",3903,"2020-11-24",128,135,3667,3911,9,"2.87%"
"2020-11-16",3934,"2020-11-25",128,136,3697,3934,9,"3.38%"
"2020-11-17",3953,"2020-11-26",128,136,3721,3954,9,"3.43%"
"2020-11-18",3993,"2020-11-28",128,139,3748,4003,10,"4.31%"
"2020-11-19",4023,"2020-11-29",130,139,3772,4028,10,"3.52%"
"2020-11-20",4068,"2020-12-01",131,140,3797,4087,11,"3.1%"
"2020-11-21",4099,"2020-12-26",132,140,3826,4110,35,"2.82%"
"2020-11-22",4139,"2020-12-28",133,140,3859,4149,36,"2.41%"
"2020-11-23",4183,"2020-12-30",134,140,3885,4191,37,"1.96%"
"2020-11-24",4213,"2020-12-31",135,141,3911,4220,37,"1.94%"
"2020-11-25",4243,"2021-01-01",136,141,3934,4245,37,"1.61%"
"2020-11-26",4263,"2021-01-02",136,141,3954,4264,37,"1.61%"
"2020-11-27",4283,"2021-01-03",138,141,3973,4295,37,".93%"
"2020-11-28",4306,"2021-01-04",139,141,4003,4317,37,".64%"
"2020-11-29",4331,"2021-01-05",139,141,4028,4341,37,".64%"
"2020-11-30",4359,"2021-01-06",140,141,4059,4363,37,".33%"
"2020-12-01",4382,"2021-01-07",140,142,4087,4382,37,".68%"
"2020-12-26",4410,"2021-01-09",140,142,4110,4424,14,".64%"
"2020-12-27",4433,"2021-01-10",140,142,4129,4442,14,".64%"
"2020-12-28",4451,"2021-01-11",140,142,4149,4461,14,".64%"
"2020-12-29",4469,"2021-01-12",140,142,4171,4479,14,".65%"
"2020-12-30",4490,"2021-01-14",140,142,4191,4506,15,".63%"
"2020-12-31",4512,"2021-01-15",141,142,4220,4522,15,".33%"
"2021-01-01",4530,"2021-01-16",141,142,4245,4541,15,".34%"
"2021-01-02",4546,"2021-01-17",141,142,4264,4552,15,".35%"
"2021-01-03",4564,"2021-01-18",141,142,4295,4565,15,".37%"
"2021-01-04",4578,"2021-01-20",141,142,4317,4582,16,".38%"
"2021-01-05",4599,"2021-01-22",141,142,4341,4603,17,".38%"
