"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-08",691,"2020-09-13",20,23,563,698,5,"2.22%"
"2020-09-09",723,"2020-09-14",20,23,580,733,5,"1.96%"
"2020-09-10",759,"2020-09-15",21,23,596,759,5,"1.23%"
"2020-09-11",797,"2020-09-17",21,23,624,815,6,"1.05%"
"2020-09-12",832,"2020-09-18",22,23,640,859,6,".46%"
"2020-09-13",871,"2020-09-19",23,24,698,877,6,".56%"
"2020-09-14",909,"2020-09-21",23,24,733,943,7,".48%"
"2020-09-15",948,"2020-09-22",23,24,759,991,7,".43%"
"2020-09-16",984,"2020-09-22",23,24,781,991,6,".48%"
"2020-09-17",1023,"2020-09-23",23,25,815,1040,6,".89%"
"2020-09-18",1065,"2020-09-24",23,26,859,1068,6,"1.44%"
"2020-09-19",1112,"2020-09-25",24,27,877,1118,6,"1.24%"
"2020-09-20",1160,"2020-09-27",24,27,905,1210,7,".98%"
"2020-09-21",1204,"2020-09-27",24,27,943,1210,6,"1.12%"
"2020-09-22",1246,"2020-09-29",24,28,991,1281,7,"1.38%"
"2020-09-23",1290,"2020-09-30",25,28,1040,1324,7,"1.06%"
"2020-09-24",1327,"2020-10-01",26,28,1068,1348,7,".71%"
"2020-09-25",1361,"2020-10-02",27,28,1118,1370,7,".4%"
"2020-09-26",1385,"2020-10-03",27,28,1144,1398,7,".39%"
"2020-09-27",1424,"2020-10-04",27,29,1210,1434,7,".89%"
"2020-09-28",1453,"2020-10-05",27,30,1235,1458,7,"1.35%"
"2020-09-29",1482,"2020-10-06",28,31,1281,1490,7,"1.44%"
"2020-09-30",1504,"2020-10-07",28,32,1324,1520,7,"2.04%"
"2020-10-01",1526,"2020-10-08",28,32,1348,1548,7,"2.%"
"2020-10-02",1554,"2020-10-09",28,33,1370,1586,7,"2.31%"
"2020-10-03",1583,"2020-10-09",28,33,1398,1586,6,"2.66%"
"2020-10-04",1617,"2020-10-10",29,33,1434,1618,6,"2.17%"
"2020-10-05",1641,"2020-10-11",30,33,1458,1667,6,"1.44%"
"2020-10-06",1663,"2020-10-11",31,33,1490,1667,5,"1.13%"
"2020-10-07",1680,"2020-10-12",32,33,1520,1703,5,".55%"
"2020-10-08",1699,"2020-10-12",32,33,1548,1703,4,".65%"
"2020-10-09",1722,"2020-10-13",33,34,1586,1742,4,".64%"
