"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",2899,"2021-03-27",28,28,2871,2903,7,"0.%"
"2021-03-21",2908,"2021-03-28",28,28,2873,2911,7,"0.%"
"2021-03-22",2916,"2021-03-29",28,28,2876,2928,7,"0.%"
"2021-03-23",2929,"2021-03-30",28,28,2880,2947,7,"0.%"
"2021-03-24",2943,"2021-03-30",28,28,2884,2947,6,"0.%"
"2021-03-25",2960,"2021-04-01",28,28,2890,2967,7,"0.%"
"2021-03-26",2987,"2021-04-03",28,28,2894,2988,8,"0.%"
"2021-03-27",3012,"2021-04-05",28,28,2903,3028,9,"0.%"
"2021-03-28",3030,"2021-04-06",28,28,2911,3053,9,"0.%"
"2021-03-29",3047,"2021-04-06",28,28,2928,3053,8,"0.%"
"2021-03-30",3064,"2021-04-07",28,28,2947,3078,8,"0.%"
"2021-03-31",3070,"2021-04-07",28,28,2955,3078,7,"0.%"
"2021-04-01",3087,"2021-04-08",28,28,2967,3096,7,"0.%"
"2021-04-02",3114,"2021-04-10",28,28,2975,3129,8,"0.%"
"2021-04-03",3139,"2021-04-12",28,28,2988,3152,9,"0.%"
"2021-04-04",3184,"2021-04-14",28,30,3001,3224,10,".9%"
"2021-04-05",3221,"2021-04-14",28,30,3028,3224,9,"1.02%"
"2021-04-06",3274,"2021-04-16",28,35,3053,3321,10,"2.61%"
"2021-04-07",3334,"2021-04-17",28,36,3078,3382,10,"2.63%"
"2021-04-08",3396,"2021-04-18",28,40,3096,3448,10,"3.41%"
"2021-04-09",3460,"2021-04-19",28,43,3113,3516,10,"3.72%"
"2021-04-10",3525,"2021-04-20",28,48,3129,3686,10,"3.59%"
"2021-04-11",3598,"2021-04-20",28,48,3135,3686,9,"3.63%"
"2021-04-12",3690,"2021-04-21",28,48,3152,3771,9,"3.23%"
"2021-04-13",3775,"2021-04-22",28,50,3179,3870,9,"3.18%"
"2021-04-14",3872,"2021-04-23",30,54,3224,4064,9,"2.86%"
"2021-04-15",4065,"2021-04-24",32,58,3265,4266,9,"2.6%"
"2021-04-16",4263,"2021-04-24",35,58,3321,4266,8,"2.43%"
"2021-04-17",4405,"2021-04-25",36,60,3382,4416,8,"2.32%"
"2021-04-18",4621,"2021-04-26",40,63,3448,4635,8,"1.94%"
"2021-04-19",4856,"2021-04-27",43,66,3516,4873,8,"1.69%"
"2021-04-20",5023,"2021-04-28",48,68,3686,5042,8,"1.47%"
"2021-04-21",5182,"2021-04-29",48,70,3771,5203,8,"1.54%"
"2021-04-22",5333,"2021-04-30",50,74,3870,5358,8,"1.61%"
"2021-04-23",5526,"2021-05-01",54,79,4064,5556,8,"1.68%"
"2021-04-24",5717,"2021-05-02",58,83,4266,5751,8,"1.68%"
"2021-04-25",5900,"2021-05-03",60,88,4416,5939,8,"1.84%"
"2021-04-26",6089,"2021-05-04",63,91,4635,6131,8,"1.87%"
"2021-04-27",6310,"2021-05-05",66,94,4873,6355,8,"1.89%"
"2021-04-28",6499,"2021-05-06",68,96,5042,6546,8,"1.86%"
"2021-04-29",6621,"2021-05-08",70,99,5203,6698,9,"1.94%"
"2021-04-30",6877,"2021-05-10",74,99,5358,7027,10,"1.5%"
"2021-05-01",7001,"2021-05-10",79,99,5556,7027,9,"1.36%"
"2021-05-02",7177,"2021-05-11",83,100,5751,7204,9,"1.17%"
"2021-05-03",7325,"2021-05-12",88,101,5939,7381,9,".9%"
"2021-05-04",7482,"2021-05-13",91,101,6131,7557,9,".7%"
"2021-05-05",7663,"2021-05-14",94,102,6355,7715,9,".59%"
"2021-05-06",7841,"2021-05-15",96,102,6546,7896,9,".44%"
"2021-05-07",8017,"2021-05-16",99,104,6619,8076,9,".34%"
"2021-05-08",8160,"2021-05-17",99,105,6698,8253,9,".39%"
"2021-05-09",8291,"2021-05-18",99,107,6771,8398,9,".49%"
"2021-05-10",8398,"2021-05-18",99,107,7027,8398,8,".58%"
"2021-05-11",8640,"2021-05-21",100,111,7204,8870,10,".66%"
"2021-05-12",8811,"2021-05-21",101,111,7381,8870,9,".67%"
"2021-05-13",8942,"2021-05-22",101,112,7557,9032,9,".75%"
"2021-05-14",9059,"2021-05-23",102,113,7715,9164,9,".76%"
"2021-05-15",9161,"2021-05-23",102,113,7896,9164,8,".87%"
"2021-05-16",9257,"2021-05-24",104,114,8076,9279,8,".83%"
"2021-05-17",9340,"2021-05-25",105,114,8253,9381,8,".8%"
"2021-05-18",9417,"2021-05-26",107,114,8398,9477,8,".65%"
"2021-05-19",9496,"2021-05-27",108,115,8530,9555,8,".68%"
"2021-05-20",9570,"2021-05-28",109,115,8638,9627,8,".61%"
"2021-05-21",9642,"2021-05-29",111,115,8870,9686,8,".49%"
"2021-05-22",9704,"2021-05-30",112,115,9032,9745,8,".42%"
"2021-05-23",9758,"2021-06-01",113,115,9164,9775,9,".33%"
"2021-05-24",9801,"2021-06-02",114,115,9279,9801,9,".19%"
"2021-05-25",9833,"2021-06-05",114,115,9381,9840,11,".22%"
"2021-05-26",9856,"2021-06-07",114,115,9477,9869,12,".26%"
"2021-05-27",9875,"2021-06-08",115,115,9555,9877,12,"0.%"
"2021-05-28",9889,"2021-06-10",115,115,9627,9890,13,"0.%"
"2021-05-29",9898,"2021-06-12",115,115,9686,9904,14,"0.%"
"2021-05-30",9906,"2021-06-13",115,115,9745,9909,14,"0.%"
"2021-05-31",9914,"2021-06-15",115,115,9756,9916,15,"0.%"
"2021-06-01",9919,"2021-06-16",115,116,9775,9919,15,".69%"
