"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-03",1090,"2020-09-13",8,15,644,1109,10,"1.51%"
"2020-09-04",1119,"2020-09-14",8,15,682,1159,10,"1.47%"
"2020-09-05",1190,"2020-09-15",8,15,722,1229,10,"1.38%"
"2020-09-06",1232,"2020-09-16",8,15,774,1277,10,"1.39%"
"2020-09-07",1299,"2020-09-17",8,15,829,1314,10,"1.44%"
"2020-09-08",1347,"2020-09-18",8,15,879,1354,10,"1.47%"
"2020-09-09",1391,"2020-09-19",11,17,930,1406,10,"1.26%"
"2020-09-10",1450,"2020-09-20",13,18,979,1455,10,"1.05%"
"2020-09-11",1507,"2020-09-22",14,19,1032,1546,11,".97%"
"2020-09-12",1560,"2020-09-23",15,20,1075,1611,11,".93%"
"2020-09-13",1608,"2020-09-23",15,20,1109,1611,10,"1.%"
"2020-09-14",1669,"2020-09-25",15,20,1159,1704,11,".92%"
"2020-09-15",1701,"2020-09-25",15,20,1229,1704,10,"1.05%"
"2020-09-16",1755,"2020-09-27",15,20,1277,1773,11,"1.01%"
"2020-09-17",1791,"2020-09-28",15,20,1314,1829,11,".97%"
"2020-09-18",1822,"2020-09-28",15,20,1354,1829,10,"1.05%"
"2020-09-19",1846,"2020-09-29",17,20,1406,1864,10,".66%"
"2020-09-20",1880,"2020-09-30",18,20,1455,1888,10,".46%"
"2020-09-21",1909,"2020-10-01",18,21,1497,1917,10,".71%"
"2020-09-22",1932,"2020-10-02",19,22,1546,1940,10,".76%"
"2020-09-23",1957,"2020-10-03",20,23,1611,1968,10,".84%"
"2020-09-24",1982,"2020-10-04",20,23,1659,1992,10,".9%"
"2020-09-25",2005,"2020-10-05",20,23,1704,2010,10,".98%"
"2020-09-26",2026,"2020-10-07",20,24,1744,2042,11,"1.34%"
"2020-09-27",2039,"2020-10-07",20,24,1773,2042,10,"1.49%"
"2020-09-28",2060,"2020-10-08",20,24,1829,2077,10,"1.61%"
"2020-09-29",2094,"2020-10-10",20,24,1864,2115,11,"1.59%"
"2020-09-30",2111,"2020-10-10",20,24,1888,2115,10,"1.76%"
"2020-10-01",2143,"2020-10-11",21,24,1917,2153,10,"1.27%"
"2020-10-02",2190,"2020-10-12",22,24,1940,2195,10,".78%"
"2020-10-03",2229,"2020-10-13",23,24,1968,2240,10,".37%"
"2020-10-04",2256,"2020-10-14",23,24,1992,2329,10,".3%"
"2020-10-05",2287,"2020-10-14",23,24,2010,2329,9,".31%"
"2020-10-06",2314,"2020-10-14",23,24,2018,2329,8,".32%"
"2020-10-07",2345,"2020-10-15",24,24,2042,2353,8,"0.%"
"2020-10-08",2371,"2020-10-16",24,24,2077,2385,8,"0.%"
"2020-10-09",2405,"2020-10-18",24,24,2087,2456,9,"0.%"
"2020-10-10",2446,"2020-10-18",24,24,2115,2456,8,"0.%"
"2020-10-11",2479,"2020-10-20",24,24,2153,2509,9,"0.%"
"2020-10-12",2499,"2020-10-20",24,24,2195,2509,8,"0.%"
"2020-10-13",2529,"2020-10-21",24,24,2240,2530,8,"0.%"
"2020-10-14",2615,"2020-10-25",24,24,2329,2617,11,"0.%"
"2020-10-15",2625,"2020-10-26",24,24,2353,2635,11,"0.%"
"2020-10-16",2643,"2020-10-27",24,24,2385,2656,11,"0.%"
"2020-10-17",2662,"2020-10-28",24,24,2404,2670,11,"0.%"
"2020-10-18",2672,"2020-10-29",24,24,2456,2678,11,"0.%"
"2020-10-19",2685,"2020-10-30",24,24,2469,2693,11,"0.%"
"2020-10-20",2694,"2020-10-31",24,24,2509,2700,11,"0.%"
"2020-10-21",2706,"2020-11-02",24,24,2530,2708,12,"0.%"
"2020-10-22",2710,"2020-11-03",24,24,2552,2718,12,"0.%"
"2020-10-23",2714,"2020-11-03",24,24,2592,2718,11,"0.%"
"2020-10-24",2722,"2020-11-04",24,24,2604,2726,11,"0.%"
"2020-10-25",2727,"2020-11-05",24,24,2617,2729,11,"0.%"
"2020-10-26",2737,"2020-11-07",24,24,2635,2743,12,"0.%"
"2020-10-27",2740,"2020-11-07",24,24,2656,2743,11,"0.%"
"2020-10-28",2747,"2020-11-08",24,24,2670,2753,11,"0.%"
"2020-10-29",2753,"2020-11-08",24,24,2678,2753,10,"0.%"
"2020-10-30",2777,"2020-11-10",24,24,2693,2789,11,"0.%"
"2020-10-31",2787,"2020-11-10",24,24,2700,2789,10,"0.%"
"2020-11-01",2805,"2020-11-13",24,24,2705,2816,12,"0.%"
"2020-11-02",2812,"2020-11-13",24,24,2708,2816,11,"0.%"
"2020-11-03",2820,"2020-11-14",24,25,2718,2825,11,".93%"
"2020-11-04",2826,"2020-11-15",24,26,2726,2838,11,"1.79%"
"2020-11-05",2833,"2020-11-15",24,26,2729,2838,10,"1.83%"
"2020-11-06",2845,"2020-11-16",24,26,2732,2845,10,"1.77%"
"2020-11-07",2853,"2020-11-18",24,26,2743,2858,11,"1.74%"
"2020-11-08",2861,"2020-11-19",24,26,2753,2863,11,"1.82%"
"2020-11-09",2868,"2020-11-20",24,26,2776,2877,11,"1.98%"
"2020-11-10",2882,"2020-11-21",24,26,2789,2892,11,"1.94%"
"2020-11-11",2887,"2020-11-21",24,26,2799,2892,10,"2.15%"
"2020-11-12",2904,"2020-11-23",24,26,2803,2922,11,"1.68%"
"2020-11-13",2919,"2020-11-23",24,26,2816,2922,10,"1.89%"
"2020-11-14",2940,"2020-11-25",25,26,2825,2945,11,".83%"
"2020-11-15",2958,"2020-11-26",26,26,2838,2963,11,"0.%"
"2020-11-16",2964,"2020-11-27",26,26,2845,2979,11,"0.%"
"2020-11-17",2983,"2020-11-28",26,26,2852,3010,11,"0.%"
"2020-11-18",3003,"2020-11-28",26,26,2858,3010,10,"0.%"
"2020-11-19",3031,"2020-11-29",26,26,2863,3034,10,"0.%"
"2020-11-20",3062,"2020-11-30",26,26,2877,3063,10,"0.%"
"2020-11-21",3090,"2020-12-01",26,26,2892,3099,10,"0.%"
"2020-11-22",3116,"2020-12-27",26,26,2902,3123,35,"0.%"
"2020-11-23",3139,"2020-12-30",26,27,2922,3147,37,".44%"
"2020-11-24",3159,"2021-01-02",26,27,2936,3166,39,".43%"
"2020-11-25",3181,"2021-01-04",26,27,2945,3186,40,".41%"
"2020-11-26",3195,"2021-01-06",26,27,2963,3196,41,".43%"
"2020-11-27",3203,"2021-01-07",26,27,2979,3207,41,".44%"
"2020-11-28",3221,"2021-01-11",26,28,3010,3232,44,".9%"
"2020-11-29",3226,"2021-01-11",26,28,3034,3232,43,"1.01%"
"2020-11-30",3236,"2021-01-12",26,28,3063,3237,43,"1.15%"
"2020-12-01",3248,"2021-01-13",26,28,3099,3253,43,"1.3%"
"2020-12-26",3254,"2021-01-14",26,28,3106,3256,19,"1.33%"
"2020-12-27",3264,"2021-01-15",26,28,3123,3268,19,"1.38%"
"2020-12-28",3270,"2021-01-16",27,28,3126,3279,19,".65%"
"2020-12-29",3273,"2021-01-16",27,28,3138,3279,18,".71%"
"2020-12-30",3284,"2021-01-18",27,28,3147,3291,19,".69%"
"2020-12-31",3284,"2021-01-18",27,28,3153,3291,18,".72%"
"2021-01-01",3289,"2021-01-18",27,28,3156,3291,17,".74%"
"2021-01-02",3296,"2021-01-19",27,28,3166,3298,17,".76%"
"2021-01-03",3318,"2021-01-22",27,28,3174,3318,19,".69%"
"2021-01-04",3327,"2021-01-26",27,28,3186,3327,22,".71%"
"2021-01-05",3335,"2021-01-30",27,28,3190,3335,25,".69%"
"2021-01-06",3344,"2021-02-08",27,28,3196,3345,33,".67%"
"2021-01-07",3357,"2021-02-15",27,28,3207,3357,39,".67%"
