"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-24",402,"2020-06-04",16,32,169,410,11,"6.64%"
"2020-05-25",420,"2020-06-05",16,32,186,430,11,"6.56%"
"2020-05-26",437,"2020-06-06",16,34,194,466,11,"6.62%"
"2020-05-27",487,"2020-06-10",22,39,215,529,14,"5.41%"
"2020-05-28",529,"2020-06-10",27,39,270,529,13,"4.63%"
"2020-05-29",537,"2020-06-12",27,39,295,537,14,"4.96%"
"2020-05-30",571,"2020-06-14",27,41,309,602,15,"4.78%"
"2020-05-31",584,"2020-06-14",27,41,339,602,14,"5.32%"
"2020-06-01",603,"2020-06-16",27,55,346,617,15,"10.33%"
"2020-06-02",642,"2020-06-17",30,55,369,682,15,"7.99%"
"2020-06-03",647,"2020-06-17",32,55,383,682,14,"7.69%"
"2020-06-04",679,"2020-06-17",32,55,410,682,13,"8.46%"
"2020-06-05",727,"2020-06-19",32,55,430,756,14,"7.06%"
"2020-06-06",762,"2020-06-20",34,58,466,804,14,"7.1%"
"2020-06-07",778,"2020-06-20",35,58,467,804,13,"6.82%"
"2020-06-08",834,"2020-06-22",35,64,471,845,14,"7.75%"
"2020-06-09",848,"2020-06-24",37,68,477,852,15,"8.27%"
"2020-06-10",882,"2020-06-25",39,70,529,890,15,"8.59%"
"2020-06-11",927,"2020-06-27",39,72,529,928,16,"8.27%"
"2020-06-12",979,"2020-06-29",39,72,537,990,17,"7.28%"
"2020-06-13",990,"2020-06-29",39,72,541,990,16,"7.35%"
"2020-06-14",1021,"2020-06-30",41,75,602,1041,16,"7.74%"
"2020-06-15",1026,"2020-06-30",41,75,602,1041,15,"7.74%"
"2020-06-16",1050,"2020-07-01",55,77,617,1149,15,"4.14%"
"2020-06-17",1099,"2020-07-01",55,77,682,1149,14,"4.71%"
"2020-06-18",1126,"2020-07-01",55,77,722,1149,13,"5.15%"
"2020-06-19",1145,"2020-07-01",55,77,756,1149,12,"5.6%"
"2020-06-20",1164,"2020-07-03",58,82,804,1181,13,"6.37%"
"2020-06-21",1188,"2020-07-04",62,85,812,1260,13,"5.13%"
"2020-06-22",1248,"2020-07-04",64,85,845,1260,12,"5.06%"
"2020-06-23",1272,"2020-07-05",65,85,846,1277,12,"4.64%"
"2020-06-24",1319,"2020-07-07",68,88,852,1327,13,"4.21%"
"2020-06-25",1352,"2020-07-08",70,90,890,1355,13,"4.3%"
"2020-06-26",1370,"2020-07-09",72,90,923,1499,13,"3.12%"
"2020-06-27",1385,"2020-07-09",72,90,928,1499,12,"3.15%"
"2020-06-28",1463,"2020-07-09",72,90,934,1499,11,"3.19%"
"2020-06-29",1509,"2020-07-10",72,90,990,1510,11,"3.46%"
"2020-06-30",1536,"2020-07-11",75,90,1041,1537,11,"3.02%"
"2020-07-01",1544,"2020-07-12",77,91,1149,1552,11,"3.47%"
"2020-07-02",1559,"2020-07-13",79,93,1161,1584,11,"3.31%"
"2020-07-03",1599,"2020-07-14",82,94,1181,1634,11,"2.65%"
"2020-07-04",1609,"2020-07-14",85,94,1260,1634,10,"2.41%"
"2020-07-05",1662,"2020-07-16",85,95,1277,1676,11,"2.51%"
"2020-07-06",1703,"2020-07-18",88,95,1305,1711,12,"1.72%"
"2020-07-07",1731,"2020-07-19",88,97,1327,1732,12,"2.22%"
"2020-07-08",1753,"2020-07-20",90,97,1355,1755,12,"1.75%"
