"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-21",4104,"2020-09-02",100,138,2913,4182,12,"2.99%"
"2020-08-22",4195,"2020-09-03",108,139,2989,4341,12,"2.29%"
"2020-08-23",4264,"2020-09-03",109,139,3027,4341,11,"2.28%"
"2020-08-24",4402,"2020-09-04",109,139,3351,4429,11,"2.78%"
"2020-08-25",4484,"2020-09-05",109,139,3491,4532,11,"2.88%"
"2020-08-26",4585,"2020-09-06",111,145,3591,4628,11,"3.28%"
"2020-08-27",4719,"2020-09-07",111,145,3672,4723,11,"3.24%"
"2020-08-28",4822,"2020-09-09",119,152,3811,4952,12,"2.89%"
"2020-08-29",4949,"2020-09-09",123,152,3898,4952,11,"2.75%"
"2020-08-30",5063,"2020-09-10",129,159,3932,5108,11,"2.55%"
"2020-08-31",5187,"2020-09-11",129,167,4009,5260,11,"3.04%"
"2020-09-01",5257,"2020-09-11",135,167,4059,5260,10,"2.66%"
"2020-09-02",5294,"2020-09-12",138,175,4182,5553,10,"2.7%"
"2020-09-03",5512,"2020-09-12",139,175,4341,5553,9,"2.97%"
"2020-09-04",5662,"2020-09-13",139,186,4429,5711,9,"3.67%"
"2020-09-05",5746,"2020-09-14",139,194,4532,5756,9,"4.49%"
"2020-09-06",5964,"2020-09-15",145,195,4628,6914,9,"2.19%"
"2020-09-07",6078,"2020-09-15",145,195,4723,6914,8,"2.28%"
"2020-09-08",6422,"2020-09-15",152,195,4772,6914,7,"2.01%"
"2020-09-09",6727,"2020-09-15",152,195,4952,6914,6,"2.19%"
"2020-09-10",7172,"2020-09-16",159,206,5108,7556,6,"1.92%"
"2020-09-11",7717,"2020-09-18",167,210,5260,7956,7,"1.59%"
"2020-09-12",8051,"2020-09-19",175,211,5553,8208,7,"1.36%"
"2020-09-13",8428,"2020-09-21",186,221,5711,8701,8,"1.17%"
"2020-09-14",8585,"2020-09-21",194,221,5756,8701,7,".92%"
"2020-09-15",8885,"2020-09-23",195,237,6914,9042,8,"1.97%"
"2020-09-16",9341,"2020-09-25",206,249,7556,9740,9,"1.97%"
"2020-09-17",9732,"2020-09-25",209,249,7659,9740,8,"1.92%"
"2020-09-18",10103,"2020-09-26",210,253,7956,10176,8,"1.94%"
"2020-09-19",10403,"2020-09-28",211,264,8208,10423,9,"2.39%"
