"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-20",1082,"2020-06-02",31,63,420,1101,13,"4.7%"
"2020-05-21",1126,"2020-06-03",34,79,448,1152,13,"6.39%"
"2020-05-22",1187,"2020-06-05",37,85,559,1211,14,"7.36%"
"2020-05-23",1219,"2020-06-06",37,87,585,1246,14,"7.56%"
"2020-05-24",1256,"2020-06-08",41,95,616,1304,15,"7.85%"
"2020-05-25",1289,"2020-06-08",43,95,712,1304,14,"8.78%"
"2020-05-26",1310,"2020-06-09",48,105,769,1354,14,"9.74%"
"2020-05-27",1335,"2020-06-09",52,105,823,1354,13,"9.98%"
"2020-05-28",1370,"2020-06-10",55,112,912,1373,13,"12.36%"
"2020-05-29",1410,"2020-06-11",60,118,997,1427,13,"13.49%"
"2020-05-30",1462,"2020-06-13",60,123,1024,1501,14,"13.21%"
"2020-05-31",1501,"2020-06-13",60,123,1024,1501,13,"13.21%"
"2020-06-01",1543,"2020-06-14",63,130,1053,1563,13,"13.14%"
"2020-06-02",1592,"2020-06-15",63,130,1101,1624,13,"12.81%"
"2020-06-03",1653,"2020-06-16",79,163,1152,1714,13,"14.95%"
"2020-06-04",1714,"2020-06-16",84,163,1181,1714,12,"14.82%"
"2020-06-05",1781,"2020-06-17",85,163,1211,1795,12,"13.36%"
"2020-06-06",1861,"2020-06-19",87,168,1246,1862,13,"13.15%"
"2020-06-07",1965,"2020-06-21",87,169,1254,2027,14,"10.61%"
"2020-06-08",2036,"2020-06-22",95,173,1304,2072,14,"10.16%"
"2020-06-09",2085,"2020-06-23",105,196,1354,2156,14,"11.35%"
"2020-06-10",2173,"2020-06-25",112,206,1373,2234,15,"10.92%"
"2020-06-11",2306,"2020-06-26",118,221,1427,2325,15,"11.47%"
"2020-06-12",2457,"2020-06-29",120,234,1458,2508,17,"10.86%"
"2020-06-13",2560,"2020-06-30",123,251,1501,2578,17,"11.88%"
"2020-06-14",2668,"2020-07-01",130,251,1563,2689,17,"10.75%"
"2020-06-15",2786,"2020-07-03",130,272,1624,2864,18,"11.45%"
"2020-06-16",2857,"2020-07-03",163,272,1714,2864,17,"9.48%"
"2020-06-17",2960,"2020-07-05",163,289,1795,3055,18,"10.%"
"2020-06-18",3064,"2020-07-06",163,296,1817,3280,18,"9.09%"
"2020-06-19",3164,"2020-07-06",171,296,1862,3280,17,"8.82%"
"2020-06-20",3273,"2020-07-06",168,296,1933,3280,16,"9.5%"
"2020-06-21",3400,"2020-07-07",169,301,2027,3469,16,"9.15%"
"2020-06-22",3564,"2020-07-08",173,309,2072,3572,16,"9.07%"
"2020-06-23",3686,"2020-07-09",196,309,2156,3695,16,"7.34%"
"2020-06-24",3867,"2020-07-11",196,327,2166,4043,17,"6.98%"
"2020-06-25",4084,"2020-07-12",206,333,2234,4353,17,"5.99%"
"2020-06-26",4354,"2020-07-13",221,336,2325,4618,17,"5.02%"
