"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-10",880,"2020-07-25",36,67,511,976,15,"6.67%"
"2020-07-11",906,"2020-07-25",44,67,550,976,14,"5.4%"
"2020-07-12",983,"2020-07-27",47,68,553,1218,15,"3.16%"
"2020-07-13",1083,"2020-07-27",47,68,618,1218,14,"3.5%"
"2020-07-14",1084,"2020-07-27",47,68,627,1218,13,"3.55%"
"2020-07-15",1089,"2020-07-27",50,68,662,1218,12,"3.24%"
"2020-07-16",1146,"2020-07-27",50,68,681,1218,11,"3.35%"
"2020-07-17",1228,"2020-07-28",54,69,693,1403,11,"2.11%"
"2020-07-18",1298,"2020-07-28",54,69,715,1403,10,"2.18%"
"2020-07-19",1366,"2020-07-28",55,69,716,1403,9,"2.04%"
"2020-07-20",1461,"2020-07-29",56,73,720,1491,9,"2.2%"
"2020-07-21",1516,"2020-08-01",57,75,730,1528,11,"2.26%"
"2020-07-22",1571,"2020-08-03",58,78,731,1590,12,"2.33%"
"2020-07-23",1578,"2020-08-03",61,78,742,1590,11,"2.%"
"2020-07-24",1610,"2020-08-05",64,79,825,1612,12,"1.91%"
"2020-07-25",1718,"2020-08-10",67,95,976,1718,16,"3.77%"
"2020-07-26",1762,"2020-08-11",68,97,977,1794,16,"3.55%"
"2020-07-27",1791,"2020-08-11",68,97,1218,1794,15,"5.03%"
"2020-07-28",1846,"2020-08-14",69,103,1403,1858,17,"7.47%"
"2020-07-29",1863,"2020-08-15",73,113,1491,1882,17,"10.23%"
"2020-07-30",1913,"2020-08-17",73,114,1494,1951,18,"8.97%"
"2020-07-31",1940,"2020-08-17",74,114,1508,1951,17,"9.03%"
"2020-08-01",1962,"2020-08-18",75,114,1528,2012,17,"8.06%"
"2020-08-02",1990,"2020-08-18",77,114,1558,2012,16,"8.15%"
"2020-08-03",2009,"2020-08-18",78,114,1590,2012,15,"8.53%"
"2020-08-04",2010,"2020-08-18",78,114,1590,2012,14,"8.53%"
"2020-08-05",2021,"2020-08-19",79,114,1612,2103,14,"7.13%"
"2020-08-06",2087,"2020-08-19",79,114,1632,2103,13,"7.43%"
"2020-08-07",2148,"2020-08-20",79,114,1673,2188,13,"6.8%"
"2020-08-08",2350,"2020-08-23",85,121,1684,2360,15,"5.33%"
"2020-08-09",2460,"2020-08-26",86,123,1704,2551,17,"4.37%"
"2020-08-10",2540,"2020-08-26",95,123,1718,2551,16,"3.36%"
"2020-08-11",2676,"2020-08-28",97,128,1794,2740,17,"3.28%"
"2020-08-12",2772,"2020-08-29",100,130,1821,2923,17,"2.72%"
"2020-08-13",2853,"2020-08-29",102,130,1835,2923,16,"2.57%"
"2020-08-14",2950,"2020-08-30",103,130,1858,2988,16,"2.39%"
"2020-08-15",3002,"2020-08-31",113,132,1882,3066,16,"1.6%"
"2020-08-16",3080,"2020-09-01",113,135,1907,3130,16,"1.8%"
"2020-08-17",3286,"2020-09-04",114,144,1951,3345,18,"2.15%"
"2020-08-18",3349,"2020-09-05",114,147,2012,3424,18,"2.34%"
"2020-08-19",3499,"2020-09-07",114,150,2103,3504,19,"2.57%"
"2020-08-20",3658,"2020-09-09",114,152,2188,3677,20,"2.55%"
"2020-08-21",3733,"2020-09-10",116,161,2280,3761,20,"3.04%"
"2020-08-22",3793,"2020-09-11",118,167,2319,3882,20,"3.13%"
"2020-08-23",3883,"2020-09-12",121,167,2360,4014,20,"2.78%"
"2020-08-24",3916,"2020-09-12",122,167,2412,4014,19,"2.81%"
"2020-08-25",3948,"2020-09-12",123,167,2450,4014,18,"2.81%"
"2020-08-26",4009,"2020-09-12",123,167,2551,4014,17,"3.01%"
"2020-08-27",4052,"2020-09-13",127,170,2656,4096,17,"2.99%"
"2020-08-28",4113,"2020-09-14",128,170,2740,4207,17,"2.86%"
"2020-08-29",4186,"2020-09-14",130,170,2923,4207,16,"3.12%"
"2020-08-30",4253,"2020-09-15",130,172,2988,4356,16,"3.07%"
"2020-08-31",4346,"2020-09-15",132,172,3066,4356,15,"3.1%"
"2020-09-01",4441,"2020-09-17",135,176,3130,4524,16,"2.94%"
"2020-09-02",4576,"2020-09-18",137,177,3175,4629,16,"2.75%"
"2020-09-03",4673,"2020-09-19",141,177,3266,4702,16,"2.51%"
"2020-09-04",4810,"2020-09-21",144,179,3345,4857,17,"2.31%"
"2020-09-05",4923,"2020-09-22",147,180,3424,4986,17,"2.11%"
"2020-09-06",5070,"2020-09-23",149,181,3439,5104,17,"1.92%"
"2020-09-07",5167,"2020-09-24",150,184,3504,5184,17,"2.02%"
"2020-09-08",5285,"2020-09-25",151,185,3553,5360,17,"1.88%"
"2020-09-09",5503,"2020-09-30",152,186,3677,5558,21,"1.81%"
"2020-09-10",5595,"2020-10-01",161,191,3761,5630,21,"1.61%"
"2020-09-11",5760,"2020-10-03",167,193,3882,6080,22,"1.18%"
"2020-09-12",5847,"2020-10-03",167,193,4014,6080,21,"1.26%"
"2020-09-13",5958,"2020-10-03",170,193,4096,6080,20,"1.16%"
"2020-09-14",6007,"2020-10-03",170,193,4207,6080,19,"1.23%"
"2020-09-15",6169,"2020-10-04",172,197,4356,6329,19,"1.27%"
"2020-09-16",6239,"2020-10-04",175,197,4429,6329,18,"1.16%"
"2020-09-17",6386,"2020-10-05",176,211,4524,6437,18,"1.83%"
"2020-09-18",6459,"2020-10-06",177,221,4629,6649,18,"2.18%"
"2020-09-19",6577,"2020-10-06",177,221,4702,6649,17,"2.26%"
