"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-04",19,"2020-05-20",,1,,21,16,"-"
"2020-05-07",25,"2020-05-25",,2,,32,18,"-"
"2020-05-10",26,"2020-05-25",,2,,32,15,"-"
"2020-05-11",31,"2020-05-25",,2,,32,14,"-"
"2020-05-12",31,"2020-05-25",,2,,32,13,"-"
"2020-05-13",32,"2020-05-25",,2,,32,12,"-"
"2020-05-14",32,"2020-05-25",,2,,32,11,"-"
"2020-05-16",34,"2020-05-26",,2,,36,10,"-"
"2020-05-17",44,"2020-05-28",1,2,14,44,11,"3.33%"
"2020-05-18",50,"2020-05-31",1,2,15,54,13,"2.56%"
"2020-05-20",50,"2020-05-31",1,2,21,54,11,"3.03%"
"2020-05-21",54,"2020-05-31",1,2,21,54,10,"3.03%"
"2020-05-22",61,"2020-06-02",1,2,21,63,11,"2.38%"
"2020-05-23",67,"2020-06-04",1,3,21,67,12,"4.35%"
"2020-05-24",71,"2020-06-05",2,3,22,78,12,"1.79%"
"2020-05-25",82,"2020-06-06",2,3,32,89,12,"1.75%"
"2020-05-26",82,"2020-06-06",2,3,36,89,11,"1.89%"
"2020-05-27",94,"2020-06-07",2,3,36,97,11,"1.64%"
"2020-05-28",107,"2020-06-09",2,3,44,107,12,"1.59%"
"2020-05-29",108,"2020-06-10",2,3,46,113,12,"1.49%"
"2020-05-30",118,"2020-06-14",2,7,49,119,15,"7.14%"
"2020-05-31",125,"2020-06-17",2,10,54,130,17,"10.53%"
"2020-06-02",125,"2020-06-17",2,10,63,130,15,"11.94%"
"2020-06-04",131,"2020-06-18",3,10,67,131,14,"10.94%"
"2020-06-05",132,"2020-06-19",3,10,78,134,14,"12.5%"
"2020-06-06",135,"2020-06-20",3,10,89,138,14,"14.29%"
"2020-06-07",137,"2020-06-20",3,10,97,138,13,"17.07%"
"2020-06-08",138,"2020-06-20",3,10,97,138,12,"17.07%"
"2020-06-09",139,"2020-06-21",3,11,107,142,12,"22.86%"
"2020-06-10",147,"2020-06-23",3,12,113,153,13,"22.5%"
"2020-06-11",152,"2020-06-23",5,12,115,153,12,"18.42%"
"2020-06-12",160,"2020-06-25",5,12,115,169,13,"12.96%"
"2020-06-13",163,"2020-06-25",7,12,117,169,12,"9.62%"
"2020-06-14",176,"2020-06-26",7,14,119,182,12,"11.11%"
"2020-06-15",181,"2020-06-26",7,14,120,182,11,"11.29%"
"2020-06-16",188,"2020-06-27",10,16,123,191,11,"8.82%"
"2020-06-17",198,"2020-06-28",12,16,130,199,11,"5.8%"
"2020-06-18",201,"2020-07-01",12,18,131,205,13,"8.11%"
"2020-06-19",209,"2020-07-02",12,18,134,209,13,"8.%"
"2020-06-20",212,"2020-07-03",10,19,138,215,13,"11.69%"
"2020-06-21",217,"2020-07-04",11,21,142,236,13,"10.64%"
"2020-06-22",226,"2020-07-04",12,21,146,236,12,"10.%"
"2020-06-23",227,"2020-07-04",12,21,153,236,11,"10.84%"
"2020-06-24",237,"2020-07-05",12,21,153,242,11,"10.11%"
"2020-06-25",241,"2020-07-05",12,21,169,242,10,"12.33%"
"2020-06-26",256,"2020-07-07",14,26,182,270,11,"13.64%"
"2020-06-27",275,"2020-07-08",16,26,191,283,11,"10.87%"
"2020-06-28",303,"2020-07-10",16,28,199,304,12,"11.43%"
"2020-06-29",320,"2020-07-11",16,31,199,340,12,"10.64%"
"2020-06-30",331,"2020-07-11",17,31,200,340,11,"10.%"
"2020-07-01",350,"2020-07-13",18,34,205,362,12,"10.19%"
"2020-07-02",383,"2020-07-15",18,40,209,396,13,"11.76%"
"2020-07-03",396,"2020-07-15",19,40,215,396,12,"11.6%"
"2020-07-04",404,"2020-07-16",21,44,236,423,12,"12.3%"
"2020-07-05",425,"2020-07-17",21,46,242,445,12,"12.32%"
"2020-07-06",446,"2020-07-18",23,47,247,473,12,"10.62%"
"2020-07-07",493,"2020-07-19",26,51,270,510,12,"10.42%"
"2020-07-08",532,"2020-07-20",26,52,283,540,12,"10.12%"
"2020-07-09",552,"2020-07-21",27,58,296,591,12,"10.51%"
"2020-07-10",606,"2020-07-22",28,61,304,622,12,"10.38%"
"2020-07-11",630,"2020-07-23",31,67,340,680,12,"10.59%"
"2020-07-12",664,"2020-07-23",32,67,349,680,11,"10.57%"
"2020-07-13",719,"2020-07-25",34,69,362,769,12,"8.6%"
"2020-07-14",758,"2020-07-25",36,69,378,769,11,"8.44%"
"2020-07-15",798,"2020-07-26",40,72,396,828,11,"7.41%"
"2020-07-16",894,"2020-07-28",44,79,423,931,12,"6.89%"
"2020-07-17",972,"2020-07-29",46,81,445,973,12,"6.63%"
"2020-07-18",1015,"2020-07-30",47,85,473,1041,12,"6.69%"
"2020-07-19",1108,"2020-08-01",51,94,510,1208,13,"6.16%"
"2020-07-20",1108,"2020-08-01",52,94,540,1208,12,"6.29%"
"2020-07-21",1231,"2020-08-02",58,105,591,1235,12,"7.3%"
"2020-07-22",1267,"2020-08-03",61,112,622,1316,12,"7.35%"
"2020-07-23",1267,"2020-08-03",67,112,680,1316,11,"7.08%"
"2020-07-24",1358,"2020-08-04",69,118,710,1369,11,"7.44%"
"2020-07-25",1476,"2020-08-06",69,127,769,1505,12,"7.88%"
"2020-07-26",1528,"2020-08-07",72,132,828,1544,12,"8.38%"
"2020-07-27",1642,"2020-08-09",74,145,876,1672,13,"8.92%"
"2020-07-28",1739,"2020-08-10",79,151,931,1788,13,"8.4%"
"2020-07-29",1808,"2020-08-11",81,152,973,1857,13,"8.03%"
"2020-07-30",1939,"2020-08-12",85,168,1041,2053,13,"8.2%"
"2020-07-31",2067,"2020-08-13",88,179,1100,2245,13,"7.95%"
"2020-08-01",2234,"2020-08-13",94,179,1208,2245,12,"8.2%"
"2020-08-02",2372,"2020-08-15",105,187,1235,2433,13,"6.84%"
"2020-08-03",2479,"2020-08-16",112,188,1316,2568,13,"6.07%"
"2020-08-04",2598,"2020-08-17",118,204,1369,2782,13,"6.09%"
"2020-08-05",2750,"2020-08-17",121,204,1411,2782,12,"6.05%"
"2020-08-06",2962,"2020-08-19",127,211,1505,3051,13,"5.43%"
"2020-08-07",3134,"2020-08-20",132,213,1544,3233,13,"4.8%"
"2020-08-08",3359,"2020-08-21",133,214,1587,3428,13,"4.4%"
"2020-08-09",3638,"2020-08-23",145,227,1672,3754,14,"3.94%"
"2020-08-10",3880,"2020-08-25",151,242,1788,4069,15,"3.99%"
"2020-08-11",4164,"2020-08-26",152,243,1857,4222,15,"3.85%"
"2020-08-12",4407,"2020-08-28",168,254,2053,4567,16,"3.42%"
"2020-08-13",4628,"2020-08-29",179,262,2245,4813,16,"3.23%"
"2020-08-14",4801,"2020-08-29",183,262,2339,4813,15,"3.19%"
"2020-08-15",4982,"2020-08-30",187,268,2433,5078,15,"3.06%"
"2020-08-16",5219,"2020-08-31",188,272,2568,5288,15,"3.09%"
"2020-08-17",5351,"2020-09-01",204,274,2782,5507,15,"2.57%"
"2020-08-18",5533,"2020-09-02",208,281,2942,5587,15,"2.76%"
"2020-08-19",5664,"2020-09-03",211,289,3051,5784,15,"2.85%"
"2020-08-20",5901,"2020-09-04",213,296,3233,5969,15,"3.03%"
"2020-08-21",6075,"2020-09-05",214,303,3428,6149,15,"3.27%"
"2020-08-22",6444,"2020-09-07",221,322,3542,6499,16,"3.42%"
"2020-08-23",6590,"2020-09-08",227,327,3754,6642,16,"3.46%"
"2020-08-24",6674,"2020-09-09",234,331,3878,6870,16,"3.24%"
"2020-08-25",6840,"2020-09-09",242,331,4069,6870,15,"3.18%"
"2020-08-26",7022,"2020-09-10",243,335,4222,7182,15,"3.11%"
"2020-08-27",7235,"2020-09-11",246,340,4349,7499,15,"2.98%"
"2020-08-28",7381,"2020-09-11",254,340,4567,7499,14,"2.93%"
"2020-08-29",7566,"2020-09-12",262,345,4813,7745,14,"2.83%"
"2020-08-30",7835,"2020-09-13",268,349,5078,8037,14,"2.74%"
"2020-08-31",8009,"2020-09-13",272,349,5288,8037,13,"2.8%"
"2020-09-01",8245,"2020-09-14",274,357,5507,8285,13,"2.99%"
"2020-09-02",8563,"2020-09-16",281,384,5587,8922,14,"3.09%"
"2020-09-03",8835,"2020-09-16",289,384,5784,8922,13,"3.03%"
"2020-09-04",9260,"2020-09-17",296,391,5969,9292,13,"2.86%"
"2020-09-05",9682,"2020-09-18",303,403,6149,9912,13,"2.66%"
"2020-09-06",10027,"2020-09-19",309,408,6310,10637,13,"2.29%"
"2020-09-07",10278,"2020-09-19",322,408,6499,10637,12,"2.08%"
"2020-09-08",10625,"2020-09-19",327,408,6642,10637,11,"2.03%"
"2020-09-09",11029,"2020-09-21",331,432,6870,11172,12,"2.35%"
"2020-09-10",11510,"2020-09-23",335,443,7182,11738,13,"2.37%"
"2020-09-11",11814,"2020-09-24",340,453,7499,11938,13,"2.55%"
"2020-09-12",12154,"2020-09-25",345,459,7745,12336,13,"2.48%"
"2020-09-13",12477,"2020-09-26",349,463,8037,12531,13,"2.54%"
"2020-09-14",12731,"2020-09-28",357,465,8285,12974,14,"2.3%"
"2020-09-15",13037,"2020-09-29",370,477,8484,13284,14,"2.23%"
"2020-09-16",13394,"2020-09-30",384,485,8922,13650,14,"2.14%"
"2020-09-17",13728,"2020-10-01",391,492,9292,13894,14,"2.19%"
"2020-09-18",14043,"2020-10-02",403,498,9912,14211,14,"2.21%"
"2020-09-19",14328,"2020-10-03",408,509,10637,14427,14,"2.66%"
"2020-09-20",14668,"2020-10-05",426,518,10671,14682,15,"2.29%"
"2020-09-21",14958,"2020-10-08",432,534,11172,15021,17,"2.65%"
"2020-09-22",15218,"2020-10-09",441,537,11480,15447,17,"2.42%"
"2020-09-23",15579,"2020-10-10",443,542,11738,15599,17,"2.56%"
"2020-09-24",15910,"2020-10-13",453,552,11938,16056,19,"2.4%"
"2020-09-25",16276,"2020-10-15",459,561,12336,16323,20,"2.56%"
"2020-09-26",16490,"2020-10-16",463,565,12531,16502,20,"2.57%"
"2020-09-27",16732,"2020-10-18",464,569,12701,16881,21,"2.51%"
"2020-09-28",16950,"2020-10-19",465,569,12974,17117,21,"2.51%"
"2020-09-29",17173,"2020-10-20",477,574,13284,17189,21,"2.48%"
"2020-09-30",17382,"2020-10-21",485,585,13650,17481,21,"2.61%"
"2020-10-01",17672,"2020-10-23",492,593,13894,17800,22,"2.59%"
"2020-10-02",17903,"2020-10-26",498,596,14211,17960,24,"2.61%"
"2020-10-03",18085,"2020-10-27",509,605,14427,18119,24,"2.6%"
