"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-20",102422,"2020-08-09",5553,6597,77560,102542,20,"4.18%"
"2020-07-21",103367,"2020-08-10",5615,6643,78529,103995,20,"4.04%"
"2020-07-22",104677,"2020-08-11",5673,6691,80150,105197,20,"4.06%"
"2020-07-23",105922,"2020-08-12",5728,6741,82189,106169,20,"4.22%"
"2020-07-24",106979,"2020-08-13",5782,6789,83400,107102,20,"4.25%"
"2020-07-25",108059,"2020-08-15",5834,6884,84069,108992,21,"4.21%"
"2020-07-26",109160,"2020-08-16",5891,6931,85488,109758,21,"4.29%"
"2020-07-27",110181,"2020-08-17",5930,6971,87233,110631,21,"4.45%"
"2020-07-28",110881,"2020-08-18",5985,7020,89755,111572,21,"4.74%"
"2020-07-29",111990,"2020-08-19",6045,7066,90731,112482,21,"4.69%"
"2020-07-30",113198,"2020-08-20",6098,7112,91904,113504,21,"4.69%"
"2020-07-31",114283,"2020-08-21",6151,7154,92584,114781,21,"4.52%"
"2020-08-01",115330,"2020-08-22",6196,7186,93461,115913,21,"4.41%"
"2020-08-02",116435,"2020-08-23",6245,7220,93903,116638,21,"4.29%"
"2020-08-03",117405,"2020-08-24",6291,7240,95739,117681,21,"4.33%"
"2020-08-04",118114,"2020-08-25",6347,7275,96666,118596,21,"4.23%"
"2020-08-05",119239,"2020-08-26",6389,7303,97421,119405,21,"4.16%"
"2020-08-06",120149,"2020-08-27",6446,7333,98464,120269,21,"4.07%"
"2020-08-07",121011,"2020-08-28",6491,7363,99748,121540,21,"4.%"
"2020-08-08",122315,"2020-08-30",6549,7424,101262,123135,22,"4.%"
"2020-08-09",123381,"2020-08-31",6597,7456,102542,124083,22,"3.99%"
"2020-08-10",124306,"2020-09-01",6643,7491,103995,125709,22,"3.91%"
"2020-08-11",125223,"2020-09-01",6691,7491,105197,125709,21,"3.9%"
"2020-08-12",126355,"2020-09-02",6741,7525,106169,126586,21,"3.84%"
"2020-08-13",127555,"2020-09-04",6789,7597,107102,128627,22,"3.75%"
"2020-08-14",128534,"2020-09-04",6836,7597,108055,128627,21,"3.7%"
"2020-08-15",127715,"2020-09-04",6884,7597,108992,128627,20,"3.63%"
"2020-08-16",128725,"2020-09-05",6931,7630,109758,129555,20,"3.53%"
"2020-08-17",129478,"2020-09-05",6971,7630,110631,129555,19,"3.48%"
"2020-08-18",130409,"2020-09-06",7020,7667,111572,130504,19,"3.42%"
"2020-08-19",131541,"2020-09-07",7066,7698,112482,132074,19,"3.23%"
"2020-08-20",132821,"2020-09-08",7112,7740,113504,133005,19,"3.22%"
"2020-08-21",134227,"2020-09-10",7154,7821,114781,135292,20,"3.25%"
"2020-08-22",135361,"2020-09-11",7186,7865,115913,136468,20,"3.3%"
