"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-27",1400,"2020-07-14",13,22,1014,1406,17,"2.3%"
"2020-06-28",1421,"2020-07-18",13,23,1030,1431,20,"2.49%"
"2020-06-29",1448,"2020-07-19",14,30,1095,1448,20,"4.53%"
"2020-06-30",1468,"2020-07-20",14,30,1138,1470,20,"4.82%"
"2020-07-01",1506,"2020-07-23",14,37,1192,1514,22,"7.14%"
"2020-07-02",1582,"2020-07-25",14,40,1222,1647,23,"6.12%"
"2020-07-03",1624,"2020-07-25",14,40,1235,1647,22,"6.31%"
"2020-07-04",1672,"2020-07-26",14,42,1286,1733,22,"6.26%"
"2020-07-05",1719,"2020-07-26",14,42,1290,1733,21,"6.32%"
"2020-07-06",1753,"2020-07-27",15,44,1305,1778,21,"6.13%"
"2020-07-07",1792,"2020-07-28",15,62,1319,1883,21,"8.33%"
"2020-07-08",1824,"2020-07-28",16,62,1329,1883,20,"8.3%"
"2020-07-09",1855,"2020-07-28",18,62,1343,1883,19,"8.15%"
"2020-07-10",1910,"2020-07-29",18,67,1362,1945,19,"8.4%"
"2020-07-11",1957,"2020-07-30",20,69,1366,1977,19,"8.02%"
"2020-07-12",2022,"2020-08-01",20,74,1366,2032,20,"8.11%"
"2020-07-13",2034,"2020-08-02",21,76,1388,2048,20,"8.33%"
"2020-07-14",2156,"2020-08-03",22,126,1406,2270,20,"12.04%"
"2020-07-15",2252,"2020-08-03",22,126,1406,2270,19,"12.04%"
"2020-07-16",2302,"2020-08-05",22,150,1419,2305,20,"14.45%"
"2020-07-17",2408,"2020-08-07",23,183,1420,2422,21,"15.97%"
"2020-07-18",2483,"2020-08-08",23,189,1431,2609,21,"14.09%"
"2020-07-19",2542,"2020-08-08",30,189,1448,2609,20,"13.7%"
"2020-07-20",2582,"2020-08-08",30,189,1470,2609,19,"13.96%"
"2020-07-21",2650,"2020-08-09",33,229,1483,2965,19,"13.23%"
