"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-29",14904,"2020-08-17",313,498,9327,15043,19,"3.24%"
"2020-07-30",15278,"2020-08-18",318,501,9438,15376,19,"3.08%"
"2020-07-31",15619,"2020-08-19",323,515,9611,15645,19,"3.18%"
"2020-08-01",15928,"2020-08-20",337,521,9938,16020,19,"3.03%"
"2020-08-02",16249,"2020-08-22",356,547,10023,16335,20,"3.03%"
"2020-08-03",16608,"2020-08-24",359,552,10318,16972,21,"2.9%"
"2020-08-04",16817,"2020-08-24",364,552,10634,16972,20,"2.97%"
"2020-08-05",17116,"2020-08-25",372,555,10844,17247,20,"2.86%"
"2020-08-06",17378,"2020-08-26",382,555,11030,17432,20,"2.7%"
"2020-08-07",17580,"2020-08-27",396,557,11524,17662,20,"2.62%"
"2020-08-08",17954,"2020-08-28",410,563,12090,18058,20,"2.56%"
"2020-08-09",18408,"2020-08-31",420,587,12564,18763,22,"2.69%"
"2020-08-10",18723,"2020-08-31",426,587,13172,18763,21,"2.88%"
"2020-08-11",19049,"2020-09-01",437,592,13452,19695,21,"2.48%"
"2020-08-12",19512,"2020-09-01",450,592,13906,19695,20,"2.45%"
"2020-08-13",19897,"2020-09-02",462,607,14198,20212,20,"2.41%"
"2020-08-14",20243,"2020-09-03",474,617,14420,20465,20,"2.37%"
"2020-08-15",20835,"2020-09-04",492,624,14503,21544,20,"1.87%"
"2020-08-16",21226,"2020-09-04",496,624,14671,21544,19,"1.86%"
"2020-08-17",21400,"2020-09-04",498,624,15043,21544,18,"1.94%"
"2020-08-18",21664,"2020-09-05",501,628,15376,21907,18,"1.94%"
"2020-08-19",22083,"2020-09-07",515,640,15645,22526,19,"1.82%"
"2020-08-20",22404,"2020-09-07",521,640,16020,22526,18,"1.83%"
"2020-08-21",22782,"2020-09-08",537,643,16185,23242,18,"1.5%"
"2020-08-22",23145,"2020-09-08",547,643,16335,23242,17,"1.39%"
"2020-08-23",23493,"2020-09-09",550,655,16600,23722,17,"1.47%"
"2020-08-24",23659,"2020-09-09",552,655,16972,23722,16,"1.53%"
"2020-08-25",23800,"2020-09-10",555,665,17247,24006,16,"1.63%"
"2020-08-26",24157,"2020-09-11",555,695,17432,24765,16,"1.91%"
"2020-08-27",24463,"2020-09-11",557,695,17662,24765,15,"1.94%"
"2020-08-28",24695,"2020-09-11",563,695,18058,24765,14,"1.97%"
"2020-08-29",24961,"2020-09-12",570,704,18283,24999,14,"2.%"
"2020-08-30",25250,"2020-09-13",584,713,18387,25281,14,"1.87%"
"2020-08-31",25491,"2020-09-14",587,715,18763,25623,14,"1.87%"
"2020-09-01",25896,"2020-09-16",592,734,19695,25946,15,"2.27%"
"2020-09-02",26319,"2020-09-18",607,754,20212,26950,16,"2.18%"
"2020-09-03",26769,"2020-09-18",617,754,20465,26950,15,"2.11%"
"2020-09-04",27166,"2020-09-19",624,764,21544,27246,15,"2.46%"
"2020-09-05",27647,"2020-09-21",628,770,21907,27760,16,"2.43%"
"2020-09-06",28018,"2020-09-22",637,780,21918,28389,16,"2.21%"
"2020-09-07",28182,"2020-09-22",640,780,22526,28389,15,"2.39%"
"2020-09-08",28543,"2020-09-24",643,793,23242,28678,16,"2.76%"
