"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-07",7569,"2021-03-11",276,282,7316,7598,32,"2.13%"
"2021-02-08",7578,"2021-03-11",276,282,7348,7598,31,"2.4%"
"2021-02-09",7587,"2021-03-11",276,282,7378,7598,30,"2.73%"
"2021-02-10",7609,"2021-03-12",276,284,7378,7728,30,"2.29%"
"2021-02-11",7616,"2021-03-12",275,284,7418,7728,29,"2.9%"
"2021-02-12",7626,"2021-03-12",275,284,7420,7728,28,"2.92%"
"2021-02-13",7630,"2021-03-12",275,284,7420,7728,27,"2.92%"
"2021-02-14",7651,"2021-03-12",275,284,7420,7728,26,"2.92%"
"2021-02-15",7677,"2021-03-12",275,284,7422,7728,25,"2.94%"
"2021-02-16",7708,"2021-03-12",275,284,7422,7728,24,"2.94%"
"2021-02-17",7726,"2021-03-12",275,284,7424,7728,23,"2.96%"
"2021-02-18",7754,"2021-03-13",276,292,7425,7758,23,"4.8%"
"2021-02-19",7792,"2021-03-15",276,292,7425,7900,24,"3.37%"
"2021-02-20",7810,"2021-03-15",276,292,7425,7900,23,"3.37%"
"2021-02-21",7833,"2021-03-15",276,292,7425,7900,22,"3.37%"
"2021-02-22",7853,"2021-03-15",276,292,7437,7900,21,"3.46%"
"2021-02-23",7893,"2021-03-15",276,292,7437,7900,20,"3.46%"
"2021-02-24",8003,"2021-03-16",276,294,7438,8108,20,"2.69%"
"2021-02-25",8046,"2021-03-16",276,294,7442,8108,19,"2.7%"
"2021-02-26",8081,"2021-03-16",276,294,7452,8108,18,"2.74%"
"2021-02-27",8123,"2021-03-19",276,294,7453,8251,20,"2.26%"
"2021-02-28",8173,"2021-03-19",276,294,7461,8251,19,"2.28%"
"2021-03-01",8202,"2021-03-19",276,294,7465,8251,18,"2.29%"
"2021-03-02",8222,"2021-03-19",276,294,7471,8251,17,"2.31%"
"2021-03-03",8274,"2021-03-20",276,297,7477,8372,17,"2.35%"
"2021-03-04",8297,"2021-03-20",276,297,7495,8372,16,"2.39%"
"2021-03-05",8343,"2021-03-20",276,297,7502,8372,15,"2.41%"
"2021-03-06",8405,"2021-03-22",276,297,7502,8478,16,"2.15%"
"2021-03-07",8447,"2021-03-22",276,297,7509,8478,15,"2.17%"
"2021-03-08",8494,"2021-03-23",276,300,7533,8572,15,"2.31%"
"2021-03-09",8562,"2021-03-23",277,300,7558,8572,14,"2.27%"
"2021-03-10",8661,"2021-03-25",279,304,7564,8661,15,"2.28%"
"2021-03-11",8718,"2021-03-27",282,316,7598,8781,16,"2.87%"
"2021-03-12",8798,"2021-03-28",284,317,7728,8841,16,"2.96%"
"2021-03-13",8852,"2021-03-29",292,324,7758,8866,16,"2.89%"
"2021-03-14",8936,"2021-03-30",292,327,7771,8969,16,"2.92%"
"2021-03-15",9075,"2021-03-31",292,333,7900,9096,16,"3.43%"
"2021-03-16",9226,"2021-04-03",294,337,8108,9266,18,"3.71%"
"2021-03-17",9418,"2021-04-05",294,341,8117,9586,19,"3.2%"
"2021-03-18",9587,"2021-04-06",294,342,8117,9851,19,"2.77%"
"2021-03-19",9780,"2021-04-06",294,342,8251,9851,18,"3.%"
"2021-03-20",10078,"2021-04-09",297,366,8372,12779,20,"1.57%"
"2021-03-21",10330,"2021-04-09",297,366,8384,12779,19,"1.57%"
"2021-03-22",10605,"2021-04-09",297,366,8478,12779,18,"1.6%"
"2021-03-23",10946,"2021-04-09",300,366,8572,12779,17,"1.57%"
"2021-03-24",11235,"2021-04-09",300,366,8588,12779,16,"1.57%"
"2021-03-25",11646,"2021-04-09",304,366,8661,12779,15,"1.51%"
"2021-03-26",11977,"2021-04-09",309,366,8674,12779,14,"1.39%"
"2021-03-27",12176,"2021-04-09",316,366,8781,12779,13,"1.25%"
"2021-03-28",12506,"2021-04-09",317,366,8841,12779,12,"1.24%"
"2021-03-29",12913,"2021-04-12",324,399,8866,12996,14,"1.82%"
"2021-03-30",13365,"2021-04-17",327,427,8969,13419,18,"2.25%"
"2021-03-31",13756,"2021-04-20",333,457,9096,13841,20,"2.61%"
"2021-04-01",14205,"2021-04-23",337,492,9161,19688,22,"1.47%"
"2021-04-02",14705,"2021-04-23",337,492,9198,19688,21,"1.48%"
"2021-04-03",14960,"2021-04-23",337,492,9266,19688,20,"1.49%"
"2021-04-04",15831,"2021-04-23",340,492,9375,19688,19,"1.47%"
"2021-04-05",16160,"2021-04-23",341,492,9586,19688,18,"1.49%"
"2021-04-06",16789,"2021-04-23",342,492,9851,19688,17,"1.52%"
"2021-04-07",17317,"2021-04-23",352,492,9908,19688,16,"1.43%"
"2021-04-08",18044,"2021-04-23",362,492,9996,19688,15,"1.34%"
"2021-04-09",18764,"2021-04-23",366,492,12779,19688,14,"1.82%"
"2021-04-10",19490,"2021-04-23",372,492,12846,19688,13,"1.75%"
"2021-04-11",20388,"2021-04-27",384,523,12893,20390,16,"1.85%"
"2021-04-12",20920,"2021-04-28",399,540,12996,24809,16,"1.19%"
"2021-04-13",21470,"2021-04-28",404,540,13022,24809,15,"1.15%"
"2021-04-14",22016,"2021-04-28",407,540,13069,24809,14,"1.13%"
"2021-04-15",22934,"2021-04-28",414,540,13163,24809,13,"1.08%"
"2021-04-16",23775,"2021-04-28",421,540,13339,24809,12,"1.04%"
"2021-04-17",24644,"2021-04-28",427,540,13419,24809,11,".99%"
"2021-04-18",25501,"2021-05-03",444,594,13508,29960,15,".91%"
"2021-04-19",26136,"2021-05-03",451,594,13605,29960,14,".87%"
"2021-04-20",26905,"2021-05-03",457,594,13841,29960,13,".85%"
"2021-04-21",27733,"2021-05-03",464,594,13883,29960,12,".81%"
"2021-04-22",28406,"2021-05-03",487,594,14047,29960,11,".67%"
"2021-04-23",29424,"2021-05-03",492,594,19688,29960,10,".99%"
"2021-04-24",30340,"2021-05-07",497,653,19793,30509,13,"1.46%"
"2021-04-25",31184,"2021-05-09",502,683,19895,31603,14,"1.55%"
"2021-04-26",31689,"2021-05-10",508,690,20102,32228,14,"1.5%"
"2021-04-27",32666,"2021-05-11",523,705,20390,38298,14,"1.02%"
"2021-04-28",33662,"2021-05-11",540,705,24809,38298,13,"1.22%"
"2021-04-29",34975,"2021-05-11",547,705,24816,38298,12,"1.17%"
"2021-04-30",35685,"2021-05-11",563,705,24832,38298,11,"1.05%"
"2021-05-01",36938,"2021-05-11",574,705,24926,38298,10,".98%"
"2021-05-02",37930,"2021-05-11",587,705,25005,38298,9,".89%"
"2021-05-03",38798,"2021-05-16",594,757,29960,39234,13,"1.76%"
"2021-05-04",39367,"2021-05-17",603,784,29969,42304,13,"1.47%"
"2021-05-05",40174,"2021-05-17",619,784,30031,42304,12,"1.34%"
"2021-05-06",40881,"2021-05-17",627,784,30221,42304,11,"1.3%"
"2021-05-07",41519,"2021-05-17",653,784,30509,42304,10,"1.11%"
"2021-05-08",42087,"2021-05-17",674,784,31016,42304,9,".97%"
"2021-05-09",42598,"2021-05-20",683,812,31603,43421,11,"1.09%"
"2021-05-10",43338,"2021-05-20",690,812,32228,43421,10,"1.09%"
"2021-05-11",43893,"2021-05-24",705,869,38298,44087,13,"2.83%"
"2021-05-12",44708,"2021-05-27",718,894,38311,45445,15,"2.47%"
"2021-05-13",45183,"2021-05-27",725,894,38570,45445,14,"2.46%"
"2021-05-14",45779,"2021-05-28",730,898,38619,45797,14,"2.34%"
"2021-05-15",46100,"2021-05-30",737,915,38778,46103,15,"2.43%"
"2021-05-16",46546,"2021-06-01",757,926,39234,46644,16,"2.28%"
"2021-05-17",46728,"2021-06-02",784,930,42304,46924,16,"3.16%"
"2021-05-18",46990,"2021-06-03",791,931,42415,47299,16,"2.87%"
"2021-05-19",47368,"2021-06-04",801,981,42425,47483,16,"3.56%"
"2021-05-20",47713,"2021-06-05",812,984,43421,48353,16,"3.49%"
"2021-05-21",48057,"2021-06-05",839,984,43448,48353,15,"2.96%"
"2021-05-22",48268,"2021-06-05",843,984,43543,48353,14,"2.93%"
"2021-05-23",48602,"2021-06-06",860,987,43778,48859,14,"2.5%"
"2021-05-24",48889,"2021-06-07",869,990,44087,49147,14,"2.39%"
"2021-05-25",49295,"2021-06-08",880,997,44490,49444,14,"2.36%"
"2021-05-26",49536,"2021-06-09",890,1001,44693,49718,14,"2.21%"
"2021-05-27",49761,"2021-06-10",894,1009,45445,49914,14,"2.57%"
"2021-05-28",49859,"2021-06-10",898,1009,45797,49914,13,"2.7%"
"2021-05-29",50041,"2021-06-12",909,1029,45883,50060,14,"2.87%"
"2021-05-30",50238,"2021-06-16",915,1101,46103,50259,17,"4.48%"
"2021-05-31",50293,"2021-06-19",919,1114,46468,50302,19,"5.09%"
"2021-06-01",50347,"2021-06-21",926,1117,46644,50418,20,"5.06%"
"2021-06-02",50394,"2021-06-21",930,1117,46924,50418,19,"5.35%"
"2021-06-03",50429,"2021-06-23",931,1121,47299,50475,20,"5.98%"
"2021-06-04",50476,"2021-06-24",981,1128,47483,50482,20,"4.9%"
"2021-06-05",50523,"2021-06-26",984,1143,48353,50578,21,"7.15%"
"2021-06-06",50570,"2021-06-26",987,1143,48859,50578,20,"9.08%"
"2021-06-07",50613,"2021-06-28",990,1159,49147,50648,21,"11.26%"
"2021-06-08",50665,"2021-06-29",997,1159,49444,50683,21,"13.08%"
"2021-06-09",50683,"2021-06-29",1001,1159,49718,50683,20,"16.37%"
"2021-06-10",50708,"2021-06-30",1009,1159,49914,50810,20,"16.74%"
"2021-06-11",50741,"2021-06-30",1020,1159,49971,50810,19,"16.57%"
"2021-06-12",50768,"2021-06-30",1029,1159,50060,50810,18,"17.33%"
"2021-06-13",50794,"2021-06-30",1049,1159,50120,50810,17,"15.94%"
"2021-06-14",50821,"2021-07-01",1066,1161,50170,50871,17,"13.55%"
