"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-10",36,"2020-05-24",,2,,37,14,"-"
"2020-05-11",42,"2020-05-25",1,3,,47,14,"-"
"2020-05-12",55,"2020-05-26",1,4,,61,14,"-"
"2020-05-13",60,"2020-05-26",2,4,,61,13,"-"
"2020-05-14",83,"2020-05-29",2,4,,87,15,"-"
"2020-05-15",86,"2020-05-29",2,4,5,87,14,"2.44%"
"2020-05-16",91,"2020-05-31",2,4,10,97,15,"2.3%"
"2020-05-17",95,"2020-05-31",2,4,11,97,14,"2.33%"
"2020-05-18",101,"2020-06-02",2,4,12,117,15,"1.9%"
"2020-05-19",102,"2020-06-02",2,4,12,117,14,"1.9%"
"2020-05-20",116,"2020-06-02",2,4,29,117,13,"2.27%"
"2020-05-21",123,"2020-06-05",2,9,29,133,15,"6.73%"
"2020-05-22",135,"2020-06-06",2,9,29,162,15,"5.26%"
"2020-05-23",142,"2020-06-06",2,9,29,162,14,"5.26%"
"2020-05-24",155,"2020-06-06",2,9,37,162,13,"5.6%"
"2020-05-25",167,"2020-06-08",3,12,47,189,14,"6.34%"
"2020-05-26",171,"2020-06-08",4,12,61,189,13,"6.25%"
"2020-05-27",192,"2020-06-09",4,13,68,195,13,"7.09%"
"2020-05-28",204,"2020-06-11",4,14,75,216,14,"7.09%"
"2020-05-29",216,"2020-06-11",4,14,87,216,13,"7.75%"
"2020-05-30",242,"2020-06-12",4,14,89,248,13,"6.29%"
"2020-05-31",264,"2020-06-13",4,14,97,265,13,"5.95%"
"2020-06-01",264,"2020-06-13",4,14,98,265,12,"5.99%"
"2020-06-02",304,"2020-06-16",4,16,117,312,14,"6.15%"
"2020-06-03",314,"2020-06-17",4,16,117,319,14,"5.94%"
"2020-06-04",329,"2020-06-19",4,16,122,339,15,"5.53%"
"2020-06-05",344,"2020-06-21",9,16,133,345,16,"3.3%"
"2020-06-06",352,"2020-06-22",9,16,162,356,16,"3.61%"
"2020-06-07",354,"2020-06-22",9,16,163,356,15,"3.63%"
"2020-06-08",371,"2020-06-24",12,24,189,380,16,"6.28%"
"2020-06-09",378,"2020-06-24",13,24,195,380,15,"5.95%"
"2020-06-10",381,"2020-06-25",13,24,199,393,15,"5.67%"
"2020-06-11",381,"2020-06-25",14,24,216,393,14,"5.65%"
"2020-06-12",391,"2020-06-25",14,24,248,393,13,"6.9%"
"2020-06-13",392,"2020-06-25",14,24,265,393,12,"7.81%"
"2020-06-14",392,"2020-06-25",15,24,286,393,11,"8.41%"
"2020-06-15",435,"2020-06-27",16,24,301,438,12,"5.84%"
"2020-06-16",445,"2020-06-30",17,26,312,456,14,"6.25%"
"2020-06-17",459,"2020-07-01",17,26,319,466,14,"6.12%"
"2020-06-18",472,"2020-07-04",17,26,324,479,16,"5.81%"
"2020-06-19",474,"2020-07-04",17,26,339,479,15,"6.43%"
"2020-06-20",482,"2020-07-05",16,26,341,492,15,"6.62%"
"2020-06-21",501,"2020-07-06",16,27,345,505,15,"6.88%"
"2020-06-22",501,"2020-07-06",16,27,356,505,14,"7.38%"
"2020-06-23",504,"2020-07-06",22,27,369,505,13,"3.68%"
"2020-06-24",517,"2020-07-07",24,27,380,530,13,"2.%"
"2020-06-25",529,"2020-07-07",24,27,393,530,12,"2.19%"
"2020-06-26",537,"2020-07-08",24,27,417,543,12,"2.38%"
"2020-06-27",545,"2020-07-09",24,27,438,553,12,"2.61%"
"2020-06-28",569,"2020-07-11",25,28,443,582,13,"2.16%"
"2020-06-29",570,"2020-07-11",25,28,444,582,12,"2.17%"
"2020-06-30",595,"2020-07-12",26,29,456,625,12,"1.78%"
"2020-07-01",614,"2020-07-12",26,29,466,625,11,"1.89%"
