"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-21",293,"2020-07-11",6,14,141,311,20,"4.71%"
"2020-06-22",297,"2020-07-11",6,14,149,311,19,"4.94%"
"2020-06-23",302,"2020-07-11",8,14,155,311,18,"3.85%"
"2020-06-24",303,"2020-07-11",8,14,159,311,17,"3.95%"
"2020-06-25",320,"2020-07-13",8,17,177,342,18,"5.45%"
"2020-06-26",323,"2020-07-13",8,17,179,342,17,"5.52%"
"2020-06-27",332,"2020-07-13",9,17,184,342,16,"5.06%"
"2020-06-28",347,"2020-07-14",10,18,186,378,16,"4.17%"
"2020-06-29",368,"2020-07-14",10,18,192,378,15,"4.3%"
"2020-06-30",376,"2020-07-14",10,18,202,378,14,"4.55%"
"2020-07-01",396,"2020-07-16",10,20,213,399,15,"5.38%"
"2020-07-02",411,"2020-07-18",10,20,219,435,16,"4.63%"
"2020-07-03",376,"2020-07-14",10,18,224,378,11,"5.19%"
"2020-07-04",417,"2020-07-18",10,20,232,435,14,"4.93%"
"2020-07-05",430,"2020-07-18",10,20,236,435,13,"5.03%"
"2020-07-06",462,"2020-07-19",10,26,239,477,13,"6.72%"
"2020-07-07",479,"2020-07-20",10,30,246,510,13,"7.58%"
"2020-07-08",501,"2020-07-20",12,30,255,510,12,"7.06%"
"2020-07-09",523,"2020-07-22",12,36,270,554,13,"8.45%"
"2020-07-10",550,"2020-07-22",13,36,290,554,12,"8.71%"
"2020-07-11",578,"2020-07-24",14,41,311,606,13,"9.15%"
"2020-07-12",597,"2020-07-24",14,41,319,606,12,"9.41%"
"2020-07-13",622,"2020-07-25",17,44,342,628,12,"9.44%"
"2020-07-14",648,"2020-07-26",18,47,378,658,12,"10.36%"
"2020-07-15",670,"2020-07-27",20,49,389,721,12,"8.73%"
"2020-07-16",745,"2020-07-28",20,54,399,815,12,"8.17%"
"2020-07-17",813,"2020-07-28",20,54,406,815,11,"8.31%"
"2020-07-18",870,"2020-07-30",20,57,435,917,12,"7.68%"
"2020-07-19",896,"2020-07-30",26,57,477,917,11,"7.05%"
"2020-07-20",965,"2020-07-31",30,62,510,977,11,"6.85%"
"2020-07-21",1026,"2020-08-01",32,70,522,1079,11,"6.82%"
"2020-07-22",1095,"2020-08-02",36,76,554,1115,11,"7.13%"
"2020-07-23",1179,"2020-08-03",41,85,571,1208,11,"6.91%"
"2020-07-24",1230,"2020-08-04",41,93,606,1313,11,"7.36%"
"2020-07-25",1301,"2020-08-04",44,93,628,1313,10,"7.15%"
"2020-07-26",1465,"2020-08-06",47,105,658,1525,11,"6.69%"
"2020-07-27",1572,"2020-08-07",49,108,721,1663,11,"6.26%"
"2020-07-28",1701,"2020-08-08",54,116,815,1924,11,"5.59%"
"2020-07-29",1840,"2020-08-08",54,116,854,1924,10,"5.79%"
"2020-07-30",2092,"2020-08-10",57,139,917,2201,11,"6.39%"
"2020-07-31",2345,"2020-08-12",62,158,977,2756,12,"5.4%"
"2020-08-01",2619,"2020-08-12",70,158,1079,2756,11,"5.25%"
"2020-08-02",2672,"2020-08-12",76,158,1115,2756,10,"5.%"
"2020-08-03",3151,"2020-08-14",85,187,1208,3517,11,"4.42%"
"2020-08-04",3406,"2020-08-14",93,187,1313,3517,10,"4.26%"
"2020-08-05",3605,"2020-08-15",100,195,1408,3661,10,"4.22%"
"2020-08-06",3934,"2020-08-17",105,216,1525,4028,11,"4.43%"
"2020-08-07",4126,"2020-08-18",108,227,1663,4337,11,"4.45%"
"2020-08-08",4378,"2020-08-19",116,245,1924,4626,11,"4.77%"
"2020-08-09",4687,"2020-08-20",123,260,2084,4861,11,"4.93%"
"2020-08-10",4876,"2020-08-21",139,272,2201,5000,11,"4.75%"
"2020-08-11",5017,"2020-08-22",144,285,2326,5335,11,"4.69%"
"2020-08-12",5198,"2020-08-22",158,285,2756,5335,10,"4.92%"
"2020-08-13",5421,"2020-08-23",168,296,3098,5497,10,"5.34%"
"2020-08-14",5744,"2020-08-25",187,318,3517,5888,11,"5.53%"
"2020-08-15",6080,"2020-08-27",195,355,3661,6456,12,"5.72%"
"2020-08-16",6402,"2020-08-27",208,355,3801,6456,11,"5.54%"
"2020-08-17",6718,"2020-08-28",216,379,4028,6721,11,"6.05%"
"2020-08-18",7123,"2020-08-29",227,402,4337,7246,11,"6.02%"
"2020-08-19",7442,"2020-08-30",245,420,4626,7662,11,"5.76%"
"2020-08-20",7837,"2020-08-31",260,426,4861,7978,11,"5.33%"
"2020-08-21",8191,"2020-09-02",272,459,5000,8439,12,"5.44%"
"2020-08-22",8579,"2020-09-03",285,483,5335,9068,12,"5.3%"
"2020-08-23",8904,"2020-09-03",296,483,5497,9068,11,"5.24%"
"2020-08-24",9328,"2020-09-04",303,507,5729,9666,11,"5.18%"
"2020-08-25",9666,"2020-09-04",318,507,5888,9666,10,"5.%"
"2020-08-26",10108,"2020-09-06",338,560,6054,10255,11,"5.28%"
"2020-08-27",10636,"2020-09-07",355,567,6456,11061,11,"4.6%"
"2020-08-28",11252,"2020-09-08",379,595,6721,11501,11,"4.52%"
"2020-08-29",11835,"2020-09-09",402,631,7246,12542,11,"4.32%"
"2020-08-30",12525,"2020-09-09",420,631,7662,12542,10,"4.32%"
"2020-08-31",13272,"2020-09-11",426,683,7978,13775,11,"4.43%"
"2020-09-01",14442,"2020-09-13",444,739,8150,14677,12,"4.52%"
"2020-09-02",15195,"2020-09-14",459,770,8439,15453,12,"4.43%"
"2020-09-03",16040,"2020-09-15",483,808,9068,16202,12,"4.56%"
"2020-09-04",16761,"2020-09-16",507,839,9666,16927,12,"4.57%"
"2020-09-05",17636,"2020-09-17",518,882,10034,17948,12,"4.6%"
