"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-12",5174,"2020-12-26",134,150,4909,5206,44,"5.39%"
"2020-11-13",5183,"2020-12-26",135,150,4923,5206,43,"5.3%"
"2020-11-14",5195,"2020-12-26",135,150,4932,5206,42,"5.47%"
"2020-11-15",5207,"2020-12-27",136,153,4939,5213,42,"6.2%"
"2020-11-16",5214,"2020-12-28",137,153,4946,5241,42,"5.42%"
"2020-11-17",5221,"2020-12-28",139,153,4950,5241,41,"4.81%"
"2020-11-18",5235,"2020-12-28",139,153,4969,5241,40,"5.15%"
"2020-11-19",5248,"2020-12-29",141,153,5015,5249,40,"5.13%"
"2020-11-20",5257,"2020-12-30",142,155,5021,5257,40,"5.51%"
"2020-11-21",5288,"2021-01-03",142,155,5032,5294,43,"4.96%"
"2020-11-22",5303,"2021-01-04",142,155,5033,5309,43,"4.71%"
"2020-11-23",5306,"2021-01-04",142,155,5041,5309,42,"4.85%"
"2020-11-24",5330,"2021-01-05",142,156,5057,5331,42,"5.11%"
"2020-11-25",5342,"2021-01-06",143,157,5073,5348,42,"5.09%"
"2020-11-26",5355,"2021-01-08",143,159,5074,5356,43,"5.67%"
"2020-11-27",5372,"2021-01-12",144,161,5090,5387,46,"5.72%"
"2020-11-28",5389,"2021-01-13",148,161,5104,5433,46,"3.95%"
"2020-11-29",5404,"2021-01-13",149,161,5108,5433,45,"3.69%"
"2020-11-30",5424,"2021-01-13",149,161,5125,5433,44,"3.9%"
"2020-12-01",5438,"2021-01-14",149,162,5134,5442,44,"4.22%"
"2020-12-26",5451,"2021-01-15",150,163,5206,5463,20,"5.06%"
"2020-12-27",5462,"2021-01-15",153,163,5213,5463,19,"4.%"
"2020-12-28",5466,"2021-01-16",153,163,5241,5470,19,"4.37%"
"2020-12-29",5493,"2021-01-19",153,163,5249,5510,21,"3.83%"
"2020-12-30",5500,"2021-01-19",155,163,5257,5510,20,"3.16%"
"2020-12-31",5508,"2021-01-19",155,163,5270,5510,19,"3.33%"
"2021-01-01",5514,"2021-01-20",155,163,5280,5575,19,"2.71%"
"2021-01-02",5526,"2021-01-20",155,163,5283,5575,18,"2.74%"
"2021-01-03",5535,"2021-01-20",155,163,5294,5575,17,"2.85%"
"2021-01-04",5557,"2021-01-20",155,163,5309,5575,16,"3.01%"
"2021-01-05",5587,"2021-01-22",156,163,5331,5591,17,"2.69%"
"2021-01-06",5594,"2021-01-23",157,163,5348,5594,17,"2.44%"
"2021-01-07",5598,"2021-01-24",157,163,5351,5604,17,"2.37%"
"2021-01-08",5617,"2021-01-26",159,163,5356,5619,18,"1.52%"
"2021-01-09",5623,"2021-01-27",159,164,5356,5645,18,"1.73%"
"2021-01-10",5634,"2021-01-27",159,164,5356,5645,17,"1.73%"
"2021-01-11",5635,"2021-01-27",159,164,5361,5645,16,"1.76%"
"2021-01-12",5649,"2021-01-28",161,164,5387,5660,16,"1.1%"
"2021-01-13",5672,"2021-01-29",161,164,5433,5682,16,"1.2%"
"2021-01-14",5685,"2021-01-30",162,164,5442,5687,16,".82%"
"2021-01-15",5699,"2021-02-01",163,165,5463,5712,17,".8%"
"2021-01-16",5707,"2021-02-01",163,165,5470,5712,16,".83%"
"2021-01-17",5728,"2021-02-02",163,165,5472,5742,16,".74%"
"2021-01-18",5733,"2021-02-02",163,165,5486,5742,15,".78%"
"2021-01-19",5753,"2021-02-04",163,165,5510,5753,16,".82%"
"2021-01-20",5763,"2021-02-06",163,166,5575,5775,17,"1.5%"
"2021-01-21",5777,"2021-02-07",163,166,5584,5798,17,"1.4%"
"2021-01-22",5793,"2021-02-07",163,166,5591,5798,16,"1.45%"
"2021-01-23",5806,"2021-02-09",163,166,5594,5807,17,"1.41%"
"2021-01-24",5811,"2021-02-11",163,168,5604,5812,18,"2.4%"
"2021-01-25",5823,"2021-02-12",163,168,5612,5825,18,"2.35%"
"2021-01-26",5843,"2021-02-13",163,171,5619,5845,18,"3.54%"
"2021-01-27",5843,"2021-02-13",164,171,5645,5845,17,"3.5%"
"2021-01-28",5864,"2021-02-15",164,171,5660,5889,18,"3.06%"
"2021-01-29",5883,"2021-02-15",164,171,5682,5889,17,"3.38%"
"2021-01-30",5895,"2021-02-16",164,171,5687,5896,17,"3.35%"
"2021-01-31",5900,"2021-02-17",165,172,5691,5901,17,"3.33%"
"2021-02-01",5909,"2021-02-22",165,172,5712,5916,21,"3.43%"
"2021-02-02",5918,"2021-02-23",165,172,5742,5944,21,"3.47%"
"2021-02-03",5924,"2021-02-23",165,172,5744,5944,20,"3.5%"
"2021-02-04",5932,"2021-02-23",165,172,5753,5944,19,"3.66%"
"2021-02-05",5937,"2021-02-23",166,172,5756,5944,18,"3.19%"
"2021-02-06",5944,"2021-02-23",166,172,5775,5944,17,"3.55%"
"2021-02-07",5958,"2021-02-24",166,172,5798,5969,17,"3.51%"
"2021-02-08",5962,"2021-02-24",166,172,5803,5969,16,"3.61%"
"2021-02-09",5965,"2021-02-24",166,172,5807,5969,15,"3.7%"
"2021-02-10",5975,"2021-02-25",167,172,5809,5986,15,"2.82%"
"2021-02-11",5985,"2021-02-25",168,172,5812,5986,14,"2.3%"
"2021-02-12",5995,"2021-02-27",168,172,5825,5996,15,"2.34%"
"2021-02-13",6013,"2021-03-03",171,172,5845,6013,18,".6%"
"2021-02-14",6024,"2021-03-05",171,173,5857,6033,19,"1.14%"
"2021-02-15",6028,"2021-03-05",171,173,5889,6033,18,"1.39%"
"2021-02-16",6034,"2021-03-06",171,173,5896,6042,18,"1.37%"
"2021-02-17",6041,"2021-03-06",172,173,5901,6042,17,".71%"
"2021-02-18",6046,"2021-03-07",172,173,5902,6050,17,".68%"
"2021-02-19",6052,"2021-03-08",172,174,5903,6058,17,"1.29%"
"2021-02-20",6053,"2021-03-08",172,174,5903,6058,16,"1.29%"
"2021-02-21",6057,"2021-03-08",172,174,5904,6058,15,"1.3%"
"2021-02-22",6066,"2021-03-09",172,174,5916,6075,15,"1.26%"
"2021-02-23",6071,"2021-03-09",172,174,5944,6075,14,"1.53%"
"2021-02-24",6077,"2021-03-10",172,174,5969,6098,14,"1.55%"
