"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-07",17635,"2020-05-27",353,1565,2401,18046,20,"7.75%"
"2020-05-08",18899,"2020-05-29",390,1766,2614,27295,21,"5.58%"
"2020-05-09",20002,"2020-05-29",447,1766,2996,27295,20,"5.43%"
"2020-05-10",22188,"2020-05-29",499,1766,3436,27295,19,"5.31%"
"2020-05-11",23237,"2020-05-29",533,1766,4003,27295,18,"5.29%"
"2020-05-12",24288,"2020-05-29",578,1766,4395,27295,17,"5.19%"
"2020-05-13",25889,"2020-05-29",633,1766,4849,27295,16,"5.05%"
"2020-05-14",27253,"2020-05-29",675,1766,5421,27295,15,"4.99%"
"2020-05-15",28848,"2020-05-31",727,1942,5925,29823,16,"5.08%"
"2020-05-16",30632,"2020-06-02",794,2132,6485,32044,17,"5.23%"
"2020-05-17",32972,"2020-06-03",857,2254,7120,33117,17,"5.37%"
"2020-05-18",35063,"2020-06-05",918,2516,7905,36201,18,"5.65%"
"2020-05-19",37088,"2020-06-06",991,2615,9152,38409,18,"5.55%"
"2020-05-20",39162,"2020-06-07",1057,2723,9882,40468,18,"5.45%"
"2020-05-21",41564,"2020-06-08",1113,2829,11363,42212,18,"5.56%"
"2020-05-22",44574,"2020-06-10",1176,3107,12377,46121,19,"5.72%"
"2020-05-23",46903,"2020-06-11",1234,3240,13228,48004,19,"5.77%"
"2020-05-24",49840,"2020-06-12",1297,3367,14433,49849,19,"5.84%"
"2020-05-25",52346,"2020-06-14",1352,3615,15598,53187,20,"6.02%"
"2020-05-26",54516,"2020-06-15",1460,3794,16982,58449,20,"5.63%"
"2020-05-27",56704,"2020-06-15",1565,3794,18046,58449,19,"5.52%"
"2020-05-28",59421,"2020-06-16",1649,5204,18805,61668,19,"8.29%"
"2020-05-29",62176,"2020-06-17",1766,5319,27295,63138,19,"9.91%"
"2020-05-30",65163,"2020-06-19",1865,5556,28422,66851,20,"9.6%"
"2020-05-31",67547,"2020-06-20",1942,5652,29823,68436,20,"9.61%"
"2020-06-01",69461,"2020-06-21",2023,5834,30529,70169,20,"9.61%"
"2020-06-02",72163,"2020-06-23",2132,6195,32044,74376,21,"9.6%"
"2020-06-03",74686,"2020-06-24",2254,6406,33117,78760,21,"9.1%"
"2020-06-04",77752,"2020-06-24",2379,6406,34609,78760,20,"9.12%"
"2020-06-05",80174,"2020-06-25",2516,6799,36201,86857,20,"8.46%"
"2020-06-06",82637,"2020-06-25",2615,6799,38409,86857,19,"8.64%"
"2020-06-07",85816,"2020-06-25",2723,6799,40468,86857,18,"8.79%"
"2020-06-08",88450,"2020-06-26",2829,6982,42212,89639,18,"8.76%"
"2020-06-09",90695,"2020-06-27",2954,7096,44040,92243,18,"8.59%"
"2020-06-10",93932,"2020-06-27",3107,7150,46121,94242,17,"8.4%"
"2020-06-11",97538,"2020-07-01",3240,7719,48004,99228,20,"8.74%"
"2020-06-12",100917,"2020-07-02",3367,7828,49849,107277,20,"7.77%"
"2020-06-13",103930,"2020-07-02",3471,7828,51156,107277,19,"7.76%"
"2020-06-14",107820,"2020-07-03",3615,8044,53187,111375,19,"7.61%"
"2020-06-15",110715,"2020-07-03",3794,8044,58449,111375,18,"8.03%"
"2020-06-16",113442,"2020-07-04",5204,8340,61668,115078,18,"5.87%"
"2020-06-17",116697,"2020-07-05",5319,8482,63138,118780,18,"5.68%"
"2020-06-18",120152,"2020-07-06",5409,9116,64599,130935,18,"5.59%"
"2020-06-19",124125,"2020-07-06",5556,9116,66851,130935,17,"5.56%"
"2020-06-20",128092,"2020-07-06",5652,9116,68436,130935,16,"5.54%"
"2020-06-21",131836,"2020-07-06",5834,9562,70169,138165,15,"5.48%"
"2020-06-22",135597,"2020-07-06",5946,9562,72156,138165,14,"5.48%"
"2020-06-23",138692,"2020-07-07",6195,9562,74376,140803,14,"5.07%"
"2020-06-24",142808,"2020-07-09",6406,9952,78760,148610,15,"5.08%"
"2020-06-25",151439,"2020-07-09",6799,10364,86857,155634,14,"5.18%"
"2020-06-26",156700,"2020-07-11",6982,10364,89639,158057,15,"4.94%"
"2020-06-27",163083,"2020-07-11",7150,10863,94242,165775,14,"5.19%"
"2020-06-28",164486,"2020-07-11",7096,10863,92243,165775,13,"5.12%"
"2020-06-29",169864,"2020-07-13",7279,11120,94923,170115,14,"5.11%"
"2020-06-30",174597,"2020-07-15",7523,11523,97003,179737,15,"4.83%"
"2020-07-01",180003,"2020-07-15",7719,11699,99228,182284,14,"4.79%"
"2020-07-02",185913,"2020-07-18",7828,11942,107277,192583,16,"4.82%"
"2020-07-03",193034,"2020-07-18",8044,12225,111375,195988,15,"4.94%"
"2020-07-04",200023,"2020-07-23",8340,12523,115078,205373,19,"4.63%"
"2020-07-05",206364,"2020-07-24",8482,12801,118780,211360,19,"4.67%"
"2020-07-06",238116,"2020-07-28",9635,13834,138165,244650,22,"3.94%"
"2020-07-07",243131,"2020-07-28",9856,13834,141606,244650,21,"3.86%"
"2020-07-08",223758,"2020-07-26",9116,13325,130935,225130,18,"4.47%"
"2020-07-09",263348,"2020-07-31",10475,14985,155634,280419,22,"3.61%"
"2020-07-10",238420,"2020-07-28",9562,13834,140803,244650,18,"4.11%"
"2020-07-11",279321,"2020-07-31",10923,14985,165775,280419,20,"3.54%"
"2020-07-12",254014,"2020-07-30",9952,14398,148610,261584,18,"3.94%"
"2020-07-13",293360,"2020-07-31",11279,15511,173581,297218,18,"3.42%"
"2020-07-14",267624,"2020-07-31",10364,14985,158057,280419,17,"3.78%"
"2020-07-15",308345,"2020-08-04",11735,15811,182284,313982,20,"3.09%"
"2020-07-16",284240,"2020-07-31",10863,15245,167676,290869,15,"3.56%"
"2020-07-17",292498,"2020-07-31",11120,15511,170115,297218,14,"3.45%"
"2020-07-18",333686,"2020-08-07",12404,16761,195988,342857,20,"2.97%"
"2020-07-19",310414,"2020-08-04",11523,15811,179737,313982,16,"3.19%"
"2020-07-20",318654,"2020-08-05",11699,16145,185366,320481,16,"3.29%"
"2020-07-21",326861,"2020-08-06",11942,16461,192583,331651,16,"3.25%"
"2020-07-22",337566,"2020-08-07",12225,16761,198606,342857,16,"3.14%"
"2020-07-23",347461,"2020-08-08",12523,17036,205373,354213,16,"3.03%"
"2020-07-24",357076,"2020-08-09",12801,17426,211360,367951,16,"2.95%"
"2020-07-25",366327,"2020-08-09",13058,17426,218829,367951,15,"2.93%"
"2020-07-26",375758,"2020-08-11",13325,17975,225130,385225,16,"2.9%"
"2020-07-27",383682,"2020-08-11",13552,17975,234056,385225,15,"2.93%"
"2020-07-28",391399,"2020-08-12",13834,18319,244650,398977,15,"2.91%"
"2020-07-29",400357,"2020-08-13",14129,18732,252238,408505,15,"2.95%"
"2020-07-30",411757,"2020-08-14",14398,19096,261584,419353,15,"2.98%"
"2020-07-31",463203,"2020-08-19",16048,20702,297218,466398,19,"2.75%"
"2020-08-01",431678,"2020-08-16",14985,19706,280419,435644,15,"3.04%"
"2020-08-02",441187,"2020-08-17",15245,19912,290869,446536,15,"3.%"
"2020-08-03",450155,"2020-08-18",15511,20356,301356,457041,15,"3.11%"
"2020-08-04",457915,"2020-08-19",15811,20702,313982,466398,15,"3.21%"
"2020-08-05",468224,"2020-08-20",16145,21028,320481,478967,15,"3.08%"
"2020-08-06",479738,"2020-08-21",16461,21367,331651,491055,15,"3.08%"
"2020-08-07",490221,"2020-08-21",16761,21367,342857,491055,14,"3.11%"
"2020-08-08",503144,"2020-08-23",17036,21922,354213,509008,15,"3.16%"
"2020-08-09",515291,"2020-08-24",17426,22134,367951,523439,15,"3.03%"
"2020-08-10",524472,"2020-08-25",17719,22463,374955,536068,15,"2.94%"
"2020-08-11",535560,"2020-08-25",17975,22463,385225,536068,14,"2.98%"
"2020-08-12",548272,"2020-08-27",18319,23113,398977,553491,15,"3.1%"
"2020-08-13",560085,"2020-08-28",18732,23444,408505,565429,15,"3.%"
"2020-08-14",572693,"2020-08-29",19096,23772,419353,577298,15,"2.96%"
"2020-08-15",584713,"2020-08-30",19418,24068,426519,585284,15,"2.93%"
"2020-08-16",595824,"2020-08-31",19706,24252,435644,596626,15,"2.82%"
"2020-08-17",603294,"2020-09-01",19912,24572,446536,607924,15,"2.89%"
"2020-08-18",615436,"2020-09-02",20356,24864,457041,622175,15,"2.73%"
"2020-08-19",628601,"2020-09-03",20702,25255,466398,636554,15,"2.68%"
"2020-08-20",643248,"2020-09-04",21028,25633,478967,650221,15,"2.69%"
"2020-08-21",657409,"2020-09-05",21367,25945,491055,661334,15,"2.69%"
"2020-08-22",671901,"2020-09-07",21664,26696,500593,684833,16,"2.73%"
"2020-08-23",682342,"2020-09-07",21922,26696,509008,684833,15,"2.72%"
"2020-08-24",693357,"2020-09-08",22134,27076,523439,698447,15,"2.82%"
"2020-08-25",703782,"2020-09-09",22463,27456,536068,712733,15,"2.83%"
"2020-08-26",718670,"2020-09-10",22758,27951,544000,727481,15,"2.83%"
"2020-08-27",733527,"2020-09-11",23113,28393,553491,742231,15,"2.8%"
"2020-08-28",747954,"2020-09-12",23444,28784,565429,756111,15,"2.8%"
"2020-08-29",764240,"2020-09-13",23772,29200,577298,768076,15,"2.85%"
"2020-08-30",780648,"2020-09-14",24068,29563,585284,784228,15,"2.76%"
"2020-08-31",792500,"2020-09-15",24252,30078,596626,804166,15,"2.81%"
"2020-09-01",808265,"2020-09-16",24572,30552,607924,822199,15,"2.79%"
"2020-09-02",825698,"2020-09-17",24864,31020,622175,842189,15,"2.8%"
"2020-09-03",843803,"2020-09-18",25255,31460,636554,864707,15,"2.72%"
"2020-09-04",863021,"2020-09-18",25633,31460,650221,864707,14,"2.72%"
"2020-09-05",883821,"2020-09-19",25945,31885,661334,888633,14,"2.61%"
"2020-09-06",907171,"2020-09-20",26273,32340,669488,915496,14,"2.47%"
"2020-09-07",923600,"2020-09-21",26696,32684,684833,947847,14,"2.28%"
"2020-09-08",943731,"2020-09-21",27076,32684,698447,947847,13,"2.25%"
"2020-09-09",967308,"2020-09-22",27456,33076,712733,968445,13,"2.2%"
"2020-09-10",990754,"2020-09-24",27951,34014,727481,1006043,14,"2.18%"
"2020-09-11",1015640,"2020-09-25",28393,34430,742231,1026051,14,"2.13%"
"2020-09-12",1037724,"2020-09-26",28784,34860,756111,1050125,14,"2.07%"
"2020-09-13",1060267,"2020-09-27",29200,35240,768076,1064070,14,"2.04%"
"2020-09-14",1077333,"2020-09-28",29563,35420,784228,1084182,14,"1.95%"
"2020-09-15",1097815,"2020-09-29",30078,35850,804166,1103824,14,"1.93%"
"2020-09-16",1121180,"2020-09-30",30552,36331,822199,1123468,14,"1.92%"
"2020-09-17",1145799,"2020-10-02",31020,37149,842189,1153684,15,"1.97%"
"2020-09-18",1167455,"2020-10-03",31460,37427,864707,1170797,15,"1.95%"
"2020-09-19",1187974,"2020-10-05",31885,38386,888633,1216927,16,"1.98%"
"2020-09-20",1208601,"2020-10-05",32340,38386,915496,1216927,15,"2.01%"
"2020-09-21",1224339,"2020-10-05",32684,38741,947847,1233997,14,"2.12%"
"2020-09-22",1242729,"2020-10-08",33076,39099,968445,1249930,16,"2.14%"
"2020-09-23",1263758,"2020-10-09",33555,39709,988400,1294303,16,"2.01%"
"2020-09-24",1282922,"2020-10-09",34014,39709,1006043,1294303,15,"1.98%"
"2020-09-25",1300716,"2020-10-09",34430,40014,1026051,1305069,14,"2.%"
"2020-09-26",1321135,"2020-10-13",34860,40370,1050125,1336437,17,"1.92%"
"2020-09-27",1339191,"2020-10-14",35240,40528,1064070,1356112,17,"1.81%"
"2020-09-28",1351112,"2020-10-14",35420,40528,1084182,1356112,16,"1.88%"
"2020-09-29",1366088,"2020-10-15",35850,42302,1103824,1409360,16,"2.11%"
"2020-09-30",1384405,"2020-10-15",36331,42302,1123468,1409360,15,"2.09%"
"2020-10-01",1400881,"2020-10-15",36725,42302,1139966,1409360,14,"2.07%"
"2020-10-02",1416472,"2020-10-16",37149,42302,1153684,1423551,14,"1.91%"
"2020-10-03",1430820,"2020-10-17",37427,42302,1170797,1438252,14,"1.82%"
"2020-10-04",1443368,"2020-10-18",37753,42302,1186171,1449606,14,"1.73%"
"2020-10-05",1507560,"2020-10-22",39676,43017,1238613,1512368,17,"1.22%"
"2020-10-06",1465870,"2020-10-20",38386,42933,1216927,1472442,14,"1.78%"
"2020-10-07",1480448,"2020-10-22",38741,42933,1233997,1502503,15,"1.56%"
"2020-10-08",1493843,"2020-10-22",39099,42933,1249930,1502503,14,"1.52%"
"2020-10-09",1559911,"2020-10-29",41061,45039,1306752,1576200,20,"1.48%"
"2020-10-10",1517393,"2020-10-23",39709,43132,1294303,1520443,13,"1.51%"
"2020-10-11",1528185,"2020-10-24",40014,43223,1305069,1528964,13,"1.43%"
"2020-10-12",1535274,"2020-10-24",40183,44481,1320894,1535940,12,"2.%"
"2020-10-13",1543796,"2020-10-29",40370,45039,1336437,1576200,16,"1.95%"
"2020-10-14",1554348,"2020-10-29",40528,45039,1356112,1576200,15,"2.05%"
