"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-04-22",184,"2021-05-18",-1,1,153,196,26,"4.65%"
"2021-04-27",187,"2021-05-18",0,1,154,196,21,"2.38%"
"2021-04-28",191,"2021-05-18",0,1,154,196,20,"2.38%"
"2021-04-29",193,"2021-05-18",0,1,154,196,19,"2.38%"
"2021-04-30",197,"2021-05-19",1,1,155,201,19,"0.%"
"2021-05-01",200,"2021-05-19",1,1,155,201,18,"0.%"
"2021-05-02",201,"2021-05-19",1,1,155,201,17,"0.%"
"2021-05-04",204,"2021-05-20",1,2,155,205,16,"2.%"
"2021-05-05",212,"2021-05-22",1,2,155,221,17,"1.52%"
"2021-05-06",232,"2021-05-25",1,3,155,232,19,"2.6%"
"2021-05-07",233,"2021-05-26",1,4,155,246,19,"3.3%"
"2021-05-09",239,"2021-05-26",1,4,159,246,17,"3.45%"
"2021-05-10",245,"2021-05-26",1,4,160,246,16,"3.49%"
"2021-05-12",256,"2021-05-28",1,4,162,258,16,"3.12%"
"2021-05-13",257,"2021-05-28",1,4,163,258,15,"3.16%"
"2021-05-16",265,"2021-05-29",1,4,169,267,13,"3.06%"
"2021-05-18",285,"2021-05-30",1,4,196,290,12,"3.19%"
"2021-05-19",294,"2021-05-31",1,4,201,320,12,"2.52%"
"2021-05-20",311,"2021-05-31",2,4,205,320,11,"1.74%"
"2021-05-21",320,"2021-05-31",2,4,208,320,10,"1.79%"
"2021-05-22",369,"2021-06-02",2,4,221,385,11,"1.22%"
"2021-05-23",389,"2021-06-03",2,4,224,392,11,"1.19%"
"2021-05-25",410,"2021-06-05",3,4,232,414,11,".55%"
"2021-05-26",436,"2021-06-09",4,4,246,443,14,"0.%"
"2021-05-28",447,"2021-06-11",4,4,258,451,14,"0.%"
"2021-05-29",452,"2021-06-12",4,4,267,470,14,"0.%"
"2021-05-30",461,"2021-06-12",4,4,290,470,13,"0.%"
"2021-05-31",472,"2021-06-13",4,4,322,492,13,"0.%"
"2021-06-01",476,"2021-06-13",4,4,320,492,12,"0.%"
"2021-06-02",501,"2021-06-15",4,4,385,506,13,"0.%"
"2021-06-03",522,"2021-06-18",4,4,392,525,15,"0.%"
"2021-06-04",530,"2021-06-19",4,4,407,540,15,"0.%"
"2021-06-05",535,"2021-06-19",4,4,414,540,14,"0.%"
"2021-06-06",542,"2021-06-20",4,4,419,564,14,"0.%"
"2021-06-07",548,"2021-06-20",4,4,431,564,13,"0.%"
"2021-06-08",555,"2021-06-20",4,4,434,564,12,"0.%"
"2021-06-09",569,"2021-06-21",4,4,443,570,12,"0.%"
"2021-06-10",592,"2021-06-24",4,4,446,598,14,"0.%"
"2021-06-11",598,"2021-06-24",4,4,451,598,13,"0.%"
"2021-06-12",612,"2021-06-25",4,4,470,614,13,"0.%"
"2021-06-13",615,"2021-06-26",4,4,492,632,13,"0.%"
"2021-06-14",624,"2021-06-26",4,4,499,632,12,"0.%"
"2021-06-15",641,"2021-06-27",4,4,506,673,12,"0.%"
"2021-06-16",661,"2021-06-27",4,4,513,673,11,"0.%"
"2021-06-17",696,"2021-06-28",4,4,519,725,11,"0.%"
"2021-06-18",714,"2021-06-28",4,4,525,725,10,"0.%"
"2021-06-19",736,"2021-06-29",4,4,540,744,10,"0.%"
"2021-06-20",736,"2021-06-29",4,4,564,744,9,"0.%"
"2021-06-21",736,"2021-06-29",4,4,570,744,8,"0.%"
"2021-06-22",744,"2021-06-29",4,4,583,744,7,"0.%"
"2021-06-23",755,"2021-07-03",4,4,588,765,10,"0.%"
"2021-06-24",765,"2021-07-03",4,4,598,765,9,"0.%"
"2021-06-25",782,"2021-07-05",4,4,614,792,10,"0.%"
"2021-06-26",792,"2021-07-05",4,4,632,792,9,"0.%"
"2021-06-27",794,"2021-07-06",4,4,673,802,9,"0.%"
"2021-06-28",799,"2021-07-06",4,4,725,802,8,"0.%"
"2021-06-29",811,"2021-07-08",4,4,744,811,9,"0.%"
"2021-06-30",817,"2021-07-09",4,4,745,821,9,"0.%"
"2021-07-01",823,"2021-07-11",4,5,748,844,10,"1.04%"
"2021-07-02",839,"2021-07-11",4,5,754,844,9,"1.11%"
"2021-07-03",858,"2021-07-13",4,6,765,869,10,"1.92%"
"2021-07-04",870,"2021-07-14",4,6,774,881,10,"1.87%"
"2021-07-05",872,"2021-07-14",4,6,792,881,9,"2.25%"
"2021-07-06",882,"2021-07-15",4,6,802,883,9,"2.47%"
"2021-07-07",890,"2021-07-16",4,6,806,892,9,"2.33%"
"2021-07-08",906,"2021-07-18",4,6,811,918,10,"1.87%"
"2021-07-09",914,"2021-07-18",4,6,821,918,9,"2.06%"
"2021-07-10",924,"2021-07-19",5,6,822,928,9,".94%"
"2021-07-11",931,"2021-07-20",5,6,844,937,9,"1.08%"
"2021-07-12",940,"2021-07-21",6,6,852,948,9,"0.%"
"2021-07-13",955,"2021-07-23",6,7,869,968,10,"1.01%"
"2021-07-14",963,"2021-07-23",6,7,881,968,9,"1.15%"
