"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",172,"2021-05-15",2,2,147,177,140,"0.%"
"2020-12-27",172,"2021-05-15",2,2,148,177,139,"0.%"
"2020-12-28",172,"2021-05-15",2,2,149,177,138,"0.%"
"2020-12-30",173,"2021-05-15",2,2,149,177,136,"0.%"
"2021-01-03",173,"2021-05-15",2,2,150,177,132,"0.%"
"2021-01-06",173,"2021-05-15",2,2,152,177,129,"0.%"
"2021-01-23",174,"2021-05-15",2,2,152,177,112,"0.%"
"2021-02-03",174,"2021-05-15",2,2,153,177,101,"0.%"
"2021-02-04",175,"2021-05-15",2,2,153,177,100,"0.%"
"2021-02-05",174,"2021-05-15",2,2,153,177,99,"0.%"
"2021-02-23",175,"2021-05-15",2,2,153,177,81,"0.%"
"2021-03-07",175,"2021-05-15",2,2,154,177,69,"0.%"
"2021-04-24",176,"2021-05-15",2,2,154,177,21,"0.%"
"2021-04-27",178,"2021-05-16",2,2,154,181,19,"0.%"
"2021-04-28",179,"2021-05-16",2,2,154,181,18,"0.%"
"2021-04-30",180,"2021-05-16",2,2,154,181,16,"0.%"
"2021-05-01",181,"2021-05-16",2,2,154,181,15,"0.%"
"2021-05-02",183,"2021-05-17",2,2,154,192,15,"0.%"
"2021-05-03",193,"2021-05-18",2,2,154,218,15,"0.%"
"2021-05-04",197,"2021-05-18",2,2,154,218,14,"0.%"
"2021-05-05",202,"2021-05-18",2,2,155,218,13,"0.%"
"2021-05-06",209,"2021-05-18",2,2,155,218,12,"0.%"
"2021-05-07",218,"2021-05-18",2,2,155,218,11,"0.%"
"2021-05-08",250,"2021-05-22",2,3,155,257,14,".98%"
"2021-05-09",254,"2021-05-22",2,3,155,257,13,".98%"
"2021-05-10",257,"2021-05-22",2,3,155,257,12,".98%"
"2021-05-11",272,"2021-05-23",2,3,155,279,12,".81%"
"2021-05-12",291,"2021-05-24",2,3,160,298,12,".72%"
"2021-05-13",323,"2021-05-26",2,3,165,343,13,".56%"
"2021-05-14",346,"2021-05-27",2,3,171,350,13,".56%"
"2021-05-15",358,"2021-05-28",2,3,177,396,13,".46%"
"2021-05-16",389,"2021-05-28",2,3,181,396,12,".47%"
"2021-05-17",396,"2021-05-28",2,3,192,396,11,".49%"
"2021-05-18",437,"2021-05-30",2,4,218,456,12,".84%"
"2021-05-19",477,"2021-05-31",2,5,223,526,12,".99%"
"2021-05-20",503,"2021-05-31",3,5,228,526,11,".67%"
"2021-05-21",538,"2021-06-01",3,5,238,549,11,".64%"
"2021-05-22",568,"2021-06-03",3,6,257,582,12,".92%"
"2021-05-23",615,"2021-06-04",3,7,279,671,12,"1.02%"
"2021-05-24",621,"2021-06-04",3,7,298,671,11,"1.07%"
"2021-05-25",679,"2021-06-05",3,7,317,695,11,"1.06%"
"2021-05-26",780,"2021-06-08",3,7,343,829,13,".82%"
"2021-05-27",843,"2021-06-09",3,7,350,864,13,".78%"
"2021-05-28",870,"2021-06-10",3,7,396,873,13,".84%"
"2021-05-29",887,"2021-06-11",4,7,410,944,13,".56%"
"2021-05-30",934,"2021-06-11",4,7,456,944,12,".61%"
"2021-05-31",984,"2021-06-13",5,8,526,1005,13,".63%"
"2021-06-01",1003,"2021-06-13",5,8,549,1005,12,".66%"
"2021-06-02",1067,"2021-06-17",5,8,563,1082,15,".58%"
"2021-06-03",1076,"2021-06-17",6,8,582,1082,14,".4%"
"2021-06-04",1092,"2021-06-18",7,9,671,1105,14,".46%"
"2021-06-05",1128,"2021-06-19",7,10,695,1143,14,".67%"
