"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-25",334,"2021-05-09",,3,,608,165,"-"
"2020-11-26",335,"2021-05-09",,3,,608,164,"-"
"2020-11-28",338,"2021-05-09",,3,,608,162,"-"
"2020-11-29",339,"2021-05-09",,3,,608,161,"-"
"2020-12-01",340,"2021-05-09",,3,,608,159,"-"
"2020-12-26",340,"2021-05-09",,3,,608,134,"-"
"2020-12-29",340,"2021-05-09",,3,,608,131,"-"
"2020-12-30",341,"2021-05-09",,3,,608,130,"-"
"2021-01-03",342,"2021-05-09",,3,,608,126,"-"
"2021-01-04",344,"2021-05-09",,3,,608,125,"-"
"2021-01-05",345,"2021-05-09",,3,,608,124,"-"
"2021-01-06",351,"2021-05-09",,3,,608,123,"-"
"2021-01-07",352,"2021-05-09",,3,,608,122,"-"
"2021-01-09",366,"2021-05-09",,3,,608,120,"-"
"2021-01-10",368,"2021-05-09",,3,,608,119,"-"
"2021-01-11",369,"2021-05-09",,3,,608,118,"-"
"2021-01-13",374,"2021-05-09",,3,,608,116,"-"
"2021-01-14",374,"2021-05-09",,3,,608,115,"-"
"2021-01-15",375,"2021-05-09",,3,,608,114,"-"
"2021-01-17",375,"2021-05-09",,3,,608,112,"-"
"2021-01-19",375,"2021-05-09",,3,,608,110,"-"
"2021-01-21",375,"2021-05-09",,3,,608,108,"-"
"2021-01-23",375,"2021-05-09",,3,,608,106,"-"
"2021-01-25",375,"2021-05-09",,3,,608,104,"-"
"2021-01-29",376,"2021-05-09",,3,,608,100,"-"
"2021-01-31",377,"2021-05-09",,3,,608,98,"-"
"2021-02-05",380,"2021-05-09",,3,,608,93,"-"
"2021-02-07",391,"2021-05-09",,3,,608,91,"-"
"2021-02-09",397,"2021-05-09",,3,,608,89,"-"
"2021-02-10",406,"2021-05-09",,3,,608,88,"-"
"2021-02-11",406,"2021-05-09",,3,,608,87,"-"
"2021-02-14",407,"2021-05-09",,3,,608,84,"-"
"2021-02-16",407,"2021-05-09",,3,,608,82,"-"
"2021-02-18",407,"2021-05-09",,3,,608,80,"-"
"2021-02-20",407,"2021-05-09",,3,,608,78,"-"
"2021-02-23",407,"2021-05-09",,3,,608,75,"-"
"2021-04-08",408,"2021-05-09",,3,,608,31,"-"
"2021-04-09",410,"2021-05-09",,3,,608,30,"-"
"2021-04-10",413,"2021-05-09",,3,,608,29,"-"
"2021-04-12",431,"2021-05-09",,3,,608,27,"-"
"2021-04-13",434,"2021-05-09",,3,,608,26,"-"
"2021-04-14",463,"2021-05-09",,3,,608,25,"-"
"2021-04-15",465,"2021-05-09",,3,,608,24,"-"
"2021-04-16",491,"2021-05-09",,3,,608,23,"-"
"2021-04-17",507,"2021-05-09",,3,,608,22,"-"
"2021-04-18",517,"2021-05-09",,3,,608,21,"-"
"2021-04-19",524,"2021-05-09",,3,,608,20,"-"
"2021-04-20",531,"2021-05-09",,3,,608,19,"-"
"2021-04-21",534,"2021-05-09",,3,,608,18,"-"
"2021-04-22",565,"2021-05-09",,3,,608,17,"-"
"2021-04-23",563,"2021-05-09",,3,,608,16,"-"
"2021-04-24",572,"2021-05-09",,3,,608,15,"-"
"2021-04-25",581,"2021-05-09",,3,,608,14,"-"
"2021-04-26",591,"2021-05-09",,3,,608,13,"-"
"2021-04-27",595,"2021-05-09",,3,,608,12,"-"
"2021-04-28",597,"2021-05-09",,3,,608,11,"-"
"2021-04-29",601,"2021-05-09",,3,,608,10,"-"
"2021-04-30",628,"2021-05-12",,5,,647,12,"-"
"2021-05-01",640,"2021-05-12",,5,,647,11,"-"
"2021-05-02",659,"2021-05-13",,6,,659,11,"-"
"2021-05-03",670,"2021-05-16",,8,,673,13,"-"
"2021-05-04",675,"2021-05-17",,9,,684,13,"-"
"2021-05-05",681,"2021-05-17",,9,,684,12,"-"
"2021-05-06",691,"2021-05-18",,9,,701,12,"-"
"2021-05-07",699,"2021-05-18",,9,,701,11,"-"
"2021-05-08",713,"2021-05-20",,14,,728,12,"-"
"2021-05-09",733,"2021-05-21",3,20,608,745,12,"12.41%"
"2021-05-10",751,"2021-05-22",3,22,619,778,12,"11.95%"
"2021-05-11",769,"2021-05-22",5,22,627,778,11,"11.26%"
"2021-05-12",782,"2021-05-23",5,27,647,800,11,"14.38%"
