"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-25",1898,"2020-09-14",7,26,765,1922,20,"1.64%"
"2020-08-26",1902,"2020-09-14",7,26,804,1922,19,"1.7%"
"2020-08-27",2041,"2020-09-16",8,28,823,2065,20,"1.61%"
"2020-08-28",2181,"2020-09-20",9,34,883,2254,23,"1.82%"
"2020-08-29",2077,"2020-09-17",9,31,959,2114,19,"1.9%"
"2020-08-30",2238,"2020-09-20",9,34,970,2254,21,"1.95%"
"2020-08-31",2239,"2020-09-20",9,34,1078,2254,20,"2.13%"
"2020-09-01",2277,"2020-09-20",11,34,1150,2297,19,"2.01%"
"2020-09-02",2397,"2020-09-23",12,37,1230,2575,21,"1.86%"
"2020-09-03",2471,"2020-09-23",12,37,1300,2575,20,"1.96%"
"2020-09-04",2632,"2020-09-24",13,37,1359,2826,20,"1.64%"
"2020-09-05",2781,"2020-09-24",14,37,1445,2826,19,"1.67%"
"2020-09-06",2842,"2020-09-25",14,37,1436,3038,19,"1.44%"
"2020-09-07",3016,"2020-09-25",16,37,1469,3038,18,"1.34%"
"2020-09-08",2892,"2020-09-25",15,37,1521,3038,17,"1.45%"
"2020-09-09",3157,"2020-09-26",18,37,1648,3391,17,"1.09%"
"2020-09-10",3126,"2020-09-26",19,37,1668,3391,16,"1.04%"
"2020-09-11",3408,"2020-09-28",23,40,1712,3486,17,".96%"
"2020-09-12",3484,"2020-09-28",24,40,1844,3486,16,".97%"
"2020-09-13",3418,"2020-09-28",24,40,1849,3486,15,".98%"
"2020-09-14",3557,"2020-09-30",26,43,1922,3589,16,"1.02%"
"2020-09-15",3862,"2020-10-05",27,52,1958,3892,20,"1.29%"
"2020-09-16",4130,"2020-10-08",28,53,2065,4170,22,"1.19%"
"2020-09-17",4319,"2020-10-10",31,56,2137,4522,23,"1.05%"
"2020-09-18",91,"2020-09-18",3,3,98,98,0,"-"
"2020-09-19",4253,"2020-10-10",31,56,2114,4522,21,"1.04%"
"2020-09-20",4124,"2020-10-08",35,53,2297,4170,18,".96%"
"2020-09-21",4511,"2020-10-10",36,56,2254,4522,19,".88%"
"2020-09-22",4702,"2020-10-13",34,58,2382,4775,21,"1.%"
"2020-09-23",4781,"2020-10-14",40,64,2575,4940,21,"1.01%"
"2020-09-24",4729,"2020-10-13",42,58,2826,4775,19,".82%"
"2020-09-25",4974,"2020-10-14",41,64,3038,5011,19,"1.17%"
"2020-09-26",5212,"2020-10-17",42,67,3391,5332,21,"1.29%"
"2020-09-27",5158,"2020-10-16",37,67,3404,5159,19,"1.71%"
"2020-09-28",5102,"2020-10-16",40,67,3486,5159,18,"1.61%"
"2020-09-29",5206,"2020-10-17",40,67,3496,5332,18,"1.47%"
"2020-09-30",5140,"2020-10-16",43,67,3589,5159,16,"1.53%"
"2020-10-01",5415,"2020-10-18",43,67,3524,5600,17,"1.16%"
"2020-10-02",5824,"2020-10-20",46,71,3719,5937,18,"1.13%"
"2020-10-03",6250,"2020-10-24",47,72,3675,6271,21,".96%"
"2020-10-04",6375,"2020-10-27",47,73,3737,6571,23,".92%"
"2020-10-05",6446,"2020-10-27",53,73,3892,6571,22,".75%"
"2020-10-06",6899,"2020-10-30",54,80,4002,6902,24,".9%"
"2020-10-07",6898,"2020-10-30",52,80,3980,6902,23,".96%"
"2020-10-08",7088,"2020-10-30",53,80,4170,7089,22,".92%"
"2020-10-09",7106,"2020-10-30",54,80,4216,7132,21,".89%"
"2020-10-10",7451,"2020-11-03",56,82,4522,7657,24,".83%"
"2020-10-11",7516,"2020-11-03",57,82,4611,7657,23,".82%"
"2020-10-12",7529,"2020-11-03",57,82,4653,7657,22,".83%"
"2020-10-13",7626,"2020-11-03",58,82,4775,7657,21,".83%"
"2020-10-14",7898,"2020-11-09",64,86,5011,7928,26,".75%"
"2020-10-15",7906,"2020-11-09",64,86,4940,7928,25,".74%"
"2020-10-16",8210,"2020-11-11",69,87,5159,8232,26,".59%"
"2020-10-17",7994,"2020-11-10",68,87,5332,8110,24,".68%"
"2020-10-18",8296,"2020-11-13",68,91,5617,8309,26,".85%"
"2020-10-19",7943,"2020-11-10",67,87,5600,8110,22,".8%"
"2020-10-20",8435,"2020-11-17",72,94,5937,8444,28,".88%"
"2020-10-21",8528,"2020-11-17",71,94,6047,8612,27,".9%"
"2020-10-23",8527,"2020-11-17",72,94,6144,8527,25,".92%"
"2020-10-24",8602,"2020-11-17",73,94,6271,8612,24,".9%"
"2020-10-25",8781,"2020-11-19",74,97,6359,8788,25,".95%"
"2020-10-26",8079,"2020-11-10",72,87,6288,8110,15,".82%"
"2020-10-27",8804,"2020-11-19",73,97,6571,8847,23,"1.05%"
"2020-10-28",8459,"2020-11-17",77,94,6764,8466,20,"1.%"
"2020-10-29",8982,"2020-11-21",79,101,6877,8986,23,"1.04%"
"2020-10-30",9141,"2020-11-27",80,102,7160,9187,28,"1.09%"
"2020-10-31",9130,"2020-11-27",80,102,7299,9187,27,"1.17%"
"2020-11-01",9141,"2020-11-27",82,102,7412,9187,26,"1.13%"
