"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-10",80,"2020-10-28",,1,,1511,110,"-"
"2020-07-11",81,"2020-10-28",,1,,1511,109,"-"
"2020-07-12",85,"2020-10-28",,1,,1511,108,"-"
"2020-07-13",87,"2020-10-28",,1,,1511,107,"-"
"2020-07-14",92,"2020-10-28",,1,,1511,106,"-"
"2020-07-16",109,"2020-10-28",,1,,1511,104,"-"
"2020-07-17",114,"2020-10-28",,1,,1511,103,"-"
"2020-07-18",116,"2020-10-28",,1,,1511,102,"-"
"2020-07-20",129,"2020-10-28",,1,,1511,100,"-"
"2020-07-22",147,"2020-10-28",,1,,1511,98,"-"
"2020-07-23",154,"2020-10-28",,1,,1511,97,"-"
"2020-07-25",182,"2020-10-28",,1,,1511,95,"-"
"2020-07-26",182,"2020-10-28",,1,,1511,94,"-"
"2020-07-28",205,"2020-10-28",,1,,1511,92,"-"
"2020-07-29",215,"2020-10-28",,1,,1511,91,"-"
"2020-07-30",228,"2020-10-28",,1,,1511,90,"-"
"2020-07-31",228,"2020-10-28",,1,,1511,89,"-"
"2020-08-01",231,"2020-10-28",,1,,1511,88,"-"
"2020-08-02",287,"2020-10-28",,1,,1511,87,"-"
"2020-08-03",297,"2020-10-28",,1,,1511,86,"-"
"2020-08-04",297,"2020-10-28",,1,,1511,85,"-"
"2020-08-05",299,"2020-10-28",,1,,1511,84,"-"
"2020-08-06",327,"2020-10-28",,1,,1511,83,"-"
"2020-08-07",329,"2020-10-28",,1,,1511,82,"-"
"2020-08-08",333,"2020-10-28",,1,,1511,81,"-"
"2020-08-09",359,"2020-10-28",,1,,1511,80,"-"
"2020-08-10",361,"2020-10-28",,1,,1511,79,"-"
"2020-08-11",362,"2020-10-28",,1,,1511,78,"-"
"2020-08-12",372,"2020-10-28",,1,,1511,77,"-"
"2020-08-13",372,"2020-10-28",,1,,1511,76,"-"
"2020-08-14",377,"2020-10-28",,1,,1511,75,"-"
"2020-08-15",404,"2020-10-28",,1,,1511,74,"-"
"2020-08-16",454,"2020-10-28",,1,,1511,73,"-"
"2020-08-17",460,"2020-10-28",,1,,1511,72,"-"
"2020-08-18",476,"2020-10-28",,1,,1511,71,"-"
"2020-08-19",497,"2020-10-28",,1,,1511,70,"-"
"2020-08-20",502,"2020-10-28",,1,,1511,69,"-"
"2020-08-21",514,"2020-10-28",,1,,1511,68,"-"
