"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-28",3960,"2021-05-11",5,20,2547,4034,164,"1.01%"
"2020-11-29",4183,"2021-05-14",5,21,2552,4187,166,".98%"
"2020-11-30",4328,"2021-05-15",5,21,2565,4331,166,".91%"
"2020-12-01",4351,"2021-05-16",6,22,2616,4479,166,".86%"
"2020-12-26",3313,"2021-05-03",6,15,2622,3360,128,"1.22%"
"2020-12-27",3687,"2021-05-09",6,17,2622,3743,133,".98%"
"2020-12-28",3980,"2021-05-11",6,20,2628,4034,134,"1.%"
"2020-12-29",3874,"2021-05-10",6,20,2630,3914,132,"1.09%"
"2020-12-30",3949,"2021-05-11",6,20,2632,4034,132,"1.%"
"2020-12-31",3993,"2021-05-11",6,20,2634,4034,131,"1.%"
"2021-01-01",3739,"2021-05-09",6,17,2636,3743,128,".99%"
"2021-01-02",3720,"2021-05-09",6,17,2636,3743,127,".99%"
"2021-01-03",4218,"2021-05-15",6,21,2651,4331,132,".89%"
"2021-01-04",3569,"2021-05-07",6,15,2669,3599,123,".97%"
"2021-01-05",4204,"2021-05-15",6,21,2671,4331,130,".9%"
"2021-01-06",3746,"2021-05-10",6,20,2674,3914,124,"1.13%"
"2021-01-07",4044,"2021-05-12",6,20,2677,4103,125,".98%"
"2021-01-08",3983,"2021-05-11",6,20,2680,4034,123,"1.03%"
"2021-01-09",3833,"2021-05-10",6,20,2680,3914,121,"1.13%"
"2021-01-10",3824,"2021-05-10",7,20,2687,3914,120,"1.06%"
"2021-01-11",3806,"2021-05-10",7,20,2688,3914,119,"1.06%"
"2021-01-12",4086,"2021-05-12",7,20,2692,4103,120,".92%"
"2021-01-13",4056,"2021-05-12",7,20,2692,4103,119,".92%"
"2021-01-14",3803,"2021-05-10",7,20,2694,3914,116,"1.07%"
"2021-01-15",3528,"2021-05-06",7,15,2699,3528,111,".97%"
"2021-01-16",4100,"2021-05-12",7,20,2713,4103,116,".94%"
"2021-01-17",3438,"2021-05-05",7,15,2720,3470,108,"1.07%"
"2021-01-18",3421,"2021-05-05",7,15,2722,3470,107,"1.07%"
"2021-01-19",3821,"2021-05-10",7,20,2726,3914,111,"1.09%"
"2021-01-20",3878,"2021-05-10",7,20,2742,3914,110,"1.11%"
"2021-01-21",4339,"2021-05-16",7,22,2746,4479,115,".87%"
"2021-01-22",3879,"2021-05-10",7,20,2748,3914,108,"1.11%"
"2021-01-23",3443,"2021-05-05",7,15,2749,3470,102,"1.11%"
"2021-01-24",3167,"2021-04-30",7,12,2754,3215,96,"1.08%"
"2021-01-25",3445,"2021-05-05",7,15,2762,3470,100,"1.13%"
"2021-01-26",3172,"2021-04-30",7,12,2764,3215,94,"1.11%"
"2021-01-27",3175,"2021-04-30",7,12,2770,3215,93,"1.12%"
"2021-01-28",3851,"2021-05-10",7,20,2776,3914,102,"1.14%"
"2021-01-29",3177,"2021-04-30",7,12,2781,3215,91,"1.15%"
"2021-01-30",3384,"2021-05-04",7,15,2784,3410,94,"1.28%"
"2021-01-31",3480,"2021-05-06",7,15,2791,3528,95,"1.09%"
"2021-02-01",3184,"2021-04-30",7,12,2794,3215,88,"1.19%"
"2021-02-02",3221,"2021-05-02",7,13,2794,3301,89,"1.18%"
"2021-02-03",4159,"2021-05-14",7,21,2795,4187,100,"1.01%"
"2021-02-04",3186,"2021-04-30",7,12,2800,3215,85,"1.2%"
"2021-02-05",3588,"2021-05-07",7,15,2803,3599,91,"1.01%"
"2021-02-06",3589,"2021-05-07",7,15,2807,3599,90,"1.01%"
"2021-02-07",3191,"2021-04-30",7,12,2807,3215,82,"1.23%"
"2021-02-08",3214,"2021-04-30",7,12,2809,3215,81,"1.23%"
"2021-02-09",3770,"2021-05-10",7,20,2811,3914,90,"1.18%"
"2021-02-10",3595,"2021-05-07",7,15,2813,3599,86,"1.02%"
"2021-02-11",3877,"2021-05-10",7,20,2815,3914,88,"1.18%"
"2021-02-12",682,"2021-02-13",,7,,2815,1,"-"
"2021-02-13",3197,"2021-04-30",7,12,2815,3215,76,"1.25%"
"2021-02-14",3197,"2021-04-30",7,12,2818,3215,75,"1.26%"
"2021-02-15",3598,"2021-05-07",8,15,2819,3599,81,".9%"
"2021-02-16",3573,"2021-05-07",8,15,2820,3599,80,".9%"
"2021-02-17",3199,"2021-04-30",8,12,2820,3215,72,"1.01%"
"2021-02-18",3510,"2021-05-06",8,15,2823,3528,77,".99%"
"2021-02-19",3983,"2021-05-11",8,20,2823,4034,81,".99%"
"2021-02-20",3583,"2021-05-07",8,15,2826,3599,76,".91%"
"2021-02-21",97,"2021-02-23",,8,,2826,2,"-"
"2021-02-22",402,"2021-02-23",,8,,2826,1,"-"
"2021-02-23",3201,"2021-04-30",8,12,2826,3215,66,"1.03%"
"2021-02-24",3606,"2021-05-08",8,15,2827,3623,73,".88%"
"2021-02-25",385,"2021-02-26",,8,,2830,1,"-"
"2021-02-26",3333,"2021-05-03",8,15,2830,3360,66,"1.32%"
"2021-02-27",3583,"2021-05-07",8,15,2830,3599,69,".91%"
"2021-02-28",387,"2021-03-01",,8,,2831,1,"-"
"2021-03-01",3711,"2021-05-09",8,17,2831,3743,69,".99%"
"2021-03-02",3339,"2021-05-03",8,15,2831,3360,62,"1.32%"
