"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-27",46,"2020-10-26",,1,,59,29,"-"
"2020-09-29",46,"2020-10-26",,1,,59,27,"-"
"2020-10-01",48,"2020-10-26",,1,,59,25,"-"
"2020-10-02",52,"2020-10-26",,1,,59,24,"-"
"2020-10-04",52,"2020-10-26",,1,,59,22,"-"
"2020-10-06",54,"2020-10-26",,1,,59,20,"-"
"2020-10-07",55,"2020-10-26",,1,,59,19,"-"
"2020-10-09",56,"2020-10-26",,1,,59,17,"-"
"2020-10-10",57,"2020-10-26",,1,,59,16,"-"
"2020-10-11",58,"2020-10-26",,1,,59,15,"-"
"2020-10-12",61,"2020-10-30",,1,,98,18,"-"
"2020-10-13",80,"2020-10-30",1,1,45,98,17,"0.%"
"2020-10-15",81,"2020-10-30",1,1,45,98,15,"0.%"
"2020-10-16",101,"2020-11-10",1,1,45,111,25,"0.%"
"2020-10-17",103,"2020-11-10",1,1,45,111,24,"0.%"
"2020-10-22",105,"2020-11-10",1,1,45,111,19,"0.%"
"2020-10-23",107,"2020-11-10",1,1,45,111,18,"0.%"
"2020-10-25",108,"2020-11-10",1,1,45,111,16,"0.%"
"2020-10-26",108,"2020-11-10",1,1,59,111,15,"0.%"
"2020-10-28",111,"2020-11-10",1,1,59,111,13,"0.%"
"2020-10-30",113,"2020-11-20",1,1,98,115,21,"0.%"
"2020-11-02",114,"2020-11-20",1,1,98,115,18,"0.%"
"2020-11-04",114,"2020-11-20",1,1,99,115,16,"0.%"
"2020-11-05",115,"2020-11-20",1,1,99,115,15,"0.%"
"2020-11-06",117,"2020-11-24",1,1,99,117,18,"0.%"
"2020-11-08",118,"2020-11-28",1,1,100,118,20,"0.%"
"2020-11-10",119,"2020-12-28",1,2,111,125,48,"7.14%"
"2020-11-11",120,"2020-12-28",1,2,111,125,47,"7.14%"
"2020-11-20",120,"2020-12-28",1,2,115,125,38,"10.%"
"2020-11-24",120,"2020-12-28",1,2,117,125,34,"12.5%"
"2020-11-28",120,"2020-12-28",1,2,118,125,30,"14.29%"
"2020-11-30",121,"2020-12-28",1,2,118,125,28,"14.29%"
"2020-12-28",126,"2020-12-31",2,2,125,129,3,"0.%"
"2020-12-30",127,"2020-12-31",2,2,125,129,1,"0.%"
"2020-12-31",128,"2020-12-31",2,2,129,129,0,"-"
"2021-01-01",128,"2021-01-01",2,2,130,130,0,"-"
"2021-01-03",128,"2021-01-03",2,2,132,132,0,"-"
"2021-01-05",128,"2021-01-05",2,2,158,158,0,"-"
"2021-01-06",128,"2021-01-06",3,3,159,159,0,"-"
"2021-01-08",128,"2021-01-08",3,3,161,161,0,"-"
"2021-01-09",130,"2021-01-09",3,3,165,165,0,"-"
"2021-01-10",131,"2021-01-10",3,3,165,165,0,"-"
"2021-01-11",131,"2021-01-11",3,3,170,170,0,"-"
"2021-01-12",133,"2021-01-12",3,3,170,170,0,"-"
"2021-01-13",134,"2021-01-13",3,3,171,171,0,"-"
"2021-01-14",135,"2021-01-14",3,3,172,172,0,"-"
"2021-01-16",138,"2021-01-16",3,3,173,173,0,"-"
"2021-01-17",139,"2021-01-17",3,3,173,173,0,"-"
"2021-01-18",140,"2021-01-18",3,3,173,173,0,"-"
"2021-01-23",141,"2021-01-23",3,3,173,173,0,"-"
"2021-01-25",141,"2021-01-25",3,3,177,177,0,"-"
"2021-01-28",141,"2021-01-28",3,3,180,180,0,"-"
"2021-01-30",141,"2021-01-30",3,3,182,182,0,"-"
"2021-02-04",141,"2021-02-04",3,3,185,185,0,"-"
"2021-02-18",142,"2021-02-18",3,3,185,185,0,"-"
"2021-03-12",144,"2021-03-12",3,3,185,185,0,"-"
"2021-03-24",144,"2021-03-24",3,3,186,186,0,"-"
