"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-21",4598,"2020-10-05",9,11,3452,4655,14,".17%"
"2020-09-22",4948,"2020-10-11",10,12,3804,4953,19,".17%"
"2020-09-23",5050,"2020-10-13",11,14,3822,5086,20,".24%"
"2020-09-24",5195,"2020-10-15",11,17,3906,5261,21,".44%"
"2020-09-25",5431,"2020-10-19",11,20,3996,5467,24,".61%"
"2020-09-26",5201,"2020-10-15",11,17,4085,5261,19,".51%"
"2020-09-27",5336,"2020-10-16",11,17,4142,5350,19,".5%"
"2020-09-28",5290,"2020-10-16",12,17,4192,5350,18,".43%"
"2020-09-29",5336,"2020-10-16",12,17,4234,5350,17,".45%"
"2020-09-30",5496,"2020-10-20",12,20,4317,5500,20,".68%"
"2020-10-01",5900,"2020-10-25",12,22,4390,5946,24,".64%"
"2020-10-02",5821,"2020-10-25",12,22,4451,5867,23,".71%"
"2020-10-03",5232,"2020-10-15",10,17,4169,5261,12,".64%"
"2020-10-04",5942,"2020-10-25",12,22,4541,5946,21,".71%"
"2020-10-05",5806,"2020-10-24",12,22,4655,5819,19,".86%"
"2020-10-06",6277,"2020-10-30",12,40,4690,6341,24,"1.7%"
"2020-10-07",6527,"2020-11-02",12,43,4723,6715,26,"1.56%"
"2020-10-08",6295,"2020-10-30",12,40,4789,6341,22,"1.8%"
"2020-10-09",6628,"2020-11-02",12,43,4872,6715,24,"1.68%"
"2020-10-10",6267,"2020-10-30",10,40,4572,6341,20,"1.7%"
"2020-10-11",6759,"2020-11-03",12,43,4953,6791,23,"1.69%"
"2020-10-12",6075,"2020-10-28",11,40,4690,6179,16,"1.95%"
"2020-10-13",6604,"2020-11-02",14,43,5086,6715,20,"1.78%"
"2020-10-14",7184,"2020-11-06",16,46,5124,7243,23,"1.42%"
"2020-10-15",7340,"2020-11-08",17,48,5261,7514,24,"1.38%"
"2020-10-16",7340,"2020-11-08",17,48,5352,7514,23,"1.43%"
"2020-10-17",7411,"2020-11-08",21,48,5382,7514,22,"1.27%"
"2020-10-18",7312,"2020-11-06",20,48,5401,7327,19,"1.45%"
"2020-10-19",7204,"2020-11-06",20,46,5467,7243,18,"1.46%"
"2020-10-20",7254,"2020-11-06",20,48,5500,7327,17,"1.53%"
"2020-10-21",7641,"2020-11-11",20,51,5592,7682,21,"1.48%"
"2020-10-22",7881,"2020-11-15",21,53,5666,7927,24,"1.42%"
"2020-10-23",7473,"2020-11-08",19,48,5350,7514,16,"1.34%"
"2020-10-24",7886,"2020-11-15",23,53,5819,7927,22,"1.42%"
"2020-10-25",8387,"2020-11-26",22,62,5946,8398,32,"1.63%"
"2020-10-26",8514,"2020-11-26",24,63,6015,8527,31,"1.55%"
"2020-10-27",8618,"2020-11-27",38,64,6005,8625,31,".99%"
"2020-10-28",8466,"2020-11-26",40,63,6179,8527,29,".98%"
"2020-10-29",8544,"2020-11-26",36,63,6074,8593,28,"1.07%"
"2020-10-30",8840,"2020-11-28",41,64,6341,8848,29,".92%"
"2020-10-31",8256,"2020-11-20",40,58,6386,8315,20,".93%"
"2020-11-01",8584,"2020-11-26",40,63,6462,8593,25,"1.08%"
"2020-11-02",8394,"2020-11-26",44,62,6715,8398,24,"1.07%"
"2020-11-03",8664,"2020-11-27",43,64,6791,8677,24,"1.11%"
"2020-11-04",8692,"2020-11-27",46,64,7039,8696,23,"1.09%"
"2020-11-05",9003,"2020-12-27",47,64,7176,9003,52,".93%"
"2020-11-06",9118,"2020-12-30",48,66,7327,9169,54,".98%"
"2020-11-07",9077,"2020-12-30",46,64,7243,9087,53,".98%"
"2020-11-08",9229,"2021-01-13",48,73,7576,9344,66,"1.41%"
"2020-11-09",8602,"2020-11-27",45,64,7058,8615,18,"1.22%"
"2020-11-10",9164,"2020-12-30",52,66,7635,9169,50,".91%"
"2020-11-11",9494,"2021-01-25",52,76,7818,9609,75,"1.34%"
"2020-11-12",8972,"2020-11-30",51,64,7794,8975,18,"1.1%"
"2020-11-13",8836,"2020-11-28",52,64,7730,8838,15,"1.08%"
"2020-11-14",8908,"2020-11-28",52,64,7760,8911,14,"1.04%"
"2020-11-15",9225,"2021-01-13",53,73,7927,9344,59,"1.41%"
"2020-11-16",9173,"2021-01-13",53,72,7826,9207,58,"1.38%"
"2020-11-18",9419,"2021-01-25",53,76,7514,9609,68,"1.1%"
"2020-11-22",9306,"2021-01-13",57,73,7602,9344,52,".92%"
"2020-12-01",6703,"2020-12-26",40,62,5530,8398,25,".77%"
"2020-12-29",9554,"2021-01-25",62,76,8428,9609,27,"1.19%"
"2021-01-02",6240,"2021-01-03",41,64,5586,8527,1,".78%"
"2021-01-08",6852,"2021-01-09",46,69,5744,8625,1,".8%"
"2021-01-23",6418,"2021-01-25",51,70,5819,8691,2,".66%"
"2021-01-24",3415,"2021-01-25",22,48,2997,5689,1,".97%"
"2021-01-28",6908,"2021-01-29",51,70,5867,8696,1,".67%"
"2021-01-30",3560,"2021-02-02",25,48,3189,5689,3,".92%"
"2021-01-31",3423,"2021-02-02",22,48,3007,5689,2,".97%"
"2021-02-01",3644,"2021-02-02",23,48,3198,5689,1,"1.%"
"2021-02-02",6284,"2021-02-03",48,70,5689,8703,1,".73%"
"2021-02-07",3482,"2021-02-08",22,54,3040,5881,1,"1.13%"
"2021-02-13",3505,"2021-02-16",22,54,3066,5881,3,"1.14%"
"2021-02-14",3511,"2021-02-16",22,54,3075,5881,2,"1.14%"
"2021-02-15",3511,"2021-02-16",22,54,3090,5881,1,"1.15%"
"2021-02-18",6431,"2021-02-25",54,73,5881,8827,7,".64%"
"2021-02-19",3511,"2021-02-25",22,73,3117,8827,6,".89%"
"2021-02-20",3511,"2021-02-25",22,73,3119,8827,5,".89%"
"2021-02-21",3512,"2021-02-25",22,73,3125,8827,4,".89%"
"2021-02-22",3512,"2021-02-25",22,73,3126,8827,3,".89%"
"2021-02-24",3512,"2021-02-25",22,73,3130,8827,1,".9%"
"2021-02-27",3518,"2021-03-10",22,73,3133,8848,11,".89%"
"2021-02-28",3519,"2021-03-10",22,73,3136,8848,10,".89%"
"2021-03-03",3524,"2021-03-10",22,73,3136,8848,7,".89%"
"2021-03-04",3529,"2021-03-10",22,73,3138,8848,6,".89%"
"2021-03-06",3530,"2021-03-10",22,73,3139,8848,4,".89%"
"2021-03-07",3536,"2021-03-10",22,73,3140,8848,3,".89%"
"2021-03-08",3536,"2021-03-10",22,73,3141,8848,2,".89%"
"2021-03-09",3536,"2021-03-10",22,73,3142,8848,1,".89%"
