"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-08",276,"2020-07-14",,3,,280,6,"-"
"2020-07-09",278,"2020-07-14",2,3,253,280,5,"3.7%"
"2020-07-10",280,"2020-07-14",3,3,258,280,4,"0.%"
"2020-07-11",282,"2020-07-16",3,3,259,283,5,"0.%"
"2020-07-12",293,"2020-07-19",3,4,262,298,7,"2.78%"
"2020-07-13",295,"2020-07-19",3,4,268,298,6,"3.33%"
"2020-07-14",296,"2020-07-19",3,4,280,298,5,"5.56%"
"2020-07-15",297,"2020-07-19",3,4,280,298,4,"5.56%"
"2020-07-16",304,"2020-07-22",3,4,283,322,6,"2.56%"
"2020-07-17",314,"2020-07-22",4,4,286,322,5,"0.%"
"2020-07-18",317,"2020-07-22",4,4,291,322,4,"0.%"
"2020-07-19",322,"2020-07-22",4,4,298,322,3,"0.%"
"2020-07-20",380,"2020-07-27",4,5,299,399,7,"1.%"
"2020-07-21",392,"2020-07-27",4,5,301,399,6,"1.02%"
"2020-07-22",393,"2020-07-27",4,5,322,399,5,"1.3%"
"2020-07-23",423,"2020-07-28",4,5,330,451,5,".83%"
"2020-07-24",483,"2020-07-31",5,6,349,488,7,".72%"
"2020-07-25",511,"2020-08-01",5,6,353,521,7,".6%"
"2020-07-26",521,"2020-08-01",5,6,376,521,6,".69%"
"2020-07-27",546,"2020-08-03",5,6,399,565,7,".6%"
"2020-07-28",548,"2020-08-03",5,6,451,565,6,".88%"
"2020-07-29",552,"2020-08-03",6,6,465,565,5,"0.%"
"2020-07-30",605,"2020-08-07",6,8,478,609,8,"1.53%"
"2020-07-31",606,"2020-08-07",6,8,488,609,7,"1.65%"
"2020-08-01",626,"2020-08-09",6,8,521,648,8,"1.57%"
"2020-08-02",651,"2020-08-10",6,8,537,679,8,"1.41%"
"2020-08-03",676,"2020-08-10",6,8,565,679,7,"1.75%"
"2020-08-04",716,"2020-08-12",6,8,569,733,8,"1.22%"
"2020-08-05",738,"2020-08-13",6,8,579,777,8,"1.01%"
"2020-08-06",804,"2020-08-15",7,8,595,823,9,".44%"
"2020-08-07",854,"2020-08-16",8,9,609,862,9,".4%"
"2020-08-08",856,"2020-08-16",8,9,617,862,8,".41%"
"2020-08-09",914,"2020-08-18",8,9,648,942,9,".34%"
"2020-08-10",984,"2020-08-20",8,10,679,989,10,".65%"
"2020-08-11",1067,"2020-08-23",8,10,707,1186,12,".42%"
"2020-08-12",1117,"2020-08-23",8,10,733,1186,11,".44%"
"2020-08-13",1182,"2020-08-23",8,10,777,1186,10,".49%"
"2020-08-14",1300,"2020-08-24",8,10,797,1326,10,".38%"
"2020-08-15",1402,"2020-08-25",8,10,823,1425,10,".33%"
"2020-08-16",1509,"2020-08-26",9,10,862,1670,10,".12%"
"2020-08-17",1613,"2020-08-26",9,10,900,1670,9,".13%"
"2020-08-18",1686,"2020-08-27",9,11,942,1714,9,".26%"
"2020-08-19",1733,"2020-08-28",10,12,965,1785,9,".24%"
"2020-08-20",1840,"2020-08-30",10,12,989,1914,10,".22%"
"2020-08-21",1929,"2020-08-31",10,12,1017,2086,10,".19%"
"2020-08-22",2006,"2020-08-31",10,12,1042,2086,9,".19%"
"2020-08-23",2098,"2020-09-01",10,12,1186,2149,9,".21%"
"2020-08-24",2164,"2020-09-02",10,13,1326,2199,9,".34%"
"2020-08-25",2222,"2020-09-03",10,13,1425,2297,9,".34%"
"2020-08-26",2336,"2020-09-04",10,13,1670,2361,9,".43%"
"2020-08-27",2418,"2020-09-05",11,13,1714,2525,9,".25%"
"2020-08-28",2469,"2020-09-05",12,13,1785,2525,8,".14%"
"2020-08-29",2545,"2020-09-06",12,13,1837,2602,8,".13%"
"2020-08-30",2585,"2020-09-06",12,13,1914,2602,7,".15%"
"2020-08-31",2632,"2020-09-07",12,13,2086,2644,7,".18%"
"2020-09-01",2726,"2020-09-09",12,13,2149,2741,8,".17%"
"2020-09-02",2813,"2020-09-11",13,14,2199,2925,9,".14%"
"2020-09-03",2999,"2020-09-13",13,14,2297,3123,10,".12%"
"2020-09-04",3137,"2020-09-15",13,14,2361,3324,11,".1%"
"2020-09-05",3187,"2020-09-15",13,14,2525,3324,10,".13%"
"2020-09-06",3294,"2020-09-15",13,14,2602,3324,9,".14%"
"2020-09-07",3368,"2020-09-16",13,14,2644,3386,9,".13%"
"2020-09-08",3457,"2020-09-18",13,14,2698,3517,10,".12%"
"2020-09-09",3503,"2020-09-18",13,14,2741,3517,9,".13%"
"2020-09-10",3585,"2020-09-19",14,15,2795,3622,9,".12%"
"2020-09-11",3697,"2020-09-20",14,15,2925,3726,9,".12%"
"2020-09-12",3764,"2020-09-21",14,15,2979,3802,9,".12%"
"2020-09-13",3887,"2020-09-24",14,16,3123,4013,11,".22%"
"2020-09-14",3940,"2020-09-24",14,16,3123,4013,10,".22%"
"2020-09-15",4083,"2020-09-25",14,16,3324,4102,10,".26%"
"2020-09-16",4138,"2020-09-26",14,16,3386,4188,10,".25%"
"2020-09-17",4210,"2020-09-27",14,16,3440,4235,10,".25%"
"2020-09-18",4291,"2020-09-28",14,16,3517,4308,10,".25%"
"2020-09-19",4334,"2020-09-30",15,17,3622,4497,11,".23%"
"2020-09-20",4408,"2020-09-30",15,17,3726,4497,10,".26%"
"2020-09-21",4522,"2020-10-01",15,18,3802,4558,10,".4%"
"2020-09-22",4556,"2020-10-01",16,18,3856,4558,9,".28%"
"2020-09-23",4692,"2020-10-03",16,19,3856,4804,10,".32%"
"2020-09-24",4797,"2020-10-03",16,19,4013,4804,9,".38%"
