"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-28",549,"2020-07-06",5,6,435,549,8,".88%"
"2020-06-29",557,"2020-07-08",5,8,453,577,9,"2.42%"
"2020-06-30",574,"2020-07-08",5,8,457,577,8,"2.5%"
"2020-07-01",606,"2020-07-09",5,8,482,619,8,"2.19%"
"2020-07-02",620,"2020-07-10",5,8,495,651,8,"1.92%"
"2020-07-03",702,"2020-07-12",5,9,513,749,9,"1.69%"
"2020-07-04",715,"2020-07-12",6,9,518,749,8,"1.3%"
"2020-07-05",813,"2020-07-14",6,11,534,828,9,"1.7%"
"2020-07-06",826,"2020-07-14",6,11,549,828,8,"1.79%"
"2020-07-07",855,"2020-07-18",8,11,556,885,11,".91%"
"2020-07-08",872,"2020-07-18",8,11,577,885,10,".97%"
"2020-07-09",886,"2020-07-19",8,11,619,913,10,"1.02%"
"2020-07-10",941,"2020-07-20",8,11,651,957,10,".98%"
"2020-07-11",987,"2020-07-21",9,12,678,1016,10,".89%"
"2020-07-12",998,"2020-07-21",9,12,749,1016,9,"1.12%"
"2020-07-13",1021,"2020-07-22",10,12,795,1027,9,".86%"
"2020-07-14",1060,"2020-07-24",11,12,828,1089,10,".38%"
"2020-07-15",1076,"2020-07-24",11,12,838,1089,9,".4%"
"2020-07-16",1114,"2020-07-25",11,12,840,1132,9,".34%"
"2020-07-17",1146,"2020-07-26",11,12,843,1158,9,".32%"
"2020-07-18",1184,"2020-07-27",11,13,885,1193,9,".65%"
"2020-07-19",1211,"2020-07-28",11,14,913,1218,9,".98%"
"2020-07-20",1243,"2020-07-30",11,14,957,1294,10,".89%"
"2020-07-21",1327,"2020-07-31",12,14,1016,1410,10,".51%"
"2020-07-22",1384,"2020-07-31",12,14,1027,1410,9,".52%"
"2020-07-23",1431,"2020-08-01",12,14,1054,1488,9,".46%"
"2020-07-24",1567,"2020-08-02",12,14,1089,1579,9,".41%"
"2020-07-25",1614,"2020-08-03",12,14,1132,1629,9,".4%"
"2020-07-26",1689,"2020-08-04",12,14,1158,1697,9,".37%"
"2020-07-27",1825,"2020-08-07",13,15,1193,1929,11,".27%"
"2020-07-28",1885,"2020-08-07",14,15,1218,1929,10,".14%"
"2020-07-29",1946,"2020-08-08",14,15,1232,1966,10,".14%"
"2020-07-30",2043,"2020-08-09",14,15,1294,2097,10,".12%"
"2020-07-31",2071,"2020-08-09",14,15,1410,2097,9,".15%"
"2020-08-01",2125,"2020-08-11",14,15,1488,2226,10,".14%"
"2020-08-02",2248,"2020-08-12",14,15,1579,2352,10,".13%"
"2020-08-03",2337,"2020-08-12",14,15,1629,2352,9,".14%"
"2020-08-04",2458,"2020-08-14",14,18,1697,2554,10,".47%"
"2020-08-05",2626,"2020-08-15",15,20,1738,2722,10,".51%"
"2020-08-06",2731,"2020-08-16",15,21,1782,2822,10,".58%"
"2020-08-07",2855,"2020-08-17",15,22,1929,2954,10,".68%"
"2020-08-08",2953,"2020-08-17",15,22,1966,2954,9,".71%"
"2020-08-09",3130,"2020-08-19",15,22,2097,3148,10,".67%"
"2020-08-10",3202,"2020-08-20",15,23,2100,3212,10,".72%"
"2020-08-11",3278,"2020-08-21",15,23,2226,3290,10,".75%"
"2020-08-12",3387,"2020-08-22",15,26,2352,3440,10,"1.01%"
"2020-08-13",3518,"2020-08-23",17,28,2425,3614,10,".93%"
"2020-08-14",3619,"2020-08-24",18,29,2554,3767,10,".91%"
"2020-08-15",3747,"2020-08-24",20,29,2722,3767,9,".86%"
"2020-08-16",3936,"2020-08-26",21,32,2822,4049,10,".9%"
"2020-08-17",4130,"2020-08-27",22,32,2954,4274,10,".76%"
"2020-08-18",4247,"2020-08-27",22,32,3038,4274,9,".81%"
"2020-08-19",4469,"2020-08-28",22,32,3148,4555,9,".71%"
"2020-08-20",4710,"2020-08-29",23,34,3212,4746,9,".72%"
"2020-08-21",4917,"2020-08-31",23,35,3290,5344,10,".58%"
"2020-08-22",5174,"2020-08-31",26,35,3440,5344,9,".47%"
"2020-08-23",5332,"2020-08-31",28,35,3614,5344,8,".4%"
"2020-08-24",5921,"2020-09-02",29,36,3767,6138,9,".3%"
"2020-08-25",6168,"2020-09-03",30,38,3866,6370,9,".32%"
"2020-08-26",6525,"2020-09-04",32,40,4049,7026,9,".27%"
"2020-08-27",7017,"2020-09-04",32,40,4274,7026,8,".29%"
"2020-08-28",7386,"2020-09-06",32,41,4555,7709,9,".29%"
"2020-08-29",7709,"2020-09-06",34,41,4746,7709,8,".24%"
"2020-08-30",8046,"2020-09-08",35,43,4876,8091,9,".25%"
