"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-19",7032,"2020-11-30",20,24,6788,7035,11,"1.62%"
"2020-11-20",7057,"2020-12-01",21,24,6802,7082,11,"1.07%"
"2020-11-21",7087,"2020-12-26",21,24,6802,7089,35,"1.05%"
"2020-11-22",7140,"2020-12-30",22,24,6841,7147,38,".65%"
"2020-11-23",7163,"2021-01-02",24,24,6879,7166,40,"0.%"
"2020-11-24",7184,"2021-01-05",24,24,6879,7201,42,"0.%"
"2020-11-25",7209,"2021-01-06",24,24,6905,7210,42,"0.%"
"2020-11-26",7230,"2021-01-08",24,24,6938,7230,43,"0.%"
"2020-11-27",7257,"2021-01-11",24,24,6989,7261,45,"0.%"
"2020-11-28",7282,"2021-01-14",24,24,7000,7283,47,"0.%"
"2020-11-29",7298,"2021-01-16",24,24,7014,7313,48,"0.%"
"2020-11-30",7312,"2021-01-16",24,24,7035,7313,47,"0.%"
"2020-12-01",7327,"2021-01-18",24,24,7082,7339,48,"0.%"
"2020-12-26",7341,"2021-01-19",24,24,7089,7357,24,"0.%"
"2020-12-27",7346,"2021-01-19",24,24,7100,7357,23,"0.%"
"2020-12-28",7361,"2021-01-20",24,24,7107,7374,23,"0.%"
"2020-12-29",7376,"2021-01-21",24,24,7107,7392,23,"0.%"
"2020-12-30",7384,"2021-01-21",24,24,7147,7392,22,"0.%"
"2020-12-31",7391,"2021-01-21",24,24,7152,7392,21,"0.%"
"2021-01-01",7400,"2021-01-22",24,24,7155,7414,21,"0.%"
"2021-01-02",7413,"2021-01-22",24,24,7166,7414,20,"0.%"
"2021-01-03",7426,"2021-01-24",24,24,7169,7451,21,"0.%"
"2021-01-04",7434,"2021-01-24",24,24,7183,7451,20,"0.%"
"2021-01-05",7439,"2021-01-24",24,24,7201,7451,19,"0.%"
"2021-01-06",7454,"2021-01-25",24,24,7210,7457,19,"0.%"
"2021-01-07",7468,"2021-01-29",24,24,7215,7469,22,"0.%"
"2021-01-08",7484,"2021-02-01",24,24,7230,7487,24,"0.%"
"2021-01-09",7493,"2021-02-03",24,24,7244,7496,25,"0.%"
"2021-01-10",7508,"2021-02-07",24,24,7254,7508,28,"0.%"
"2021-01-11",7527,"2021-02-14",24,24,7261,7533,34,"0.%"
"2021-01-12",7542,"2021-02-17",24,24,7265,7542,36,"0.%"
"2021-01-13",7555,"2021-02-23",24,24,7274,7557,41,"0.%"
"2021-01-14",7578,"2021-02-28",24,24,7283,7580,45,"0.%"
"2021-01-15",7581,"2021-03-01",24,24,7295,7584,45,"0.%"
"2021-01-16",7604,"2021-03-08",24,24,7313,7620,51,"0.%"
"2021-01-17",7615,"2021-03-08",24,24,7323,7620,50,"0.%"
"2021-01-18",7627,"2021-03-10",24,24,7339,7631,51,"0.%"
"2021-01-19",7631,"2021-03-10",24,24,7357,7631,50,"0.%"
"2021-01-20",7635,"2021-03-11",24,24,7374,7636,50,"0.%"
"2021-01-21",7640,"2021-03-14",24,24,7392,7643,52,"0.%"
"2021-01-22",7646,"2021-03-15",24,24,7414,7650,52,"0.%"
"2021-01-23",7648,"2021-03-15",24,24,7414,7650,51,"0.%"
"2021-01-24",7658,"2021-03-20",24,24,7451,7659,55,"0.%"
"2021-01-25",7667,"2021-03-24",24,24,7457,7670,58,"0.%"
"2021-01-26",7668,"2021-03-24",24,24,7459,7670,57,"0.%"
"2021-01-27",7672,"2021-03-27",24,24,7462,7676,59,"0.%"
"2021-01-28",7675,"2021-03-27",24,24,7465,7676,58,"0.%"
