"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-19",46611,"2020-10-30",212,244,43218,46779,11,".9%"
"2020-10-20",46832,"2020-10-31",215,247,43221,47027,11,".84%"
"2020-10-21",47105,"2020-11-01",217,248,44240,47248,11,"1.03%"
"2020-10-22",47359,"2020-11-03",217,252,44240,47540,12,"1.06%"
"2020-10-23",47821,"2020-11-04",224,254,44457,47827,12,".89%"
"2020-10-24",48004,"2020-11-06",224,260,44851,48184,13,"1.08%"
"2020-10-25",48162,"2020-11-06",230,260,45500,48184,12,"1.12%"
"2020-10-26",48272,"2020-11-08",233,266,45732,48565,13,"1.16%"
"2020-10-27",48478,"2020-11-08",237,266,46005,48565,12,"1.13%"
"2020-10-28",48686,"2020-11-09",239,269,46007,48719,12,"1.11%"
"2020-10-29",48908,"2020-11-11",241,272,46543,49042,13,"1.24%"
"2020-10-30",49067,"2020-11-12",244,275,46779,49206,13,"1.28%"
"2020-10-31",49237,"2020-11-13",247,277,47027,49335,13,"1.3%"
"2020-11-01",49458,"2020-11-14",248,281,47248,49485,13,"1.48%"
"2020-11-02",49600,"2020-11-16",249,286,47249,49896,14,"1.4%"
"2020-11-03",49732,"2020-11-16",252,286,47540,49896,13,"1.44%"
"2020-11-04",49907,"2020-11-17",254,287,47827,50040,13,"1.49%"
"2020-11-05",50066,"2020-11-18",257,288,47830,50137,13,"1.34%"
"2020-11-06",50219,"2020-11-19",260,290,48184,50234,13,"1.46%"
"2020-11-07",50364,"2020-11-22",263,295,48187,50503,15,"1.38%"
"2020-11-08",50508,"2020-11-23",266,299,48565,50569,15,"1.65%"
"2020-11-09",50600,"2020-11-25",269,302,48719,50751,16,"1.62%"
"2020-11-10",50686,"2020-11-25",271,302,48882,50751,15,"1.66%"
"2020-11-11",50820,"2020-11-26",272,305,49042,50827,15,"1.85%"
"2020-11-12",50932,"2020-11-28",275,310,49206,51019,16,"1.93%"
"2020-11-13",51015,"2020-11-28",277,310,49335,51019,15,"1.96%"
"2020-11-14",51083,"2020-11-29",281,312,49485,51086,15,"1.94%"
"2020-11-15",51157,"2020-11-30",285,315,49489,51170,15,"1.78%"
"2020-11-16",51245,"2020-12-26",286,317,49896,51277,40,"2.24%"
"2020-11-17",51318,"2020-12-27",287,318,50040,51322,40,"2.42%"
"2020-11-18",51420,"2020-12-30",288,320,50137,51445,42,"2.45%"
"2020-11-19",51546,"2021-01-04",290,324,50234,51546,46,"2.59%"
"2020-11-20",51616,"2021-01-10",290,326,50336,51633,51,"2.78%"
"2020-11-21",51677,"2021-01-14",291,330,50337,51690,54,"2.88%"
"2020-11-22",51808,"2021-01-24",295,334,50503,51825,63,"2.95%"
"2020-11-23",51864,"2021-01-29",299,334,50569,51866,67,"2.7%"
"2020-11-24",51926,"2021-02-06",300,335,50570,51931,74,"2.57%"
"2020-11-25",51991,"2021-02-16",302,335,50751,51993,83,"2.66%"
"2020-11-26",52040,"2021-02-25",305,336,50827,52041,91,"2.55%"
"2020-11-27",52096,"2021-03-08",307,337,50912,52106,101,"2.51%"
"2020-11-28",52145,"2021-03-13",310,338,51019,52145,105,"2.49%"
"2020-11-29",52185,"2021-03-18",312,338,51086,52194,109,"2.35%"
