"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-28",13412,"2021-03-16",88,90,12729,13412,108,".29%"
"2020-11-29",13461,"2021-03-22",88,90,12777,13461,113,".29%"
"2020-11-30",13493,"2021-03-27",88,90,12830,13501,117,".3%"
"2020-12-01",13527,"2021-03-29",88,90,12895,13539,118,".31%"
"2020-12-26",13547,"2021-03-30",89,90,12912,13552,94,".16%"
"2020-12-27",13564,"2021-04-01",89,90,12929,13571,95,".16%"
"2020-12-28",13581,"2021-04-04",89,90,12951,13593,97,".16%"
"2020-12-29",13591,"2021-04-04",89,90,12951,13593,96,".16%"
"2020-12-30",13610,"2021-04-07",89,90,12982,13612,98,".16%"
"2020-12-31",13627,"2021-04-09",89,90,12990,13643,99,".15%"
"2021-01-01",13644,"2021-04-10",89,90,13008,13647,99,".16%"
"2021-01-02",13648,"2021-04-12",89,90,13022,13672,100,".15%"
"2021-01-03",13657,"2021-04-12",89,90,13038,13672,99,".16%"
"2021-01-04",13662,"2021-04-12",89,90,13050,13672,98,".16%"
"2021-01-05",13673,"2021-04-14",89,90,13074,13686,99,".16%"
"2021-01-06",13681,"2021-04-14",89,90,13088,13686,98,".17%"
"2021-01-07",13692,"2021-04-15",89,90,13114,13695,98,".17%"
"2021-01-08",13705,"2021-04-16",89,90,13120,13748,98,".16%"
"2021-01-09",13713,"2021-04-16",89,90,13135,13748,97,".16%"
"2021-01-10",13724,"2021-04-16",89,90,13139,13748,96,".16%"
"2021-01-11",13729,"2021-04-16",89,90,13146,13748,95,".17%"
"2021-01-12",13739,"2021-04-16",89,90,13151,13748,94,".17%"
"2021-01-13",13747,"2021-04-16",89,90,13170,13748,93,".17%"
"2021-01-14",13753,"2021-04-17",89,90,13183,13800,93,".16%"
"2021-01-15",13758,"2021-04-17",89,90,13192,13800,92,".16%"
"2021-01-16",13760,"2021-04-17",89,90,13201,13800,91,".17%"
"2021-01-17",13768,"2021-04-17",89,90,13206,13800,90,".17%"
"2021-01-18",13772,"2021-04-17",89,90,13218,13800,89,".17%"
"2021-01-19",13775,"2021-04-17",89,90,13226,13800,88,".17%"
"2021-01-20",13778,"2021-04-17",89,90,13235,13800,87,".18%"
"2021-01-21",13780,"2021-04-17",89,90,13237,13800,86,".18%"
"2021-01-22",13780,"2021-04-17",89,90,13242,13800,85,".18%"
"2021-01-23",13783,"2021-04-17",89,90,13242,13800,84,".18%"
"2021-01-24",13787,"2021-04-17",89,90,13243,13800,83,".18%"
"2021-01-25",13793,"2021-04-17",89,90,13243,13800,82,".18%"
"2021-01-26",13796,"2021-04-17",89,90,13243,13800,81,".18%"
"2021-01-27",13799,"2021-04-17",89,90,13243,13800,80,".18%"
"2021-01-28",13801,"2021-04-18",89,90,13245,13826,80,".17%"
"2021-01-29",13804,"2021-04-18",89,90,13247,13826,79,".17%"
"2021-01-30",13806,"2021-04-18",89,90,13247,13826,78,".17%"
"2021-01-31",13811,"2021-04-18",89,90,13250,13826,77,".17%"
"2021-02-01",13813,"2021-04-18",89,90,13251,13826,76,".17%"
"2021-02-02",13815,"2021-04-18",89,90,13251,13826,75,".17%"
"2021-02-03",13815,"2021-04-18",89,90,13254,13826,74,".17%"
"2021-02-04",13824,"2021-04-18",89,90,13256,13826,73,".18%"
"2021-02-05",13828,"2021-04-19",89,90,13258,13875,73,".16%"
"2021-02-06",13833,"2021-04-19",89,90,13266,13875,72,".16%"
"2021-02-07",13837,"2021-04-19",89,90,13268,13875,71,".16%"
"2021-02-08",13844,"2021-04-19",89,90,13273,13875,70,".17%"
"2021-02-09",13849,"2021-04-19",89,90,13275,13875,69,".17%"
"2021-02-10",13851,"2021-04-19",89,90,13277,13875,68,".17%"
"2021-02-11",13854,"2021-04-19",89,90,13277,13875,67,".17%"
"2021-02-12",13858,"2021-04-19",89,90,13286,13875,66,".17%"
"2021-02-13",13860,"2021-04-19",89,90,13290,13875,65,".17%"
"2021-02-14",13865,"2021-04-19",89,90,13295,13875,64,".17%"
"2021-02-15",13872,"2021-04-19",89,90,13295,13875,63,".17%"
"2021-02-16",13874,"2021-04-19",89,90,13306,13875,62,".18%"
"2021-02-17",13877,"2021-04-20",89,90,13311,13914,62,".17%"
"2021-02-18",13878,"2021-04-20",90,90,13313,13914,61,"0.%"
"2021-02-19",13878,"2021-04-20",90,90,13316,13914,60,"0.%"
"2021-02-20",13881,"2021-04-20",90,90,13320,13914,59,"0.%"
"2021-02-21",13886,"2021-04-20",90,90,13322,13914,58,"0.%"
"2021-02-22",13886,"2021-04-20",90,90,13327,13914,57,"0.%"
"2021-02-23",13888,"2021-04-20",90,90,13334,13914,56,"0.%"
"2021-02-24",13891,"2021-04-20",90,90,13336,13914,55,"0.%"
"2021-02-25",13894,"2021-04-20",90,90,13339,13914,54,"0.%"
"2021-02-26",13901,"2021-04-20",90,90,13340,13914,53,"0.%"
"2021-02-27",13906,"2021-04-20",90,90,13340,13914,52,"0.%"
"2021-02-28",13911,"2021-04-20",90,90,13343,13914,51,"0.%"
