"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-18",4703,"2021-01-25",21,23,4573,4707,68,"1.49%"
"2020-11-19",4709,"2021-01-27",22,23,4584,4709,69,".8%"
"2020-11-20",4710,"2021-01-28",23,23,4596,4711,69,"0.%"
"2020-11-21",4712,"2021-01-29",23,23,4596,4712,69,"0.%"
"2020-11-22",4715,"2021-02-02",23,23,4612,4716,72,"0.%"
"2020-11-23",4715,"2021-02-02",23,23,4617,4716,71,"0.%"
"2020-11-24",4717,"2021-02-03",23,23,4617,4717,71,"0.%"
"2020-11-25",4726,"2021-02-11",23,23,4627,4726,78,"0.%"
"2020-11-26",4728,"2021-02-18",23,23,4634,4728,84,"0.%"
"2020-11-27",4731,"2021-02-19",23,23,4641,4731,84,"0.%"
"2020-11-28",4734,"2021-02-25",23,23,4641,4735,89,"0.%"
"2020-11-29",4738,"2021-03-03",23,23,4644,4740,94,"0.%"
"2020-11-30",4738,"2021-03-03",23,23,4645,4740,93,"0.%"
"2020-12-01",4739,"2021-03-03",23,23,4650,4740,92,"0.%"
"2020-12-26",4740,"2021-03-03",23,23,4652,4740,67,"0.%"
"2020-12-27",4741,"2021-03-04",23,23,4653,4741,67,"0.%"
"2020-12-28",4742,"2021-03-06",23,23,4654,4745,68,"0.%"
"2020-12-29",4747,"2021-03-08",23,23,4654,4747,69,"0.%"
"2020-12-30",4750,"2021-03-10",23,23,4656,4750,70,"0.%"
"2020-12-31",4752,"2021-03-11",23,23,4657,4754,70,"0.%"
"2021-01-01",4753,"2021-03-11",23,23,4657,4754,69,"0.%"
"2021-01-02",4754,"2021-03-11",23,23,4657,4754,68,"0.%"
"2021-01-03",4755,"2021-03-14",23,23,4657,4755,70,"0.%"
"2021-01-04",4757,"2021-03-31",23,23,4657,4758,86,"0.%"
"2021-01-05",4760,"2021-04-07",23,23,4658,4763,92,"0.%"
"2021-01-06",4762,"2021-04-07",23,23,4658,4763,91,"0.%"
"2021-01-07",4766,"2021-04-09",23,23,4658,4768,92,"0.%"
"2021-01-08",4770,"2021-04-10",23,23,4661,4771,92,"0.%"
"2021-01-09",4773,"2021-04-12",23,23,4663,4773,93,"0.%"
"2021-01-10",4776,"2021-04-16",23,23,4664,4800,96,"0.%"
"2021-01-11",4780,"2021-04-16",23,23,4666,4800,95,"0.%"
"2021-01-12",4783,"2021-04-16",23,23,4667,4800,94,"0.%"
"2021-01-13",4784,"2021-04-16",23,23,4669,4800,93,"0.%"
"2021-01-14",4789,"2021-04-16",23,23,4671,4800,92,"0.%"
"2021-01-15",4793,"2021-04-16",23,23,4673,4800,91,"0.%"
"2021-01-16",4795,"2021-04-16",23,23,4677,4800,90,"0.%"
"2021-01-17",4795,"2021-04-16",23,23,4681,4800,89,"0.%"
"2021-01-18",4797,"2021-04-16",23,23,4684,4800,88,"0.%"
"2021-01-19",4799,"2021-04-16",23,23,4687,4800,87,"0.%"
"2021-01-20",4800,"2021-04-16",23,23,4691,4800,86,"0.%"
"2021-01-21",4801,"2021-04-17",23,23,4694,4804,86,"0.%"
"2021-01-22",4803,"2021-04-17",23,23,4695,4804,85,"0.%"
"2021-01-23",4803,"2021-04-17",23,23,4701,4804,84,"0.%"
"2021-01-24",4805,"2021-04-18",23,23,4701,4809,84,"0.%"
"2021-01-25",4806,"2021-04-18",23,23,4707,4809,83,"0.%"
"2021-01-27",4808,"2021-04-18",23,23,4709,4809,81,"0.%"
"2021-01-28",4808,"2021-04-18",23,23,4711,4809,80,"0.%"
"2021-01-29",4808,"2021-04-18",23,23,4712,4809,79,"0.%"
"2021-01-30",4808,"2021-04-18",23,23,4713,4809,78,"0.%"
"2021-01-31",4809,"2021-04-18",23,23,4714,4809,77,"0.%"
"2021-02-01",4813,"2021-04-19",23,23,4714,4824,77,"0.%"
"2021-02-02",4814,"2021-04-19",23,23,4716,4824,76,"0.%"
"2021-02-03",4814,"2021-04-19",23,23,4717,4824,75,"0.%"
"2021-02-05",4814,"2021-04-19",23,23,4718,4824,73,"0.%"
