"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-25",7067,"2020-10-04",43,44,5992,7153,9,".09%"
"2020-09-26",7168,"2020-10-05",43,45,6159,7236,9,".19%"
"2020-09-27",7271,"2020-10-06",43,45,6296,7346,9,".19%"
"2020-09-28",7372,"2020-10-07",43,47,6364,7402,9,".39%"
"2020-09-29",7434,"2020-10-08",44,48,6365,7466,9,".36%"
"2020-09-30",7515,"2020-10-09",44,48,6539,7532,9,".4%"
"2020-10-01",7588,"2020-10-10",44,49,6772,7654,9,".57%"
"2020-10-02",7677,"2020-10-11",44,49,6870,7726,9,".58%"
"2020-10-03",7775,"2020-10-12",44,51,7037,7839,9,".87%"
"2020-10-04",7868,"2020-10-14",44,54,7153,7919,10,"1.31%"
"2020-10-05",7959,"2020-10-15",45,57,7236,7993,10,"1.59%"
"2020-10-06",8047,"2020-10-16",45,61,7346,8188,10,"1.9%"
"2020-10-07",8148,"2020-10-16",47,61,7402,8188,9,"1.78%"
"2020-10-08",8253,"2020-10-17",48,62,7466,8280,9,"1.72%"
"2020-10-09",8373,"2020-10-18",48,62,7532,8451,9,"1.52%"
"2020-10-10",8516,"2020-10-19",49,62,7654,8605,9,"1.37%"
"2020-10-11",8677,"2020-10-21",49,62,7726,8936,10,"1.07%"
"2020-10-12",8872,"2020-10-21",51,62,7839,8936,9,"1.%"
"2020-10-13",9022,"2020-10-23",53,64,7841,9052,10,".91%"
"2020-10-14",9208,"2020-10-25",54,70,7919,9607,11,".95%"
"2020-10-15",9369,"2020-10-25",57,70,7993,9607,10,".81%"
"2020-10-16",9667,"2020-10-26",61,72,8188,9740,10,".71%"
"2020-10-17",9807,"2020-10-27",62,73,8280,9843,10,".7%"
"2020-10-18",9906,"2020-10-29",62,74,8451,10040,11,".76%"
"2020-10-19",10004,"2020-10-29",62,74,8605,10040,10,".84%"
"2020-10-20",10104,"2020-10-30",62,74,8605,10116,10,".79%"
"2020-10-21",10208,"2020-10-31",62,77,8936,10220,10,"1.17%"
"2020-10-22",10307,"2020-11-01",62,80,8936,10320,10,"1.3%"
"2020-10-23",10505,"2020-11-03",64,84,9052,10528,11,"1.36%"
"2020-10-24",10615,"2020-11-06",64,86,9161,10775,13,"1.36%"
"2020-10-25",10721,"2020-11-06",70,86,9607,10775,12,"1.37%"
"2020-10-26",10811,"2020-11-08",72,87,9740,10924,13,"1.27%"
"2020-10-27",10907,"2020-11-08",73,87,9843,10924,12,"1.3%"
"2020-10-28",11018,"2020-11-09",74,88,9844,11049,12,"1.16%"
"2020-10-29",11111,"2020-11-10",74,90,10040,11149,12,"1.44%"
"2020-10-30",11169,"2020-11-11",74,90,10116,11255,12,"1.4%"
"2020-10-31",11281,"2020-11-12",77,92,10220,11336,12,"1.34%"
"2020-11-01",11388,"2020-11-13",80,95,10320,11478,12,"1.3%"
"2020-11-02",11488,"2020-11-14",83,100,10323,11508,12,"1.43%"
"2020-11-03",11555,"2020-11-16",84,109,10528,11717,13,"2.1%"
"2020-11-04",11659,"2020-11-16",84,109,10593,11717,12,"2.22%"
"2020-11-05",11750,"2020-11-17",86,113,10595,11837,12,"2.17%"
"2020-11-06",11846,"2020-11-18",86,116,10775,11937,12,"2.58%"
"2020-11-07",11942,"2020-11-19",86,120,10775,12082,12,"2.6%"
"2020-11-08",12040,"2020-11-19",87,120,10924,12082,11,"2.85%"
"2020-11-09",12147,"2020-11-20",88,124,11049,12182,11,"3.18%"
"2020-11-10",12254,"2020-11-22",90,138,11149,12327,12,"4.07%"
"2020-11-11",12373,"2020-11-23",90,142,11255,12449,12,"4.36%"
"2020-11-12",12453,"2020-11-24",92,147,11336,12454,12,"4.92%"
"2020-11-13",12547,"2020-11-25",95,151,11478,12560,12,"5.18%"
"2020-11-14",12632,"2020-11-26",100,156,11508,12635,12,"4.97%"
"2020-11-15",12707,"2020-11-28",104,164,11512,12777,13,"4.74%"
"2020-11-16",12762,"2020-11-28",109,164,11717,12777,12,"5.19%"
"2020-11-17",12824,"2020-11-30",113,164,11837,12894,13,"4.82%"
"2020-11-18",12906,"2020-12-01",116,164,11937,12951,13,"4.73%"
"2020-11-19",12993,"2020-12-27",120,166,12082,13026,38,"4.87%"
"2020-11-20",13045,"2020-12-28",124,167,12182,13058,38,"4.91%"
"2020-11-21",13109,"2020-12-30",129,167,12187,13128,39,"4.04%"
"2020-11-22",13219,"2021-01-01",138,167,12327,13257,40,"3.12%"
"2020-11-23",13274,"2021-01-02",142,167,12449,13276,40,"3.02%"
"2020-11-24",13340,"2021-01-04",147,169,12454,13363,41,"2.42%"
"2020-11-25",13397,"2021-01-05",151,170,12560,13397,41,"2.27%"
"2020-11-26",13459,"2021-01-07",156,170,12635,13462,42,"1.69%"
"2020-11-27",13514,"2021-01-10",160,170,12693,13529,44,"1.2%"
"2020-11-28",13561,"2021-01-11",164,170,12777,13563,44,".76%"
"2020-11-29",13613,"2021-01-13",164,170,12812,13619,45,".74%"
"2020-11-30",13654,"2021-01-15",164,171,12894,13683,46,".89%"
"2020-12-01",13686,"2021-01-16",164,172,12951,13714,46,"1.05%"
"2020-12-26",13726,"2021-01-17",165,172,12990,13753,22,".92%"
"2020-12-27",13756,"2021-01-18",166,172,13026,13761,22,".82%"
"2020-12-28",13784,"2021-01-19",167,172,13058,13801,22,".67%"
"2020-12-29",13816,"2021-01-21",167,172,13058,13858,23,".62%"
"2020-12-30",13844,"2021-01-21",167,172,13128,13858,22,".68%"
"2020-12-31",13861,"2021-01-22",167,172,13199,13895,22,".72%"
"2021-01-01",13895,"2021-01-22",167,172,13257,13895,21,".78%"
"2021-01-02",13929,"2021-01-24",167,173,13276,13941,22,".9%"
"2021-01-03",13962,"2021-01-25",168,174,13313,13967,22,".92%"
"2021-01-04",13994,"2021-01-26",169,174,13363,13996,22,".79%"
"2021-01-05",14017,"2021-01-28",170,174,13397,14034,23,".63%"
"2021-01-06",14049,"2021-01-29",170,174,13428,14064,23,".63%"
"2021-01-07",14079,"2021-01-30",170,174,13462,14085,23,".64%"
"2021-01-08",14108,"2021-02-01",170,174,13479,14113,24,".63%"
"2021-01-09",14134,"2021-02-02",170,174,13498,14135,24,".63%"
"2021-01-10",14165,"2021-02-03",170,174,13529,14167,24,".63%"
"2021-01-11",14187,"2021-02-04",170,174,13563,14193,24,".63%"
"2021-01-12",14225,"2021-02-07",170,174,13589,14228,26,".63%"
"2021-01-13",14255,"2021-02-09",170,174,13619,14261,27,".62%"
"2021-01-14",14279,"2021-02-11",170,174,13642,14279,28,".63%"
"2021-01-15",14314,"2021-02-13",171,174,13683,14316,29,".47%"
"2021-01-16",14344,"2021-02-16",172,174,13714,14361,31,".31%"
"2021-01-17",14362,"2021-02-17",172,174,13753,14382,31,".32%"
"2021-01-18",14387,"2021-02-18",172,174,13761,14393,31,".32%"
"2021-01-19",14413,"2021-02-20",172,174,13801,14417,32,".32%"
"2021-01-20",14443,"2021-02-24",172,174,13815,14468,35,".31%"
"2021-01-21",14460,"2021-02-24",172,174,13858,14468,34,".33%"
"2021-01-22",14478,"2021-02-26",172,174,13895,14488,35,".34%"
"2021-01-23",14492,"2021-02-27",172,174,13895,14498,35,".33%"
"2021-01-24",14528,"2021-03-03",173,174,13941,14538,38,".17%"
"2021-01-25",14560,"2021-03-08",174,174,13967,14575,42,"0.%"
"2021-01-26",14580,"2021-03-09",174,174,13996,14581,42,"0.%"
"2021-01-27",14595,"2021-03-11",174,174,14011,14600,43,"0.%"
"2021-01-28",14612,"2021-03-13",174,174,14034,14617,44,"0.%"
"2021-01-29",14621,"2021-03-14",174,174,14064,14630,44,"0.%"
"2021-01-30",14633,"2021-03-15",174,174,14085,14637,44,"0.%"
"2021-01-31",14654,"2021-03-18",174,174,14099,14662,46,"0.%"
"2021-02-01",14664,"2021-03-19",174,174,14113,14676,46,"0.%"
"2021-02-02",14672,"2021-03-19",174,174,14135,14676,45,"0.%"
"2021-02-03",14683,"2021-03-20",174,174,14167,14683,45,"0.%"
