"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",283842,"2021-03-14",1698,1751,269194,284518,2,".35%"
"2021-03-13",247232,"2021-03-14",1380,1593,233209,248391,1,"1.4%"
"2021-03-14",299357,"2021-03-31",1795,1823,284518,302297,17,".16%"
"2021-03-15",278570,"2021-03-19",1669,1694,264322,278940,4,".17%"
"2021-03-16",262644,"2021-03-17",1604,1694,248391,272667,1,".37%"
"2021-03-17",287553,"2021-03-20",1711,1751,272667,289036,3,".24%"
"2021-03-18",266248,"2021-03-19",1593,1694,252158,272985,1,".48%"
"2021-03-19",298416,"2021-03-25",1753,1799,283362,298939,6,".3%"
"2021-03-20",305503,"2021-04-02",1751,1891,290019,312608,13,".62%"
"2021-03-21",293692,"2021-03-23",1726,1799,278940,296268,2,".42%"
"2021-03-22",296919,"2021-03-25",1717,1799,281529,298939,3,".47%"
"2021-03-23",311969,"2021-04-02",1834,1891,296268,312608,10,".35%"
"2021-03-24",309175,"2021-04-02",1780,1891,293473,312608,9,".58%"
"2021-03-25",315144,"2021-04-03",1799,1897,299058,316091,9,".58%"
"2021-03-26",305020,"2021-04-01",1782,1851,289036,305144,6,".43%"
"2021-03-27",288531,"2021-03-28",1721,1782,272985,292465,1,".31%"
"2021-03-28",308722,"2021-04-02",1782,1891,292465,312608,5,".54%"
"2021-03-29",294937,"2021-03-30",1694,1823,278964,298939,1,".65%"
"2021-03-30",315457,"2021-04-03",1835,1897,298939,316091,4,".36%"
"2021-03-31",319032,"2021-04-11",1823,1935,302297,322678,11,".55%"
"2021-04-01",322147,"2021-04-11",1851,1935,305144,322678,10,".48%"
"2021-04-02",329992,"2021-04-19",1891,1957,312608,330500,17,".37%"
"2021-04-03",335694,"2021-04-22",1916,1974,317786,336304,19,".31%"
"2021-04-04",330913,"2021-04-20",1892,1962,313100,332210,16,".37%"
"2021-04-05",334372,"2021-04-22",1905,1974,316091,336304,17,".34%"
"2021-04-06",322944,"2021-04-12",1864,1937,304446,323646,6,".38%"
"2021-04-07",337501,"2021-04-23",1897,1982,317459,338683,16,".4%"
"2021-04-08",338005,"2021-04-23",1907,1982,316585,338683,15,".34%"
"2021-04-09",336395,"2021-04-23",1895,1982,314319,338683,14,".36%"
"2021-04-10",340661,"2021-04-24",1910,1990,317501,342061,14,".33%"
"2021-04-11",347296,"2021-04-26",1935,2006,322678,349493,15,".26%"
"2021-04-12",349037,"2021-04-26",1937,2006,323646,349493,14,".27%"
"2021-04-13",350821,"2021-04-27",1939,2016,323648,353437,14,".26%"
"2021-04-14",353088,"2021-04-27",1942,2016,324166,353437,13,".25%"
"2021-04-15",356077,"2021-04-28",1944,2026,324755,357843,13,".25%"
"2021-04-16",359185,"2021-04-29",1947,2038,326497,362374,13,".25%"
"2021-04-17",362329,"2021-04-29",1951,2038,327772,362374,12,".25%"
"2021-04-18",365993,"2021-04-30",1953,2052,329038,367257,12,".26%"
"2021-04-19",370438,"2021-05-01",1957,2063,330500,372663,12,".25%"
"2021-04-20",375199,"2021-05-02",1962,2077,332210,379011,12,".25%"
"2021-04-21",380050,"2021-05-03",1967,2082,334178,385240,12,".23%"
"2021-04-22",386214,"2021-05-04",1974,2097,336304,391240,12,".22%"
"2021-04-23",392429,"2021-05-05",1982,2113,338683,397231,12,".22%"
"2021-04-24",399076,"2021-05-06",1990,2130,342061,403890,12,".23%"
"2021-04-25",405192,"2021-05-07",1997,2149,345414,411972,12,".23%"
"2021-04-26",411791,"2021-05-07",2006,2149,349493,411972,11,".23%"
"2021-04-27",417864,"2021-05-08",2016,2170,353437,419465,11,".23%"
"2021-04-28",426250,"2021-05-09",2026,2189,357843,427749,11,".23%"
"2021-04-29",433248,"2021-05-10",2038,2206,362374,437112,11,".22%"
"2021-04-30",441929,"2021-05-11",2052,2224,367257,444458,11,".22%"
"2021-05-01",452342,"2021-05-12",2063,2241,372663,452767,11,".22%"
"2021-05-02",460357,"2021-05-13",2077,2260,379011,461213,11,".22%"
"2021-05-03",469271,"2021-05-14",2082,2282,385240,470315,11,".24%"
"2021-05-04",477487,"2021-05-15",2097,2303,391240,480835,11,".23%"
"2021-05-05",487376,"2021-05-16",2113,2322,397231,492574,11,".22%"
"2021-05-06",497897,"2021-05-17",2130,2344,403890,504116,11,".21%"
"2021-05-07",510135,"2021-05-18",2149,2366,411972,514108,11,".21%"
"2021-05-08",521942,"2021-05-19",2170,2387,419465,523894,11,".21%"
"2021-05-09",532577,"2021-05-20",2189,2412,427749,533509,11,".21%"
"2021-05-10",542608,"2021-05-21",2206,2439,437112,544085,11,".22%"
"2021-05-11",552401,"2021-05-22",2224,2465,444458,554446,11,".22%"
"2021-05-12",563383,"2021-05-23",2241,2493,452767,565750,11,".22%"
"2021-05-13",574032,"2021-05-24",2260,2525,461213,577112,11,".23%"
"2021-05-14",586422,"2021-05-25",2282,2558,470315,588648,11,".23%"
"2021-05-15",598227,"2021-05-26",2303,2593,480835,599118,11,".25%"
"2021-05-16",609959,"2021-05-27",2322,2627,492574,610457,11,".26%"
"2021-05-17",620716,"2021-05-28",2344,2660,504116,622202,11,".27%"
"2021-05-18",631037,"2021-05-29",2366,2695,514108,633489,11,".28%"
"2021-05-19",642136,"2021-05-30",2387,2728,523894,645079,11,".28%"
"2021-05-20",653634,"2021-05-31",2412,2763,533509,655265,11,".29%"
"2021-05-21",666157,"2021-06-02",2439,2840,544085,676497,12,".3%"
"2021-05-22",677265,"2021-06-03",2465,2882,554446,686757,12,".32%"
"2021-05-23",690117,"2021-06-04",2493,2921,565750,697810,12,".32%"
"2021-05-24",701176,"2021-06-05",2525,2961,577112,705364,12,".34%"
"2021-05-25",712115,"2021-06-07",2558,3044,588648,720852,13,".37%"
"2021-05-26",723738,"2021-06-08",2593,3089,599118,729506,13,".38%"
"2021-05-27",730474,"2021-06-09",2627,3132,610457,737419,13,".4%"
"2021-05-28",737690,"2021-06-10",2660,3176,622202,745542,13,".42%"
"2021-05-29",744878,"2021-06-10",2695,3176,633489,745542,12,".43%"
"2021-05-30",754419,"2021-06-12",2728,3266,645079,761341,13,".46%"
"2021-05-31",762732,"2021-06-13",2763,3311,655265,768931,13,".48%"
"2021-06-01",771467,"2021-06-14",2800,3355,666065,777012,13,".5%"
"2021-06-02",779866,"2021-06-15",2840,3397,676497,783646,13,".52%"
"2021-06-03",788705,"2021-06-16",2882,3441,686757,789166,13,".55%"
"2021-06-04",796434,"2021-06-18",2921,3517,697810,801432,14,".58%"
"2021-06-05",803829,"2021-06-19",2961,3559,705364,806604,14,".59%"
"2021-06-06",810831,"2021-06-20",3003,3599,705406,811602,14,".56%"
"2021-06-07",816949,"2021-06-22",3044,3680,720852,820225,15,".64%"
"2021-06-08",822845,"2021-06-23",3089,3726,729506,824214,15,".67%"
"2021-06-09",828864,"2021-06-25",3132,3810,737419,831270,16,".72%"
"2021-06-10",834961,"2021-06-27",3176,3896,745542,838457,17,".77%"
"2021-06-11",840196,"2021-06-28",3219,3978,753916,845325,17,".83%"
"2021-06-12",845048,"2021-06-28",3266,3978,761341,845325,16,".85%"
"2021-06-13",849517,"2021-06-30",3311,4066,768931,852004,17,".91%"
"2021-06-14",853856,"2021-07-01",3355,4111,777012,855436,17,".96%"
"2021-06-15",857261,"2021-07-02",3397,4157,783646,858666,17,"1.01%"
"2021-06-16",860796,"2021-07-03",3441,4202,789166,861780,17,"1.05%"
"2021-06-17",864427,"2021-07-04",3480,4244,795300,865115,17,"1.09%"
"2021-06-18",868233,"2021-07-05",3517,4296,801432,868393,17,"1.16%"
"2021-06-19",871660,"2021-07-07",3559,4406,806604,874496,18,"1.25%"
"2021-06-20",875237,"2021-07-08",3599,4463,811602,877376,18,"1.31%"
"2021-06-21",878268,"2021-07-09",3642,4524,816134,880686,18,"1.37%"
"2021-06-22",881225,"2021-07-10",3680,4582,820225,883767,18,"1.42%"
"2021-06-23",884681,"2021-07-11",3726,4647,824214,886587,18,"1.48%"
"2021-06-24",888331,"2021-07-12",3770,4710,827668,889486,18,"1.52%"
"2021-06-25",891243,"2021-07-13",3810,4778,831270,892135,18,"1.59%"
"2021-06-26",894797,"2021-07-15",3857,4909,834935,897267,19,"1.69%"
"2021-06-27",898205,"2021-07-16",3896,4973,838457,899547,19,"1.76%"
"2021-06-28",904932,"2021-07-19",3978,5164,845325,906606,21,"1.94%"
"2021-06-29",907572,"2021-07-20",4018,5220,848801,908886,21,"2.%"
"2021-06-30",910943,"2021-07-22",4066,5356,852004,913041,22,"2.11%"
"2021-07-01",914030,"2021-07-23",4111,5425,855436,915069,22,"2.2%"
"2021-07-02",917252,"2021-07-25",4157,5560,858666,919005,23,"2.33%"
"2021-07-03",920169,"2021-07-26",4202,5622,861780,921178,23,"2.39%"
"2021-07-04",923039,"2021-07-27",4244,5682,865115,923107,23,"2.48%"
"2021-07-05",925842,"2021-07-29",4296,5816,868393,926183,24,"2.63%"
"2021-07-06",928329,"2021-07-30",4347,5882,871607,928632,24,"2.69%"
