"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-11",102,"2020-10-06",,1,,265,25,"-"
"2020-09-13",103,"2020-10-06",,1,,265,23,"-"
"2020-09-14",106,"2020-10-06",,1,,265,22,"-"
"2020-09-15",109,"2020-10-06",,1,,265,21,"-"
"2020-09-16",126,"2020-10-06",,1,,265,20,"-"
"2020-09-17",135,"2020-10-06",,1,,265,19,"-"
"2020-09-18",140,"2020-10-06",,1,,265,18,"-"
"2020-09-19",146,"2020-10-06",,1,,265,17,"-"
"2020-09-20",155,"2020-10-06",,1,,265,16,"-"
"2020-09-21",162,"2020-10-06",,1,,265,15,"-"
"2020-09-22",166,"2020-10-06",,1,,265,14,"-"
"2020-09-23",191,"2020-10-06",,1,,265,13,"-"
"2020-09-24",200,"2020-10-06",,1,,265,12,"-"
"2020-09-25",209,"2020-10-06",,1,,265,11,"-"
"2020-09-26",243,"2020-10-06",,1,,265,10,"-"
"2020-09-27",262,"2020-10-06",,1,,265,9,"-"
"2020-09-28",263,"2020-10-06",,1,,265,8,"-"
"2020-09-29",273,"2020-10-07",,4,,276,8,"-"
"2020-09-30",283,"2020-10-08",,4,,290,8,"-"
"2020-10-01",303,"2020-10-09",,4,,306,8,"-"
"2020-10-02",312,"2020-10-10",,4,,330,8,"-"
"2020-10-03",318,"2020-10-10",,4,,330,7,"-"
"2020-10-04",380,"2020-10-13",,4,,398,9,"-"
"2020-10-05",380,"2020-10-13",,4,,398,8,"-"
"2020-10-06",414,"2020-10-14",1,4,265,437,8,"1.74%"
"2020-10-07",471,"2020-10-16",4,4,276,499,9,"0.%"
"2020-10-08",523,"2020-10-17",4,4,290,560,9,"0.%"
"2020-10-09",546,"2020-10-17",4,4,306,560,8,"0.%"
"2020-10-10",603,"2020-10-20",4,5,330,615,10,".35%"
"2020-10-11",628,"2020-10-21",4,6,345,640,10,".68%"
"2020-10-12",644,"2020-10-22",4,6,349,658,10,".65%"
"2020-10-13",666,"2020-10-23",4,6,398,671,10,".73%"
"2020-10-14",676,"2020-10-24",4,6,437,694,10,".78%"
"2020-10-15",703,"2020-10-25",4,6,449,709,10,".77%"
"2020-10-16",710,"2020-10-27",4,6,499,730,11,".87%"
"2020-10-17",724,"2020-10-27",4,6,560,730,10,"1.18%"
"2020-10-18",740,"2020-10-28",4,6,592,747,10,"1.29%"
"2020-10-19",741,"2020-10-28",4,6,600,747,9,"1.36%"
"2020-10-20",757,"2020-10-29",5,7,615,783,9,"1.19%"
"2020-10-21",765,"2020-10-29",6,7,640,783,8,".7%"
"2020-10-22",778,"2020-10-29",6,7,658,783,7,".8%"
"2020-10-23",814,"2020-11-02",6,7,671,818,10,".68%"
"2020-10-24",820,"2020-11-03",6,7,694,861,10,".6%"
"2020-10-25",829,"2020-11-03",6,7,709,861,9,".66%"
"2020-10-26",839,"2020-11-03",6,7,709,861,8,".66%"
"2020-10-27",874,"2020-11-04",6,7,730,883,8,".65%"
"2020-10-28",885,"2020-11-05",6,7,747,892,8,".69%"
"2020-10-29",918,"2020-11-06",7,7,783,920,8,"0.%"
"2020-10-30",931,"2020-11-10",7,7,787,971,11,"0.%"
