"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-23",29813,"2020-12-30",499,503,29534,29814,37,"1.43%"
"2020-11-24",29832,"2021-01-01",499,503,29556,29842,38,"1.4%"
"2020-11-25",29859,"2021-01-02",499,503,29579,29861,38,"1.42%"
"2020-11-26",29858,"2021-01-02",499,503,29592,29861,37,"1.49%"
"2020-11-27",29867,"2021-01-03",499,503,29613,29883,37,"1.48%"
"2020-11-28",29888,"2021-01-04",499,505,29633,29901,37,"2.24%"
"2020-11-29",29909,"2021-01-05",499,505,29674,29915,37,"2.49%"
"2020-11-30",29934,"2021-01-06",499,505,29710,29936,37,"2.65%"
"2020-12-01",29956,"2021-01-07",500,505,29750,29968,37,"2.29%"
"2020-12-26",29974,"2021-01-08",501,505,29767,29992,13,"1.78%"
"2020-12-27",30008,"2021-01-09",501,505,29787,30029,13,"1.65%"
"2020-12-28",30018,"2021-01-09",501,505,29796,30029,12,"1.72%"
"2020-12-29",30046,"2021-01-10",503,506,29808,30054,12,"1.22%"
"2020-12-30",30062,"2021-01-11",503,506,29814,30075,12,"1.15%"
"2020-12-31",30081,"2021-01-12",503,507,29821,30098,12,"1.44%"
"2021-01-01",30097,"2021-01-12",503,507,29842,30098,11,"1.56%"
"2021-01-02",30103,"2021-01-13",503,507,29861,30119,11,"1.55%"
"2021-01-03",30128,"2021-01-14",503,508,29883,30135,11,"1.98%"
"2021-01-04",30151,"2021-01-16",505,509,29901,30154,12,"1.58%"
"2021-01-05",30175,"2021-01-17",505,509,29915,30175,12,"1.54%"
"2021-01-06",30197,"2021-01-19",505,510,29936,30199,13,"1.9%"
"2021-01-07",30212,"2021-01-20",505,510,29968,30222,13,"1.97%"
"2021-01-08",30223,"2021-01-21",505,510,29992,30248,13,"1.95%"
"2021-01-09",30246,"2021-01-21",505,510,30029,30248,12,"2.28%"
"2021-01-10",30268,"2021-01-22",506,510,30054,30269,12,"1.86%"
"2021-01-11",30286,"2021-01-23",506,511,30075,30286,12,"2.37%"
"2021-01-12",30296,"2021-01-24",507,512,30098,30309,12,"2.37%"
"2021-01-13",30313,"2021-01-25",507,512,30119,30323,12,"2.45%"
"2021-01-14",30334,"2021-01-27",508,513,30135,30362,13,"2.2%"
"2021-01-15",30350,"2021-01-27",508,513,30145,30362,12,"2.3%"
"2021-01-16",30358,"2021-01-27",509,513,30154,30362,11,"1.92%"
"2021-01-17",30388,"2021-01-29",509,513,30175,30391,12,"1.85%"
"2021-01-18",30395,"2021-01-30",510,513,30187,30415,12,"1.32%"
"2021-01-19",30418,"2021-01-31",510,514,30199,30428,12,"1.75%"
"2021-01-20",30442,"2021-02-01",510,517,30222,30443,12,"3.17%"
"2021-01-21",30452,"2021-02-02",510,517,30248,30457,12,"3.35%"
"2021-01-22",30464,"2021-02-03",510,517,30269,30471,12,"3.47%"
"2021-01-23",30480,"2021-02-04",511,517,30286,30486,12,"3.%"
"2021-01-24",30495,"2021-02-05",512,519,30309,30501,12,"3.65%"
"2021-01-25",30510,"2021-02-06",512,519,30323,30522,12,"3.52%"
"2021-01-26",30522,"2021-02-06",512,519,30332,30522,11,"3.68%"
"2021-01-27",30543,"2021-02-08",513,519,30362,30556,12,"3.09%"
"2021-01-28",30564,"2021-02-09",513,519,30377,30573,12,"3.06%"
"2021-01-29",30580,"2021-02-10",513,520,30391,30597,12,"3.4%"
"2021-01-30",30605,"2021-02-11",513,520,30415,30612,12,"3.55%"
"2021-01-31",30622,"2021-02-12",514,520,30428,30630,12,"2.97%"
"2021-02-01",30636,"2021-02-13",517,520,30443,30640,12,"1.52%"
"2021-02-02",30654,"2021-02-15",517,522,30457,30678,13,"2.26%"
"2021-02-03",30662,"2021-02-15",517,522,30471,30678,12,"2.42%"
"2021-02-04",30676,"2021-02-15",517,522,30486,30678,11,"2.6%"
"2021-02-05",30705,"2021-02-17",519,523,30501,30722,12,"1.81%"
"2021-02-06",30730,"2021-02-18",519,523,30522,30739,12,"1.84%"
"2021-02-07",30745,"2021-02-19",519,525,30541,30761,12,"2.73%"
"2021-02-08",30766,"2021-02-20",519,525,30556,30777,12,"2.71%"
"2021-02-09",30786,"2021-02-21",519,526,30573,30790,12,"3.23%"
"2021-02-10",30802,"2021-02-22",520,526,30597,30808,12,"2.84%"
"2021-02-11",30819,"2021-02-23",520,528,30612,30828,12,"3.7%"
"2021-02-12",30833,"2021-02-24",520,529,30630,30840,12,"4.29%"
"2021-02-13",30851,"2021-02-25",520,530,30640,30852,12,"4.72%"
"2021-02-14",30856,"2021-02-26",521,530,30651,30866,12,"4.19%"
"2021-02-15",30872,"2021-02-27",522,531,30678,30877,12,"4.52%"
"2021-02-16",30882,"2021-02-28",522,531,30703,30888,12,"4.86%"
"2021-02-17",30894,"2021-03-01",523,532,30722,30901,12,"5.03%"
"2021-02-18",30905,"2021-03-02",523,532,30739,30912,12,"5.2%"
"2021-02-19",30916,"2021-03-03",525,532,30761,30921,12,"4.38%"
"2021-02-20",30928,"2021-03-04",525,532,30777,30931,12,"4.55%"
"2021-02-21",30939,"2021-03-05",526,532,30790,30940,12,"4.%"
