"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-20",3,"2020-06-11",,2,,60,22,"-"
"2020-05-22",24,"2020-06-11",,2,,60,20,"-"
"2020-05-24",37,"2020-06-11",,2,,60,18,"-"
"2020-05-25",43,"2020-06-11",,2,,60,17,"-"
"2020-05-28",47,"2020-06-11",,2,,60,14,"-"
"2020-05-29",55,"2020-06-11",,2,,60,13,"-"
"2020-05-31",64,"2020-06-12",,3,,70,12,"-"
"2020-06-01",73,"2020-06-13",,3,,75,12,"-"
"2020-06-03",84,"2020-06-14",,4,,85,11,"-"
"2020-06-04",9,"2020-06-11",,2,,60,7,"-"
"2020-06-05",89,"2020-06-15",,4,,89,10,"-"
"2020-06-06",101,"2020-06-17",,5,,104,11,"-"
"2020-06-07",113,"2020-06-20",,7,,124,13,"-"
"2020-06-08",126,"2020-06-21",,8,,134,13,"-"
"2020-06-09",130,"2020-06-21",,8,,134,12,"-"
"2020-06-10",136,"2020-06-22",,8,,142,12,"-"
"2020-06-11",155,"2020-06-23",2,9,60,159,12,"7.07%"
"2020-06-12",155,"2020-06-23",3,9,70,159,11,"6.74%"
"2020-06-13",173,"2020-06-25",3,9,75,181,12,"5.66%"
"2020-06-14",194,"2020-06-26",4,9,85,197,12,"4.46%"
"2020-06-15",189,"2020-06-26",4,9,89,197,11,"4.63%"
"2020-06-16",207,"2020-06-27",4,10,93,216,11,"4.88%"
"2020-06-17",236,"2020-06-28",5,11,104,247,11,"4.2%"
"2020-06-18",263,"2020-06-30",6,12,109,268,12,"3.77%"
"2020-06-19",278,"2020-07-01",7,12,112,286,12,"2.87%"
"2020-06-20",338,"2020-07-03",7,13,124,370,13,"2.44%"
"2020-06-21",347,"2020-07-03",8,13,134,370,12,"2.12%"
"2020-06-22",373,"2020-07-04",8,14,142,389,12,"2.43%"
"2020-06-23",392,"2020-07-05",9,14,159,423,12,"1.89%"
"2020-06-24",446,"2020-07-07",9,14,170,480,13,"1.61%"
"2020-06-25",491,"2020-07-08",9,14,181,544,13,"1.38%"
"2020-06-26",523,"2020-07-08",9,14,197,544,12,"1.44%"
"2020-06-27",608,"2020-07-10",10,17,216,633,13,"1.68%"
"2020-06-28",638,"2020-07-11",11,18,247,687,13,"1.59%"
"2020-06-29",678,"2020-07-11",11,18,257,687,12,"1.63%"
"2020-06-30",673,"2020-07-11",12,18,268,687,11,"1.43%"
"2020-07-01",737,"2020-07-13",12,18,286,780,12,"1.21%"
"2020-07-02",782,"2020-07-14",12,18,316,813,12,"1.21%"
"2020-07-03",804,"2020-07-14",13,18,370,813,11,"1.13%"
