"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-10",37,"2020-06-26",,0,,81,47,"-"
"2020-05-11",48,"2020-06-26",,0,,81,46,"-"
"2020-05-12",56,"2020-06-26",,0,,81,45,"-"
"2020-05-15",56,"2020-06-26",,0,,81,42,"-"
"2020-05-16",56,"2020-06-26",,0,,81,41,"-"
"2020-05-18",56,"2020-06-26",,0,,81,39,"-"
"2020-05-20",56,"2020-06-26",,0,,81,37,"-"
"2020-05-22",57,"2020-06-26",,0,,81,35,"-"
"2020-05-23",57,"2020-06-26",,0,,81,34,"-"
"2020-05-30",58,"2020-06-26",,0,,81,27,"-"
"2020-06-01",63,"2020-06-26",,0,,81,25,"-"
"2020-06-02",64,"2020-06-26",,0,,81,24,"-"
"2020-06-05",65,"2020-06-26",,0,,81,21,"-"
"2020-06-06",69,"2020-06-26",,0,,81,20,"-"
"2020-06-07",70,"2020-06-26",,0,,81,19,"-"
"2020-06-08",70,"2020-06-26",,0,,81,18,"-"
"2020-06-09",70,"2020-06-26",,0,,81,17,"-"
"2020-06-10",73,"2020-06-26",,0,,81,16,"-"
"2020-06-12",73,"2020-06-26",,0,,81,14,"-"
"2020-06-13",74,"2020-06-26",,0,,81,13,"-"
"2020-06-14",76,"2020-06-26",,0,,81,12,"-"
"2020-06-15",77,"2020-06-26",,0,,81,11,"-"
"2020-06-16",78,"2020-06-26",,0,,81,10,"-"
"2020-06-17",81,"2020-06-26",,0,,81,9,"-"
"2020-06-18",83,"2020-06-28",,0,,83,10,"-"
"2020-06-19",85,"2020-06-30",,0,,93,11,"-"
"2020-06-20",87,"2020-06-30",,0,,93,10,"-"
"2020-06-21",88,"2020-06-30",,0,,93,9,"-"
"2020-06-22",90,"2020-06-30",,0,,93,8,"-"
"2020-06-23",100,"2020-07-05",,0,,102,12,"-"
"2020-06-24",101,"2020-07-05",,0,,102,11,"-"
"2020-06-26",107,"2020-07-08",1,1,81,113,12,"0.%"
"2020-06-27",107,"2020-07-08",0,1,81,113,11,"3.12%"
"2020-06-28",110,"2020-07-08",0,1,83,113,10,"3.33%"
"2020-06-29",111,"2020-07-08",0,1,84,113,9,"3.45%"
