"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-07",7808,"2021-03-02",247,261,7659,7821,23,"8.64%"
"2021-02-08",7812,"2021-03-02",247,261,7666,7821,22,"9.03%"
"2021-02-09",7817,"2021-03-02",248,261,7668,7821,21,"8.5%"
"2021-02-10",7836,"2021-03-05",253,262,7675,7846,23,"5.26%"
"2021-02-11",7846,"2021-03-05",253,262,7678,7846,22,"5.36%"
"2021-02-12",7861,"2021-03-06",253,262,7681,7868,22,"4.81%"
"2021-02-13",7868,"2021-03-06",253,262,7695,7868,21,"5.2%"
"2021-02-15",7878,"2021-03-07",253,263,7702,7888,20,"5.38%"
"2021-02-16",7884,"2021-03-07",253,263,7713,7888,19,"5.71%"
"2021-02-17",7897,"2021-03-08",253,263,7714,7903,19,"5.29%"
"2021-02-18",7905,"2021-03-09",253,263,7721,7914,19,"5.18%"
"2021-02-20",7903,"2021-03-08",253,263,7733,7903,16,"5.88%"
"2021-02-21",7911,"2021-03-09",253,263,7739,7914,16,"5.71%"
"2021-02-22",7930,"2021-03-10",255,264,7749,7930,16,"4.97%"
"2021-02-23",7932,"2021-03-11",255,264,7759,7974,16,"4.19%"
"2021-02-24",7942,"2021-03-11",255,264,7767,7974,15,"4.35%"
"2021-02-25",7956,"2021-03-11",255,264,7779,7974,14,"4.62%"
"2021-02-26",7979,"2021-03-12",258,266,7786,8001,14,"3.72%"
"2021-02-27",7998,"2021-03-12",258,266,7789,8001,13,"3.77%"
"2021-02-28",8023,"2021-03-13",259,266,7798,8026,13,"3.07%"
"2021-03-01",8041,"2021-03-14",259,266,7805,8057,13,"2.78%"
"2021-03-02",8060,"2021-03-15",261,267,7821,8108,13,"2.09%"
"2021-03-03",8119,"2021-03-16",261,269,7824,8165,13,"2.35%"
"2021-03-04",8152,"2021-03-16",261,269,7831,8165,12,"2.4%"
"2021-03-05",8165,"2021-03-16",262,269,7846,8165,11,"2.19%"
"2021-03-06",8192,"2021-03-17",262,271,7868,8219,11,"2.56%"
"2021-03-07",8261,"2021-03-18",263,273,7888,8315,11,"2.34%"
"2021-03-08",8322,"2021-03-19",263,276,7903,8373,11,"2.77%"
"2021-03-09",8355,"2021-03-19",263,276,7914,8373,10,"2.83%"
"2021-03-10",8419,"2021-03-21",264,286,7930,8457,11,"4.17%"
"2021-03-11",8478,"2021-03-22",264,290,7974,8563,11,"4.41%"
"2021-03-12",8526,"2021-03-22",266,290,8001,8563,10,"4.27%"
"2021-03-13",8586,"2021-03-23",266,292,8026,8608,10,"4.47%"
"2021-03-14",8668,"2021-03-25",266,296,8057,8733,11,"4.44%"
"2021-03-15",8753,"2021-03-26",267,297,8108,8846,11,"4.07%"
"2021-03-16",8781,"2021-03-26",269,297,8165,8846,10,"4.11%"
"2021-03-17",8883,"2021-03-27",271,298,8219,8948,10,"3.7%"
"2021-03-18",8982,"2021-03-28",273,304,8315,9086,10,"4.02%"
"2021-03-19",9139,"2021-03-29",276,307,8373,9196,10,"3.77%"
"2021-03-20",9263,"2021-03-30",279,310,8410,9323,10,"3.4%"
"2021-03-21",9379,"2021-03-31",286,312,8457,9401,10,"2.75%"
"2021-03-22",9470,"2021-04-01",290,314,8563,9522,10,"2.5%"
"2021-03-23",9562,"2021-04-02",292,319,8608,9684,10,"2.51%"
"2021-03-24",9713,"2021-04-03",295,324,8632,9821,10,"2.44%"
"2021-03-25",9922,"2021-04-04",296,331,8733,9935,10,"2.91%"
"2021-03-26",10020,"2021-04-05",297,339,8846,10061,10,"3.46%"
"2021-03-27",10116,"2021-04-06",298,343,8948,10171,10,"3.68%"
"2021-03-28",10165,"2021-04-06",304,343,9086,10171,9,"3.59%"
"2021-03-29",10411,"2021-04-08",307,347,9196,10450,10,"3.19%"
"2021-03-30",10518,"2021-04-09",310,351,9323,10634,10,"3.13%"
"2021-03-31",10634,"2021-04-09",312,351,9401,10634,9,"3.16%"
"2021-04-01",10760,"2021-04-10",314,358,9522,10772,9,"3.52%"
"2021-04-02",10888,"2021-04-13",319,372,9684,11054,11,"3.87%"
"2021-04-03",11021,"2021-04-13",324,372,9821,11054,10,"3.89%"
"2021-04-04",11114,"2021-04-15",331,380,9935,11118,11,"4.14%"
"2021-04-05",11190,"2021-04-16",339,384,10061,11280,11,"3.69%"
"2021-04-06",11280,"2021-04-16",343,384,10171,11280,10,"3.7%"
"2021-04-07",11368,"2021-04-18",346,399,10261,11529,11,"4.18%"
"2021-04-08",11473,"2021-04-18",347,399,10450,11529,10,"4.82%"
"2021-04-09",11588,"2021-04-19",351,404,10634,11665,10,"5.14%"
"2021-04-10",11702,"2021-04-20",358,405,10772,11793,10,"4.6%"
"2021-04-11",11814,"2021-04-21",361,408,10783,11855,10,"4.38%"
"2021-04-12",11921,"2021-04-22",366,417,10862,11976,10,"4.58%"
"2021-04-13",12020,"2021-04-23",372,424,11054,12170,10,"4.66%"
"2021-04-14",12154,"2021-04-23",374,424,11110,12170,9,"4.72%"
"2021-04-15",12348,"2021-04-25",380,437,11118,12512,10,"4.09%"
