"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-30",6893,"2020-12-28",253,258,6775,6902,28,"3.94%"
"2020-12-01",6923,"2020-12-30",254,260,6789,6941,29,"3.95%"
"2020-12-26",6939,"2020-12-30",255,260,6845,6941,4,"5.21%"
"2020-12-27",6963,"2020-12-31",256,261,6866,6967,4,"4.95%"
"2020-12-28",6987,"2021-01-02",258,262,6902,6997,5,"4.21%"
"2020-12-29",6994,"2021-01-02",258,262,6913,6997,4,"4.76%"
"2020-12-30",7010,"2021-01-03",260,264,6941,7024,4,"4.82%"
"2020-12-31",7021,"2021-01-03",261,264,6967,7024,3,"5.26%"
"2021-01-01",7039,"2021-01-05",261,267,6983,7062,4,"7.59%"
"2021-01-02",7061,"2021-01-05",262,267,6997,7062,3,"7.69%"
"2021-01-03",7064,"2021-01-06",264,267,7024,7071,3,"6.38%"
"2021-01-04",7067,"2021-01-06",265,267,7037,7071,2,"5.88%"
"2021-01-05",7089,"2021-01-08",267,268,7062,7100,3,"2.63%"
"2021-01-06",7105,"2021-01-09",267,271,7071,7116,3,"8.89%"
"2021-01-07",7121,"2021-01-11",267,272,7082,7140,4,"8.62%"
"2021-01-08",7134,"2021-01-11",268,272,7100,7140,3,"10.%"
"2021-01-09",7149,"2021-01-13",271,274,7116,7161,4,"6.67%"
"2021-01-10",7169,"2021-01-14",271,274,7120,7182,4,"4.84%"
"2021-01-11",7186,"2021-01-15",272,276,7140,7203,4,"6.35%"
"2021-01-12",7192,"2021-01-15",272,276,7146,7203,3,"7.02%"
"2021-01-13",7200,"2021-01-15",274,276,7161,7203,2,"4.76%"
"2021-01-14",7201,"2021-01-15",274,276,7182,7203,1,"9.52%"
"2021-01-15",7214,"2021-01-16",276,278,7203,7221,1,"11.11%"
"2021-01-16",7225,"2021-01-17",278,278,7221,7235,1,"0.%"
"2021-01-17",7226,"2021-01-17",278,278,7235,7235,0,"-"
"2021-01-19",7244,"2021-01-19",279,279,7258,7258,0,"-"
"2021-01-20",7246,"2021-01-20",279,279,7265,7265,0,"-"
"2021-01-21",7264,"2021-01-21",279,279,7269,7269,0,"-"
"2021-01-22",7274,"2021-01-22",280,280,7276,7276,0,"-"
