"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-07",4764,"2021-02-18",190,192,4670,4768,11,"2.04%"
"2021-02-08",4775,"2021-02-20",190,194,4676,4788,12,"3.57%"
"2021-02-09",4783,"2021-02-20",190,194,4687,4788,11,"3.96%"
"2021-02-10",4785,"2021-02-20",191,194,4690,4788,10,"3.06%"
"2021-02-11",4818,"2021-02-24",192,196,4693,4824,13,"3.05%"
"2021-02-12",4838,"2021-02-25",192,196,4700,4840,13,"2.86%"
"2021-02-13",4856,"2021-02-26",192,197,4708,4859,13,"3.31%"
"2021-02-15",4863,"2021-02-27",192,197,4742,4899,12,"3.18%"
"2021-02-16",4872,"2021-02-27",192,197,4750,4899,11,"3.36%"
"2021-02-17",4891,"2021-02-27",192,197,4760,4899,10,"3.6%"
"2021-02-18",4911,"2021-02-28",192,197,4768,4924,10,"3.21%"
"2021-02-20",4930,"2021-03-01",194,198,4788,5009,9,"1.81%"
"2021-02-21",4952,"2021-03-01",194,198,4795,5009,8,"1.87%"
"2021-02-22",4978,"2021-03-01",194,198,4804,5009,7,"1.95%"
"2021-02-23",4988,"2021-03-01",194,198,4815,5009,6,"2.06%"
"2021-02-24",5047,"2021-03-02",196,198,4824,5053,6,".87%"
"2021-02-25",5084,"2021-03-04",196,200,4840,5109,7,"1.49%"
"2021-02-26",5149,"2021-03-06",197,200,4859,5237,8,".79%"
"2021-02-27",5204,"2021-03-06",197,200,4899,5237,7,".89%"
"2021-02-28",5279,"2021-03-07",197,200,4924,5279,7,".85%"
"2021-03-01",5412,"2021-03-12",198,203,5009,5520,11,".98%"
"2021-03-02",5476,"2021-03-12",198,203,5053,5520,10,"1.07%"
"2021-03-03",5539,"2021-03-13",199,203,5064,5631,10,".71%"
"2021-03-04",5616,"2021-03-13",200,203,5109,5631,9,".57%"
"2021-03-05",5706,"2021-03-14",200,204,5124,5723,9,".67%"
"2021-03-06",5791,"2021-03-15",200,206,5237,5805,9,"1.06%"
"2021-03-07",5908,"2021-03-17",200,208,5279,6017,10,"1.08%"
"2021-03-08",5977,"2021-03-17",200,208,5289,6017,9,"1.1%"
"2021-03-09",6046,"2021-03-18",200,209,5320,6046,9,"1.24%"
"2021-03-10",6055,"2021-03-19",200,211,5330,6129,9,"1.38%"
"2021-03-11",6235,"2021-03-21",200,214,5330,6376,10,"1.34%"
"2021-03-12",6344,"2021-03-21",203,214,5520,6376,9,"1.29%"
"2021-03-13",6413,"2021-03-22",203,217,5631,6482,9,"1.65%"
"2021-03-14",6554,"2021-03-23",204,217,5723,6591,9,"1.5%"
"2021-03-15",6646,"2021-03-24",206,221,5805,6693,9,"1.69%"
"2021-03-16",6691,"2021-03-24",206,221,5880,6693,8,"1.85%"
"2021-03-17",6848,"2021-03-26",208,225,6017,6895,9,"1.94%"
"2021-03-18",6949,"2021-03-27",209,225,6046,7046,9,"1.6%"
"2021-03-19",7100,"2021-03-28",211,229,6129,7201,9,"1.68%"
"2021-03-20",7282,"2021-03-29",213,233,6231,7345,9,"1.8%"
"2021-03-21",7439,"2021-03-30",214,237,6376,7549,9,"1.96%"
"2021-03-22",7578,"2021-03-31",217,241,6482,7701,9,"1.97%"
"2021-03-23",7726,"2021-04-01",217,242,6591,7843,9,"2.%"
"2021-03-24",7896,"2021-04-03",221,247,6693,8142,10,"1.79%"
"2021-03-25",7915,"2021-04-03",221,247,6754,8142,9,"1.87%"
"2021-03-26",8242,"2021-04-04",225,247,6895,8290,9,"1.58%"
"2021-03-27",8259,"2021-04-04",225,247,7046,8290,8,"1.77%"
"2021-03-28",8269,"2021-04-04",229,247,7201,8290,7,"1.65%"
"2021-03-29",8420,"2021-04-05",233,254,7345,8420,7,"1.95%"
"2021-03-30",8525,"2021-04-06",237,259,7549,8564,7,"2.17%"
"2021-03-31",8669,"2021-04-07",241,263,7701,8753,7,"2.09%"
"2021-04-01",8769,"2021-04-08",242,266,7843,8773,7,"2.58%"
"2021-04-02",8791,"2021-04-10",244,270,7845,8871,8,"2.53%"
"2021-04-03",8919,"2021-04-12",247,274,8142,9234,9,"2.47%"
"2021-04-04",9054,"2021-04-12",247,274,8290,9234,8,"2.86%"
"2021-04-05",9196,"2021-04-12",254,274,8420,9234,7,"2.46%"
"2021-04-06",9280,"2021-04-14",259,280,8564,9345,8,"2.69%"
"2021-04-07",9467,"2021-04-15",263,280,8753,9490,8,"2.31%"
"2021-04-08",9644,"2021-04-17",266,285,8773,9795,9,"1.86%"
"2021-04-09",9780,"2021-04-17",269,285,8776,9795,8,"1.57%"
"2021-04-10",9871,"2021-04-19",270,291,8871,9975,9,"1.9%"
"2021-04-11",9911,"2021-04-19",271,291,8872,9975,8,"1.81%"
