"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-25",4909,"2020-12-30",130,138,4669,4912,35,"3.29%"
"2020-11-26",4956,"2021-01-01",131,138,4694,4983,36,"2.42%"
"2020-11-27",4969,"2021-01-01",131,138,4723,4983,35,"2.69%"
"2020-11-28",5017,"2021-01-03",132,141,4752,5032,36,"3.21%"
"2020-11-29",5060,"2021-01-05",133,141,4768,5074,37,"2.61%"
"2020-11-30",5073,"2021-01-05",135,141,4806,5074,36,"2.24%"
"2020-12-01",5097,"2021-01-08",135,143,4827,5100,38,"2.93%"
"2020-12-26",5121,"2021-01-11",136,143,4840,5122,16,"2.48%"
"2020-12-27",5136,"2021-01-14",136,146,4865,5146,18,"3.56%"
"2020-12-28",5140,"2021-01-14",137,146,4887,5146,17,"3.47%"
"2020-12-29",5145,"2021-01-14",138,146,4900,5146,16,"3.25%"
"2020-12-30",5160,"2021-01-17",138,148,4912,5163,18,"3.98%"
"2020-12-31",5173,"2021-01-20",138,148,4950,5174,20,"4.46%"
"2021-01-01",5183,"2021-01-21",138,148,4983,5183,20,"5.%"
"2021-01-02",5190,"2021-01-23",139,148,5006,5193,21,"4.81%"
"2021-01-03",5193,"2021-01-23",141,148,5032,5193,20,"4.35%"
"2021-01-04",5195,"2021-01-24",141,148,5048,5196,20,"4.73%"
"2021-01-05",5201,"2021-01-26",141,148,5074,5203,21,"5.43%"
"2021-01-06",5219,"2021-01-30",142,148,5081,5220,24,"4.32%"
"2021-01-07",5225,"2021-02-02",142,148,5095,5230,26,"4.44%"
"2021-01-08",5232,"2021-02-03",143,148,5100,5232,26,"3.79%"
"2021-01-09",5236,"2021-02-04",143,148,5116,5236,26,"4.17%"
"2021-01-10",5241,"2021-02-08",143,148,5120,5241,29,"4.13%"
"2021-01-11",5245,"2021-02-12",143,148,5122,5245,32,"4.07%"
"2021-01-12",5249,"2021-02-16",144,148,5127,5249,35,"3.28%"
"2021-01-13",5257,"2021-02-20",146,148,5133,5258,38,"1.6%"
"2021-01-14",5263,"2021-02-22",146,148,5146,5264,39,"1.69%"
"2021-01-15",5267,"2021-02-23",146,149,5153,5268,39,"2.61%"
"2021-01-16",5274,"2021-02-25",147,149,5156,5274,40,"1.69%"
"2021-01-17",5283,"2021-02-28",148,149,5163,5284,42,".83%"
"2021-01-19",5287,"2021-03-01",148,150,5172,5290,41,"1.69%"
"2021-01-20",5292,"2021-03-02",148,150,5174,5292,41,"1.69%"
"2021-01-21",5295,"2021-03-03",148,150,5183,5295,41,"1.79%"
"2021-01-22",5284,"2021-02-28",148,149,5189,5284,37,"1.05%"
"2021-01-23",5289,"2021-03-01",148,150,5193,5290,37,"2.06%"
"2021-01-24",5290,"2021-03-01",148,150,5196,5290,36,"2.13%"
"2021-01-25",5295,"2021-03-03",148,150,5200,5295,37,"2.11%"
"2021-01-26",5294,"2021-03-03",148,150,5203,5295,36,"2.17%"
"2021-01-27",5298,"2021-03-04",148,150,5204,5299,36,"2.11%"
"2021-01-28",5300,"2021-03-05",148,150,5209,5302,36,"2.15%"
"2021-01-29",5301,"2021-03-05",148,150,5216,5302,35,"2.33%"
"2021-01-30",5302,"2021-03-05",148,150,5220,5302,34,"2.44%"
"2021-01-31",5303,"2021-03-06",148,150,5221,5304,34,"2.41%"
"2021-02-01",5303,"2021-03-06",148,150,5222,5304,33,"2.44%"
"2021-02-02",5303,"2021-03-06",148,150,5230,5304,32,"2.7%"
"2021-02-03",5304,"2021-03-06",148,150,5232,5304,31,"2.78%"
"2021-02-04",5305,"2021-03-07",148,150,5236,5310,31,"2.7%"
"2021-02-05",5306,"2021-03-07",148,150,5237,5310,30,"2.74%"
"2021-02-06",5308,"2021-03-07",148,150,5238,5310,29,"2.78%"
"2021-02-07",5310,"2021-03-07",148,150,5239,5310,28,"2.82%"
"2021-02-08",5314,"2021-03-09",148,150,5241,5317,29,"2.63%"
"2021-02-09",5316,"2021-03-09",148,150,5241,5317,28,"2.63%"
"2021-02-10",5319,"2021-03-10",148,150,5241,5320,28,"2.53%"
"2021-02-11",5319,"2021-03-10",148,150,5243,5320,27,"2.6%"
"2021-02-12",5319,"2021-03-10",148,150,5245,5320,26,"2.67%"
"2021-02-13",5325,"2021-03-11",148,150,5245,5334,26,"2.25%"
"2021-02-15",5327,"2021-03-11",148,150,5247,5334,24,"2.3%"
"2021-02-16",5329,"2021-03-11",148,150,5249,5334,23,"2.35%"
"2021-02-17",5333,"2021-03-11",148,150,5253,5334,22,"2.47%"
"2021-02-18",5335,"2021-03-12",148,150,5256,5346,22,"2.22%"
"2021-02-20",5346,"2021-03-12",148,150,5258,5346,20,"2.27%"
"2021-02-21",5351,"2021-03-13",148,150,5261,5355,20,"2.13%"
"2021-02-22",5352,"2021-03-13",148,150,5264,5355,19,"2.2%"
"2021-02-23",5355,"2021-03-13",149,150,5268,5355,18,"1.15%"
"2021-02-24",5356,"2021-03-14",149,150,5268,5371,18,".97%"
"2021-02-25",5360,"2021-03-14",149,150,5274,5371,17,"1.03%"
"2021-02-26",5366,"2021-03-14",149,150,5276,5371,16,"1.05%"
"2021-02-27",5371,"2021-03-14",149,150,5278,5371,15,"1.08%"
"2021-02-28",5372,"2021-03-15",149,150,5284,5382,15,"1.02%"
"2021-03-01",5374,"2021-03-15",150,150,5290,5382,14,"0.%"
"2021-03-02",5383,"2021-03-16",150,150,5292,5392,14,"0.%"
"2021-03-03",5393,"2021-03-17",150,150,5295,5397,14,"0.%"
"2021-03-04",5406,"2021-03-18",150,150,5299,5414,14,"0.%"
"2021-03-05",5414,"2021-03-18",150,150,5302,5414,13,"0.%"
"2021-03-06",5430,"2021-03-20",150,150,5304,5432,14,"0.%"
"2021-03-07",5443,"2021-03-22",150,151,5310,5456,15,".68%"
"2021-03-08",5452,"2021-03-22",150,151,5312,5456,14,".69%"
"2021-03-09",5453,"2021-03-22",150,151,5317,5456,13,".72%"
"2021-03-10",5472,"2021-03-23",150,151,5320,5473,13,".65%"
"2021-03-11",5477,"2021-03-24",150,151,5334,5479,13,".69%"
"2021-03-12",5488,"2021-03-25",150,151,5346,5508,13,".62%"
"2021-03-13",5497,"2021-03-25",150,151,5355,5508,12,".65%"
"2021-03-14",5527,"2021-03-26",150,151,5371,5528,12,".64%"
"2021-03-15",5539,"2021-03-27",150,152,5382,5556,12,"1.15%"
"2021-03-16",5544,"2021-03-27",150,152,5392,5556,11,"1.22%"
"2021-03-17",5581,"2021-03-28",150,152,5397,5583,11,"1.08%"
"2021-03-18",5605,"2021-03-29",150,152,5414,5621,11,".97%"
"2021-03-19",5632,"2021-03-30",150,153,5422,5659,11,"1.27%"
"2021-03-20",5657,"2021-03-30",150,153,5432,5659,10,"1.32%"
"2021-03-21",5683,"2021-04-01",151,155,5434,5711,11,"1.44%"
"2021-03-22",5727,"2021-04-02",151,157,5456,5749,11,"2.05%"
"2021-03-23",5744,"2021-04-02",151,157,5473,5749,10,"2.17%"
"2021-03-24",5769,"2021-04-03",151,158,5479,5827,10,"2.01%"
"2021-03-25",5819,"2021-04-03",151,158,5508,5827,9,"2.19%"
"2021-03-26",5814,"2021-04-03",151,158,5528,5827,8,"2.34%"
"2021-03-27",5918,"2021-04-07",152,161,5556,5931,11,"2.4%"
"2021-03-28",5923,"2021-04-07",152,161,5583,5931,10,"2.59%"
