"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-02",672,"2020-05-16",2,12,4,680,14,"1.48%"
"2020-05-03",1006,"2020-05-21",4,20,9,1010,18,"1.6%"
"2020-05-04",768,"2020-05-16",6,14,15,795,12,"1.03%"
"2020-05-05",1087,"2020-05-31",7,25,29,1107,26,"1.67%"
"2020-05-06",1315,"2020-06-09",9,34,33,1364,34,"1.88%"
"2020-05-07",1265,"2020-06-09",8,34,38,1364,33,"1.96%"
"2020-05-08",1034,"2020-05-24",6,20,42,1034,16,"1.41%"
"2020-05-09",575,"2020-05-16",11,9,39,589,7,"-.36%"
"2020-05-10",880,"2020-05-20",8,14,76,891,10,".74%"
"2020-05-11",1392,"2020-06-10",11,38,54,1510,30,"1.85%"
"2020-05-12",951,"2020-05-21",10,20,85,1010,9,"1.08%"
"2020-05-13",956,"2020-05-21",11,20,96,1010,8,".98%"
"2020-05-14",506,"2020-05-16",7,9,65,589,2,".38%"
"2020-05-15",1396,"2020-06-10",10,38,158,1510,26,"2.07%"
"2020-05-16",1857,"2020-06-15",16,55,795,1921,30,"3.46%"
"2020-05-17",1258,"2020-06-09",12,34,705,1364,23,"3.34%"
"2020-05-18",1187,"2020-06-01",14,26,484,1202,14,"1.67%"
"2020-05-19",1692,"2020-06-14",18,50,837,1754,26,"3.49%"
"2020-05-20",1124,"2020-06-01",14,26,891,1170,12,"4.3%"
"2020-05-21",1315,"2020-06-09",21,34,1019,1364,19,"3.77%"
"2020-05-22",1116,"2020-06-01",9,26,589,1170,10,"2.93%"
"2020-05-23",1282,"2020-06-09",16,34,871,1364,17,"3.65%"
"2020-05-24",1472,"2020-06-10",20,38,1034,1510,17,"3.78%"
"2020-05-25",1326,"2020-06-09",15,34,906,1364,15,"4.15%"
"2020-05-26",1153,"2020-06-01",18,26,919,1170,6,"3.19%"
"2020-05-27",1085,"2020-05-31",12,25,680,1107,4,"3.04%"
"2020-05-28",1083,"2020-05-31",14,25,806,1107,3,"3.65%"
"2020-05-29",1345,"2020-06-09",20,34,1010,1364,11,"3.95%"
"2020-05-30",1795,"2020-06-15",24,55,1081,1921,16,"3.69%"
"2020-05-31",1652,"2020-06-14",25,50,1107,1754,14,"3.86%"
"2020-06-01",1683,"2020-06-14",26,50,1241,1754,13,"4.68%"
"2020-06-02",1728,"2020-06-14",28,50,1170,1754,12,"3.77%"
"2020-06-03",1546,"2020-06-10",23,38,1076,1580,7,"2.98%"
"2020-06-04",1832,"2020-06-15",27,55,1178,1921,11,"3.77%"
"2020-06-05",1991,"2020-06-19",26,75,1249,2114,14,"5.66%"
"2020-06-06",1471,"2020-06-10",18,38,761,1510,4,"2.67%"
"2020-06-07",1948,"2020-06-18",30,66,1211,1981,11,"4.68%"
"2020-06-08",2014,"2020-06-19",29,75,1202,2114,11,"5.04%"
"2020-06-09",2264,"2020-06-22",34,85,1364,2325,13,"5.31%"
"2020-06-10",2522,"2020-06-25",38,103,1582,2716,15,"5.73%"
"2020-06-11",2373,"2020-06-22",39,85,1510,2398,11,"5.18%"
"2020-06-12",2527,"2020-06-25",44,103,1580,2716,13,"5.19%"
"2020-06-13",2436,"2020-06-23",43,88,1545,2501,10,"4.71%"
"2020-06-14",2801,"2020-06-27",50,112,1754,3019,13,"4.9%"
"2020-06-15",3147,"2020-06-29",55,117,1941,3287,14,"4.61%"
"2020-06-16",3092,"2020-06-28",56,114,1936,3103,12,"4.97%"
"2020-06-17",3178,"2020-06-29",61,117,1921,3287,12,"4.1%"
"2020-06-18",3131,"2020-06-29",66,117,1981,3287,11,"3.91%"
"2020-06-19",3661,"2020-07-02",75,135,2117,3688,13,"3.82%"
"2020-06-20",3381,"2020-07-02",79,135,2114,3688,12,"3.56%"
"2020-06-21",3840,"2020-07-03",81,141,2185,3898,12,"3.5%"
"2020-06-22",4183,"2020-07-08",85,161,2398,4365,16,"3.86%"
"2020-06-23",4101,"2020-07-08",88,161,2501,4365,15,"3.92%"
"2020-06-24",4142,"2020-07-08",90,161,2325,4365,14,"3.48%"
"2020-06-25",4524,"2020-07-08",103,161,2716,4526,13,"3.2%"
"2020-06-26",3526,"2020-07-02",80,135,2157,3688,6,"3.59%"
"2020-06-27",4808,"2020-07-12",112,183,3019,5136,15,"3.35%"
"2020-06-28",5015,"2020-07-12",114,183,3103,5136,14,"3.39%"
"2020-06-29",5013,"2020-07-12",117,183,3287,5136,13,"3.57%"
"2020-06-30",4882,"2020-07-12",121,183,3290,5136,12,"3.36%"
"2020-07-01",5047,"2020-07-12",125,183,3322,5136,11,"3.2%"
"2020-07-02",5583,"2020-07-15",135,205,3688,5722,13,"3.44%"
"2020-07-03",5876,"2020-07-16",141,209,3898,5917,13,"3.37%"
"2020-07-04",5852,"2020-07-16",146,209,3933,5917,12,"3.18%"
"2020-07-05",5823,"2020-07-16",141,209,3763,5917,11,"3.16%"
"2020-07-06",6135,"2020-07-17",146,223,4087,6232,11,"3.59%"
"2020-07-07",6304,"2020-07-20",153,243,4079,6943,13,"3.14%"
"2020-07-08",6823,"2020-07-20",161,243,4526,6943,12,"3.39%"
"2020-07-09",7127,"2020-07-22",167,243,4683,7206,13,"3.01%"
"2020-07-10",7218,"2020-07-23",166,261,4668,7560,13,"3.28%"
"2020-07-11",6907,"2020-07-20",168,243,4365,6943,9,"2.91%"
"2020-07-12",7808,"2020-07-25",183,275,5136,8275,13,"2.93%"
"2020-07-13",8102,"2020-07-25",188,275,5328,8275,12,"2.95%"
"2020-07-14",8345,"2020-07-26",196,290,5371,8714,12,"2.81%"
"2020-07-15",8786,"2020-07-28",205,320,5722,9729,13,"2.87%"
"2020-07-16",8796,"2020-07-28",209,320,5917,9729,12,"2.91%"
"2020-07-17",9429,"2020-07-28",223,320,6232,9729,11,"2.77%"
"2020-07-18",9478,"2020-07-28",223,320,6040,9729,10,"2.63%"
"2020-07-19",9910,"2020-07-29",234,340,6287,9989,10,"2.86%"
"2020-07-20",10497,"2020-07-31",246,369,6943,10533,11,"3.43%"
"2020-07-21",10400,"2020-07-31",245,369,7034,10533,10,"3.54%"
"2020-07-22",10998,"2020-08-01",243,389,7206,11051,10,"3.8%"
"2020-07-23",11546,"2020-08-03",261,423,7560,11696,11,"3.92%"
"2020-07-24",11961,"2020-08-04",262,442,7781,12257,11,"4.02%"
"2020-07-25",12671,"2020-08-05",275,475,8275,13334,11,"3.95%"
"2020-07-26",13205,"2020-08-05",290,475,8774,13334,10,"4.06%"
"2020-07-27",13228,"2020-08-05",295,475,8714,13334,9,"3.9%"
"2020-07-28",14365,"2020-08-07",320,523,9729,14479,10,"4.27%"
"2020-07-29",14602,"2020-08-08",340,546,9989,15322,10,"3.86%"
"2020-07-30",14895,"2020-08-08",348,546,10049,15322,9,"3.75%"
"2020-07-31",15840,"2020-08-10",369,588,10533,16239,10,"3.84%"
"2020-08-01",17050,"2020-08-11",389,620,11051,17326,10,"3.68%"
"2020-08-02",17601,"2020-08-12",405,659,11246,17787,10,"3.88%"
"2020-08-03",18102,"2020-08-13",423,690,11696,18445,10,"3.96%"
"2020-08-04",18683,"2020-08-14",442,715,12257,18959,10,"4.07%"
"2020-08-05",19843,"2020-08-17",475,846,13334,20942,12,"4.88%"
"2020-08-06",20878,"2020-08-17",501,846,14076,20942,11,"5.02%"
"2020-08-07",21917,"2020-08-18",523,882,14479,22560,11,"4.44%"
"2020-08-08",22915,"2020-08-19",546,904,15322,23523,11,"4.37%"
"2020-08-09",23890,"2020-08-20",570,941,15805,23894,11,"4.59%"
"2020-08-10",24876,"2020-08-22",588,1020,16239,25238,12,"4.8%"
"2020-08-11",25876,"2020-08-23",620,1070,17326,27514,12,"4.42%"
"2020-08-12",26896,"2020-08-23",659,1070,17787,27514,11,"4.23%"
"2020-08-13",27923,"2020-08-24",690,1113,18445,29386,11,"3.87%"
"2020-08-14",29000,"2020-08-24",715,1113,18959,29386,10,"3.82%"
"2020-08-15",30028,"2020-08-25",755,1162,19534,30223,10,"3.81%"
"2020-08-16",30740,"2020-08-26",789,1203,19835,31350,10,"3.6%"
"2020-08-17",32682,"2020-08-28",846,1291,20942,34215,11,"3.35%"
"2020-08-18",34387,"2020-08-29",882,1332,22560,35339,11,"3.52%"
"2020-08-19",36070,"2020-08-30",904,1388,23523,37051,11,"3.58%"
"2020-08-20",37811,"2020-08-31",941,1437,23894,38380,11,"3.42%"
"2020-08-21",39314,"2020-09-01",975,1496,24784,39559,11,"3.53%"
"2020-08-22",40630,"2020-09-02",1020,1602,25238,41260,11,"3.63%"
"2020-08-23",41766,"2020-09-03",1070,1674,27514,42861,11,"3.94%"
"2020-08-24",43271,"2020-09-04",1113,1723,29386,44182,11,"4.12%"
"2020-08-25",44564,"2020-09-05",1162,1792,30223,45557,11,"4.11%"
"2020-08-26",46077,"2020-09-06",1203,1846,31350,47217,11,"4.05%"
"2020-08-27",47823,"2020-09-07",1240,1907,32128,48843,11,"3.99%"
"2020-08-28",49365,"2020-09-08",1291,1974,34215,51217,11,"4.02%"
"2020-08-29",50835,"2020-09-08",1332,1974,35339,51217,10,"4.04%"
"2020-08-30",52513,"2020-09-09",1388,2045,37051,52519,10,"4.25%"
"2020-08-31",53979,"2020-09-11",1437,2196,38380,55420,11,"4.45%"
"2020-09-01",55495,"2020-09-12",1496,2272,39559,57573,11,"4.31%"
"2020-09-02",56976,"2020-09-12",1602,2272,41260,57573,10,"4.11%"
"2020-09-03",58502,"2020-09-13",1674,2340,42861,59792,10,"3.93%"
"2020-09-04",60000,"2020-09-14",1723,2378,44182,60537,10,"4.%"
"2020-09-05",61514,"2020-09-15",1792,2498,45557,63228,10,"4.%"
"2020-09-06",63460,"2020-09-16",1846,2576,47217,66062,10,"3.87%"
"2020-09-07",65570,"2020-09-16",1907,2576,48843,66062,9,"3.89%"
"2020-09-08",67534,"2020-09-17",1974,2630,51217,68364,9,"3.83%"
"2020-09-09",69671,"2020-09-18",2045,2658,52519,70212,9,"3.46%"
"2020-09-10",72130,"2020-09-19",2133,2741,53955,73030,9,"3.19%"
"2020-09-11",74603,"2020-09-20",2196,2797,55420,75311,9,"3.02%"
"2020-09-12",77044,"2020-09-21",2272,2844,57573,78169,9,"2.78%"
"2020-09-13",79666,"2020-09-22",2340,2910,59792,79953,9,"2.83%"
"2020-09-14",81097,"2020-09-23",2378,2974,60537,82134,9,"2.76%"
"2020-09-15",84469,"2020-09-25",2498,3118,63228,87059,10,"2.6%"
"2020-09-16",87171,"2020-09-26",2576,3172,66062,89101,10,"2.59%"
"2020-09-17",90019,"2020-09-27",2630,3222,68364,91450,10,"2.56%"
"2020-09-18",91632,"2020-09-28",2658,3268,70212,93529,10,"2.62%"
"2020-09-19",95516,"2020-09-29",2741,3343,73030,95536,10,"2.67%"
"2020-09-20",97676,"2020-10-01",2797,3435,75311,99288,11,"2.66%"
"2020-09-21",99917,"2020-10-02",2844,3485,78169,101178,11,"2.79%"
"2020-09-22",101328,"2020-10-03",2910,3546,79953,102930,11,"2.77%"
"2020-09-23",103451,"2020-10-04",2974,3587,82134,104480,11,"2.74%"
"2020-09-24",105207,"2020-10-05",3050,3625,84441,106189,11,"2.64%"
"2020-09-25",107083,"2020-10-06",3118,3663,87059,107934,11,"2.61%"
"2020-09-26",108671,"2020-10-07",3172,3696,89101,109197,11,"2.61%"
"2020-09-27",110093,"2020-10-08",3222,3725,91450,110841,11,"2.59%"
"2020-09-28",111362,"2020-10-09",3268,3757,93529,112206,11,"2.62%"
"2020-09-29",112447,"2020-10-10",3343,3782,95536,113465,11,"2.45%"
"2020-09-30",113873,"2020-10-11",3390,3817,96972,114598,11,"2.42%"
"2020-10-01",115138,"2020-10-12",3435,3844,99288,116177,11,"2.42%"
"2020-10-02",116200,"2020-10-13",3485,3878,101178,116899,11,"2.5%"
"2020-10-03",117306,"2020-10-14",3546,3909,102930,117900,11,"2.42%"
"2020-10-04",118144,"2020-10-15",3587,3938,104480,119040,11,"2.41%"
"2020-10-05",119173,"2020-10-16",3625,3964,106189,120045,11,"2.45%"
"2020-10-06",120003,"2020-10-16",3663,3964,107934,120045,10,"2.49%"
"2020-10-07",120855,"2020-10-18",3696,3996,109197,121795,11,"2.38%"
"2020-10-08",121703,"2020-10-18",3725,3996,110841,121795,10,"2.47%"
"2020-10-09",122446,"2020-10-19",3757,4007,112206,122696,10,"2.38%"
