"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-28",1693,"2021-01-02",27,29,1519,1716,35,"1.02%"
"2020-11-29",1705,"2021-01-02",27,29,1520,1716,34,"1.02%"
"2020-11-30",1720,"2021-01-03",27,29,1525,1727,34,".99%"
"2020-12-01",1735,"2021-01-04",27,29,1529,1746,34,".92%"
"2020-12-26",1748,"2021-01-05",28,29,1541,1756,10,".47%"
"2020-12-27",1771,"2021-01-06",28,29,1548,1779,10,".43%"
"2020-12-28",1785,"2021-01-07",29,29,1626,1793,10,"0.%"
"2020-12-29",1794,"2021-01-08",29,29,1636,1803,10,"0.%"
"2020-12-30",1799,"2021-01-08",29,29,1646,1803,9,"0.%"
"2020-12-31",1817,"2021-01-09",29,29,1664,1823,9,"0.%"
"2021-01-01",1832,"2021-01-10",29,29,1690,1843,9,"0.%"
"2021-01-02",1837,"2021-01-10",29,29,1716,1843,8,"0.%"
"2021-01-03",1846,"2021-01-11",29,29,1727,1848,8,"0.%"
"2021-01-04",1850,"2021-01-12",29,29,1746,1863,8,"0.%"
"2021-01-05",1856,"2021-01-12",29,29,1756,1863,7,"0.%"
"2021-01-06",1862,"2021-01-12",29,29,1779,1863,6,"0.%"
"2021-01-07",1871,"2021-01-16",29,29,1793,1873,9,"0.%"
"2021-01-08",1877,"2021-01-17",29,29,1803,1882,9,"0.%"
"2021-01-09",1884,"2021-01-18",29,29,1823,1891,9,"0.%"
"2021-01-10",1885,"2021-01-18",29,29,1843,1891,8,"0.%"
"2021-01-11",1891,"2021-01-18",29,29,1848,1891,7,"0.%"
"2021-01-12",1897,"2021-01-19",29,29,1863,1897,7,"0.%"
"2021-01-13",1901,"2021-01-22",29,29,1864,1912,9,"0.%"
"2021-01-14",1909,"2021-01-22",29,29,1864,1912,8,"0.%"
"2021-01-15",1911,"2021-01-22",29,29,1870,1912,7,"0.%"
"2021-01-16",1924,"2021-01-25",29,29,1873,1945,9,"0.%"
"2021-01-17",1926,"2021-01-25",29,29,1882,1945,8,"0.%"
"2021-01-18",1931,"2021-01-25",29,29,1891,1945,7,"0.%"
"2021-01-19",1941,"2021-01-25",29,29,1897,1945,6,"0.%"
"2021-01-20",1943,"2021-01-25",29,29,1900,1945,5,"0.%"
"2021-01-21",1947,"2021-01-27",29,29,1900,1950,6,"0.%"
"2021-01-22",1953,"2021-01-29",29,29,1912,1960,7,"0.%"
"2021-01-23",1953,"2021-01-29",29,29,1918,1960,6,"0.%"
"2021-01-24",1958,"2021-01-29",29,29,1918,1960,5,"0.%"
"2021-01-25",1962,"2021-01-30",29,29,1945,1966,5,"0.%"
"2021-01-26",1967,"2021-01-31",29,29,1946,1968,5,"0.%"
"2021-01-27",1968,"2021-01-31",29,29,1950,1968,4,"0.%"
"2021-01-28",1969,"2021-02-01",29,29,1951,1973,4,"0.%"
"2021-01-29",1971,"2021-02-01",29,29,1960,1973,3,"0.%"
"2021-01-30",1973,"2021-02-01",29,29,1966,1973,2,"0.%"
"2021-01-31",1974,"2021-02-02",29,29,1968,1987,2,"0.%"
"2021-02-01",1974,"2021-02-02",29,29,1973,1987,1,"0.%"
"2021-02-02",1975,"2021-02-02",29,29,1987,1987,0,"-"
"2021-02-03",1975,"2021-02-03",29,29,1990,1990,0,"-"
"2021-02-04",1975,"2021-02-04",29,29,1997,1997,0,"-"
"2021-02-05",1976,"2021-02-05",29,29,1997,1997,0,"-"
"2021-02-06",1976,"2021-02-06",29,29,1998,1998,0,"-"
"2021-02-07",1978,"2021-02-07",29,29,1998,1998,0,"-"
"2021-02-08",1980,"2021-02-08",29,29,1999,1999,0,"-"
"2021-02-09",1985,"2021-02-09",29,29,2001,2001,0,"-"
"2021-02-10",1985,"2021-02-10",29,29,2004,2004,0,"-"
"2021-02-11",1992,"2021-02-11",29,29,2004,2004,0,"-"
