"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",2292,"2021-03-30",31,31,2270,2292,10,"0.%"
"2021-03-21",2298,"2021-04-01",31,31,2270,2301,11,"0.%"
"2021-03-22",2307,"2021-04-04",31,31,2271,2312,13,"0.%"
"2021-03-23",2323,"2021-04-06",31,31,2272,2337,14,"0.%"
"2021-03-24",2328,"2021-04-06",31,31,2276,2337,13,"0.%"
"2021-03-25",2346,"2021-04-08",31,31,2277,2360,14,"0.%"
"2021-03-26",2359,"2021-04-08",31,31,2278,2360,13,"0.%"
"2021-03-27",2367,"2021-04-09",31,31,2279,2391,13,"0.%"
"2021-03-28",2379,"2021-04-09",31,31,2286,2391,12,"0.%"
"2021-03-29",2388,"2021-04-09",31,31,2290,2391,11,"0.%"
"2021-03-30",2408,"2021-04-11",31,31,2292,2411,12,"0.%"
"2021-03-31",2418,"2021-04-12",31,31,2296,2420,12,"0.%"
"2021-04-01",2438,"2021-04-13",31,31,2301,2440,12,"0.%"
"2021-04-02",2462,"2021-04-15",31,33,2301,2472,13,"1.17%"
"2021-04-03",2483,"2021-04-16",31,33,2306,2496,13,"1.05%"
"2021-04-04",2503,"2021-04-17",31,33,2312,2516,13,".98%"
"2021-04-05",2520,"2021-04-18",31,33,2321,2537,13,".93%"
"2021-04-06",2568,"2021-04-20",31,33,2337,2602,14,".75%"
"2021-04-07",2636,"2021-04-21",31,34,2342,2671,14,".91%"
"2021-04-08",2671,"2021-04-21",31,34,2360,2671,13,".96%"
"2021-04-09",2778,"2021-04-23",31,37,2391,2849,14,"1.31%"
"2021-04-10",2872,"2021-04-24",31,37,2399,2943,14,"1.1%"
"2021-04-11",2920,"2021-04-24",31,37,2411,2943,13,"1.13%"
"2021-04-12",3040,"2021-04-26",31,39,2420,3113,14,"1.15%"
"2021-04-13",3150,"2021-04-27",31,39,2440,3223,14,"1.02%"
"2021-04-14",3239,"2021-04-28",32,39,2451,3312,14,".81%"
"2021-04-15",3355,"2021-04-29",33,39,2472,3428,14,".63%"
"2021-04-16",3507,"2021-04-30",33,40,2496,3581,14,".65%"
"2021-04-17",3653,"2021-05-01",33,41,2516,3728,14,".66%"
"2021-04-18",3765,"2021-05-02",33,41,2537,3840,14,".61%"
"2021-04-19",3952,"2021-05-03",33,42,2554,4028,14,".61%"
"2021-04-20",4207,"2021-05-04",33,42,2602,4283,14,".54%"
"2021-04-21",4472,"2021-05-05",34,42,2671,4548,14,".43%"
"2021-04-22",5029,"2021-05-07",36,43,2776,5259,15,".28%"
"2021-04-23",5163,"2021-05-07",37,43,2849,5259,14,".25%"
"2021-04-24",5258,"2021-05-07",37,43,2943,5259,13,".26%"
"2021-04-25",5447,"2021-05-08",38,43,2992,5942,13,".17%"
"2021-04-26",5648,"2021-05-08",39,43,3113,5942,12,".14%"
"2021-04-27",5919,"2021-05-08",39,43,3223,5942,11,".15%"
"2021-04-28",6130,"2021-05-09",39,43,3312,6299,11,".13%"
"2021-04-29",6487,"2021-05-11",39,44,3428,6777,12,".15%"
"2021-04-30",6697,"2021-05-11",40,44,3581,6777,11,".13%"
"2021-05-01",7085,"2021-05-13",41,45,3728,7220,12,".11%"
"2021-05-02",7406,"2021-05-14",41,45,3840,7847,12,".1%"
"2021-05-03",7637,"2021-05-14",42,45,4028,7847,11,".08%"
"2021-05-04",8421,"2021-05-16",42,46,4283,8547,12,".09%"
"2021-05-05",8745,"2021-05-17",42,46,4548,8824,12,".09%"
"2021-05-06",9023,"2021-05-18",43,46,4841,9048,12,".07%"
"2021-05-07",9244,"2021-05-19",43,48,5259,9288,12,".12%"
"2021-05-08",9482,"2021-05-20",43,48,5942,9576,12,".14%"
"2021-05-09",9772,"2021-05-22",43,48,6299,9855,13,".14%"
"2021-05-10",9928,"2021-05-23",43,48,6467,10066,13,".14%"
"2021-05-11",10051,"2021-05-23",44,48,6777,10066,12,".12%"
"2021-05-12",10262,"2021-05-25",44,49,7034,10396,13,".15%"
"2021-05-13",10402,"2021-05-26",45,50,7220,10553,13,".15%"
"2021-05-14",10592,"2021-05-27",45,52,7847,10688,13,".25%"
"2021-05-15",10748,"2021-05-28",45,53,8222,10888,13,".3%"
"2021-05-16",10882,"2021-05-28",46,53,8547,10888,12,".3%"
"2021-05-17",11083,"2021-05-31",46,54,8824,11148,14,".34%"
"2021-05-18",11158,"2021-06-01",46,54,9048,11242,14,".36%"
"2021-05-19",11276,"2021-06-02",48,54,9288,11282,14,".3%"
"2021-05-20",11343,"2021-06-03",48,54,9576,11358,14,".34%"
"2021-05-21",11438,"2021-06-05",48,55,9732,11452,15,".41%"
"2021-05-22",11478,"2021-06-06",48,55,9855,11497,15,".43%"
"2021-05-23",11554,"2021-06-08",48,56,10066,11582,16,".53%"
"2021-05-24",11602,"2021-06-10",49,56,10207,11619,17,".5%"
"2021-05-25",11648,"2021-06-14",49,57,10396,11652,20,".64%"
