"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-04",3,"2020-06-18",,2,,105,45,"-"
"2020-05-09",4,"2020-06-18",,2,,105,40,"-"
"2020-05-11",7,"2020-06-18",,2,,105,38,"-"
"2020-05-13",8,"2020-06-18",,2,,105,36,"-"
"2020-05-14",16,"2020-06-18",,2,,105,35,"-"
"2020-05-15",17,"2020-06-18",,2,,105,34,"-"
"2020-05-16",18,"2020-06-18",,2,,105,33,"-"
"2020-05-17",22,"2020-06-18",,2,,105,32,"-"
"2020-05-18",33,"2020-06-18",,2,,105,31,"-"
"2020-05-19",50,"2020-06-18",,2,,105,30,"-"
"2020-05-21",56,"2020-06-18",,2,,105,28,"-"
"2020-05-22",70,"2020-06-18",,2,,105,27,"-"
"2020-05-23",76,"2020-06-18",,2,,105,26,"-"
"2020-05-24",82,"2020-06-18",,2,,105,25,"-"
"2020-05-25",87,"2020-06-18",,2,,105,24,"-"
"2020-05-26",91,"2020-06-18",,2,,105,23,"-"
"2020-05-27",92,"2020-06-18",,2,,105,22,"-"
"2020-05-28",92,"2020-06-18",,2,,105,21,"-"
"2020-05-29",92,"2020-06-18",,2,,105,20,"-"
"2020-05-30",99,"2020-06-18",,2,,105,19,"-"
"2020-05-31",99,"2020-06-18",,2,,105,18,"-"
"2020-06-01",99,"2020-06-18",,2,,105,17,"-"
"2020-06-02",102,"2020-06-18",,2,,105,16,"-"
"2020-06-03",102,"2020-06-18",,2,,105,15,"-"
"2020-06-04",105,"2020-06-18",,2,,105,14,"-"
"2020-06-05",105,"2020-06-18",,2,,105,13,"-"
"2020-06-06",106,"2020-06-19",,2,,111,13,"-"
"2020-06-07",106,"2020-06-19",,2,,111,12,"-"
"2020-06-09",111,"2020-06-19",,2,,111,10,"-"
"2020-06-10",112,"2020-06-22",,2,,123,12,"-"
"2020-06-11",116,"2020-06-22",,2,,123,11,"-"
"2020-06-12",117,"2020-06-22",,2,,123,10,"-"
"2020-06-13",122,"2020-06-22",,2,,123,9,"-"
"2020-06-14",133,"2020-06-24",,2,,134,10,"-"
"2020-06-15",143,"2020-06-26",,2,,146,11,"-"
"2020-06-16",144,"2020-06-26",,2,,146,10,"-"
"2020-06-17",156,"2020-06-27",,2,,163,10,"-"
"2020-06-18",163,"2020-06-27",2,2,105,163,9,"0.%"
"2020-06-19",175,"2020-07-01",2,3,111,186,12,"1.33%"
"2020-06-20",183,"2020-07-01",2,3,111,186,11,"1.33%"
"2020-06-21",192,"2020-07-02",2,4,111,194,11,"2.41%"
"2020-06-22",192,"2020-07-02",2,4,123,194,10,"2.82%"
"2020-06-23",213,"2020-07-04",2,4,125,224,11,"2.02%"
"2020-06-24",225,"2020-07-05",2,4,134,272,11,"1.45%"
"2020-06-25",240,"2020-07-05",2,4,140,272,10,"1.52%"
"2020-06-26",267,"2020-07-05",2,4,146,272,9,"1.59%"
"2020-06-27",277,"2020-07-06",2,4,163,311,9,"1.35%"
"2020-06-28",288,"2020-07-06",2,4,163,311,8,"1.35%"
"2020-06-29",342,"2020-07-08",2,4,166,353,9,"1.07%"
"2020-06-30",353,"2020-07-08",2,4,173,353,8,"1.11%"
"2020-07-01",358,"2020-07-09",3,4,186,363,8,".56%"
"2020-07-02",390,"2020-07-11",4,4,194,417,9,"0.%"
"2020-07-03",392,"2020-07-11",4,4,208,417,8,"0.%"
"2020-07-04",435,"2020-07-13",4,5,224,445,9,".45%"
"2020-07-05",442,"2020-07-13",4,5,272,445,8,".58%"
"2020-07-06",467,"2020-07-16",4,5,311,488,10,".56%"
"2020-07-07",514,"2020-07-18",4,8,331,532,11,"1.99%"
"2020-07-08",541,"2020-07-21",4,8,353,562,13,"1.91%"
"2020-07-09",594,"2020-07-23",4,8,363,607,14,"1.64%"
"2020-07-10",643,"2020-07-25",4,10,389,665,15,"2.17%"
"2020-07-11",673,"2020-07-26",4,10,417,676,15,"2.32%"
"2020-07-12",697,"2020-07-27",4,10,434,717,15,"2.12%"
"2020-07-13",713,"2020-07-27",5,10,445,717,14,"1.84%"
"2020-07-14",742,"2020-07-28",5,10,459,769,14,"1.61%"
"2020-07-15",766,"2020-07-28",5,10,462,769,13,"1.63%"
"2020-07-16",800,"2020-07-30",5,11,488,820,14,"1.81%"
"2020-07-17",825,"2020-07-31",5,12,500,831,14,"2.11%"
"2020-07-18",856,"2020-08-06",8,12,532,1253,19,".55%"
"2020-07-19",927,"2020-08-06",8,12,538,1253,18,".56%"
"2020-07-20",995,"2020-08-06",8,12,538,1253,17,".56%"
