"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-03",4467,"2020-10-10",80,84,4279,4490,7,"1.9%"
"2020-10-04",4509,"2020-10-11",81,84,4299,4568,7,"1.12%"
"2020-10-05",4551,"2020-10-11",81,84,4341,4568,6,"1.32%"
"2020-10-06",4587,"2020-10-12",82,84,4363,4588,6,".89%"
"2020-10-07",4618,"2020-10-14",83,85,4416,4703,7,".7%"
"2020-10-08",4637,"2020-10-14",83,85,4437,4703,6,".75%"
"2020-10-09",4662,"2020-10-14",83,85,4457,4703,5,".81%"
"2020-10-10",4690,"2020-10-14",84,85,4490,4703,4,".47%"
"2020-10-11",4736,"2020-10-16",84,87,4568,4800,5,"1.29%"
"2020-10-12",4795,"2020-10-16",84,87,4588,4800,4,"1.42%"
"2020-10-13",4853,"2020-10-18",84,87,4608,4862,5,"1.18%"
"2020-10-14",4913,"2020-10-19",85,88,4703,4944,5,"1.24%"
"2020-10-15",4948,"2020-10-20",86,89,4730,5023,5,"1.02%"
"2020-10-16",5014,"2020-10-20",87,89,4800,5023,4,".9%"
"2020-10-17",5062,"2020-10-21",87,89,4841,5172,4,".6%"
"2020-10-18",5172,"2020-10-21",87,89,4862,5172,3,".65%"
"2020-10-19",5309,"2020-10-24",88,91,4944,5345,5,".75%"
"2020-10-20",5379,"2020-10-26",89,91,5023,5419,6,".51%"
"2020-10-21",5403,"2020-10-26",89,91,5172,5419,5,".81%"
"2020-10-22",5445,"2020-10-27",90,91,5274,5515,5,".41%"
"2020-10-23",5516,"2020-10-28",91,92,5289,5536,5,".4%"
"2020-10-24",5547,"2020-10-29",91,92,5345,5589,5,".41%"
"2020-10-25",5598,"2020-10-30",91,93,5351,5681,5,".61%"
"2020-10-26",5655,"2020-10-30",91,93,5419,5681,4,".76%"
"2020-10-27",5689,"2020-10-31",91,93,5515,5697,4,"1.1%"
"2020-10-28",5716,"2020-11-01",92,94,5536,5729,4,"1.04%"
"2020-10-29",5767,"2020-11-03",92,94,5589,5810,5,".9%"
"2020-10-30",5845,"2020-11-05",93,94,5681,5869,6,".53%"
"2020-10-31",5870,"2020-11-06",93,94,5697,5901,6,".49%"
"2020-11-01",5953,"2020-11-08",94,95,5729,5969,7,".42%"
"2020-11-02",6007,"2020-11-10",94,96,5732,6014,8,".71%"
"2020-11-03",6037,"2020-11-11",94,96,5810,6071,8,".77%"
"2020-11-04",6082,"2020-11-12",94,96,5838,6180,8,".58%"
"2020-11-05",6125,"2020-11-12",94,96,5869,6180,7,".64%"
"2020-11-06",6186,"2020-11-13",94,96,5901,6236,7,".6%"
"2020-11-07",6225,"2020-11-13",94,96,5923,6236,6,".64%"
"2020-11-08",6290,"2020-11-15",95,96,5969,6371,7,".25%"
"2020-11-09",6317,"2020-11-15",95,96,5988,6371,6,".26%"
"2020-11-10",6361,"2020-11-15",96,96,6014,6371,5,"0.%"
"2020-11-11",6404,"2020-11-16",96,96,6071,6461,5,"0.%"
"2020-11-12",6445,"2020-11-16",96,96,6180,6461,4,"0.%"
"2020-11-13",6499,"2020-11-17",96,96,6236,6514,4,"0.%"
"2020-11-14",6550,"2020-11-18",96,96,6240,6589,4,"0.%"
"2020-11-15",6629,"2020-11-19",96,97,6371,6681,4,".32%"
"2020-11-16",6708,"2020-11-20",96,98,6461,6712,4,".8%"
"2020-11-17",6795,"2020-11-23",96,100,6514,6884,6,"1.08%"
"2020-11-18",6851,"2020-11-23",96,100,6589,6884,5,"1.36%"
"2020-11-19",6896,"2020-11-24",97,101,6681,6899,5,"1.83%"
"2020-11-20",6941,"2020-11-25",98,101,6712,6978,5,"1.13%"
"2020-11-21",6997,"2020-11-26",99,102,6792,7058,5,"1.13%"
"2020-11-22",7084,"2020-11-27",99,102,6793,7145,5,".85%"
"2020-11-23",7174,"2020-11-28",100,102,6884,7201,5,".63%"
"2020-11-24",7264,"2020-11-30",101,104,6899,7293,6,".76%"
"2020-11-25",7363,"2020-12-27",101,105,6978,7393,32,".96%"
"2020-11-26",7423,"2020-12-28",102,105,7058,7443,32,".78%"
"2020-11-27",7512,"2020-12-31",102,106,7145,7512,34,"1.09%"
"2020-11-28",7600,"2021-01-09",102,106,7201,7604,42,".99%"
"2020-11-29",7699,"2021-02-15",103,106,7247,7700,78,".66%"
