"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-21",189,"2020-07-06",6,16,88,203,15,"8.7%"
"2020-06-22",198,"2020-07-06",6,16,89,203,14,"8.77%"
"2020-06-23",200,"2020-07-06",6,16,91,203,13,"8.93%"
"2020-06-24",206,"2020-07-08",9,17,102,224,14,"6.56%"
"2020-06-25",229,"2020-07-09",12,17,105,229,14,"4.03%"
"2020-06-26",242,"2020-07-10",12,20,107,269,14,"4.94%"
"2020-06-27",245,"2020-07-10",12,20,120,269,13,"5.37%"
"2020-06-28",289,"2020-07-13",12,20,125,344,15,"3.65%"
"2020-06-29",327,"2020-07-13",12,20,127,344,14,"3.69%"
"2020-06-30",334,"2020-07-13",12,20,130,344,13,"3.74%"
"2020-07-01",347,"2020-07-14",12,20,134,367,13,"3.43%"
"2020-07-02",361,"2020-07-14",14,20,152,367,12,"2.79%"
"2020-07-03",389,"2020-07-15",15,20,158,389,12,"2.16%"
"2020-07-04",435,"2020-07-17",15,20,158,468,13,"1.61%"
"2020-07-05",492,"2020-07-19",16,20,159,558,14,"1.%"
"2020-07-06",518,"2020-07-19",16,20,203,558,13,"1.13%"
"2020-07-07",547,"2020-07-19",16,20,203,558,12,"1.13%"
"2020-07-08",679,"2020-07-22",17,26,224,779,14,"1.62%"
"2020-07-09",722,"2020-07-22",17,26,229,779,13,"1.64%"
"2020-07-10",757,"2020-07-22",20,26,269,779,12,"1.18%"
"2020-07-11",862,"2020-07-24",20,29,279,902,13,"1.44%"
"2020-07-12",893,"2020-07-24",20,29,279,902,12,"1.44%"
"2020-07-13",955,"2020-07-25",20,29,344,992,12,"1.39%"
"2020-07-14",1061,"2020-07-27",20,33,367,1120,13,"1.73%"
"2020-07-15",1066,"2020-07-27",20,33,389,1120,12,"1.78%"
"2020-07-16",1160,"2020-07-29",20,35,398,1328,13,"1.61%"
"2020-07-17",1268,"2020-07-29",20,35,468,1328,12,"1.74%"
"2020-07-18",1335,"2020-07-30",20,37,478,1377,12,"1.89%"
"2020-07-19",1407,"2020-07-31",20,41,558,1429,12,"2.41%"
"2020-07-20",1433,"2020-08-01",23,41,644,1507,12,"2.09%"
"2020-07-21",1507,"2020-08-01",23,41,670,1507,11,"2.15%"
"2020-07-22",1566,"2020-08-04",26,41,779,1604,13,"1.82%"
"2020-07-23",1607,"2020-08-05",29,41,845,1651,13,"1.49%"
"2020-07-24",1669,"2020-08-06",29,46,902,1684,13,"2.17%"
"2020-07-25",1696,"2020-08-07",29,46,992,1701,13,"2.4%"
"2020-07-26",1778,"2020-08-09",29,47,1038,1843,14,"2.24%"
"2020-07-27",1789,"2020-08-09",33,47,1120,1843,13,"1.94%"
"2020-07-28",1869,"2020-08-10",33,47,1146,1922,13,"1.8%"
"2020-07-29",1869,"2020-08-10",35,47,1328,1922,12,"2.02%"
"2020-07-30",1941,"2020-08-11",37,47,1377,1975,12,"1.67%"
"2020-07-31",1983,"2020-08-12",41,47,1429,2084,12,".92%"
"2020-08-01",2031,"2020-08-12",41,47,1507,2084,11,"1.04%"
"2020-08-02",2108,"2020-08-13",41,48,1519,2142,11,"1.12%"
"2020-08-03",2146,"2020-08-14",41,50,1558,2266,11,"1.27%"
"2020-08-04",2226,"2020-08-14",41,50,1604,2266,10,"1.36%"
"2020-08-05",2280,"2020-08-15",41,53,1651,2331,10,"1.76%"
"2020-08-06",2351,"2020-08-16",46,56,1684,2504,10,"1.22%"
"2020-08-07",2437,"2020-08-16",46,56,1701,2504,9,"1.25%"
"2020-08-08",2528,"2020-08-17",47,59,1765,2555,9,"1.52%"
