"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",10,"2020-08-06",,1,,85,48,"-"
"2020-06-23",10,"2020-08-06",,1,,85,44,"-"
"2020-06-24",12,"2020-08-06",,1,,85,43,"-"
"2020-06-25",13,"2020-08-06",,1,,85,42,"-"
"2020-06-26",14,"2020-08-06",,1,,85,41,"-"
"2020-07-01",14,"2020-08-06",,1,,85,36,"-"
"2020-07-02",15,"2020-08-06",,1,,85,35,"-"
"2020-07-07",16,"2020-08-06",,1,,85,30,"-"
"2020-07-10",18,"2020-08-06",,1,,85,27,"-"
"2020-07-12",22,"2020-08-06",,1,,85,25,"-"
"2020-07-14",30,"2020-08-06",,1,,85,23,"-"
"2020-07-15",30,"2020-08-06",,1,,85,22,"-"
"2020-07-16",35,"2020-08-06",,1,,85,21,"-"
"2020-07-18",36,"2020-08-06",,1,,85,19,"-"
"2020-07-20",37,"2020-08-06",,1,,85,17,"-"
"2020-07-21",38,"2020-08-06",,1,,85,16,"-"
"2020-07-22",40,"2020-08-06",,1,,85,15,"-"
"2020-07-23",49,"2020-08-06",,1,,85,14,"-"
"2020-07-24",50,"2020-08-06",,1,,85,13,"-"
"2020-07-25",62,"2020-08-06",,1,,85,12,"-"
"2020-07-26",91,"2020-08-07",,1,,96,12,"-"
"2020-07-27",110,"2020-08-10",,1,,110,14,"-"
"2020-07-28",119,"2020-08-15",,1,,119,18,"-"
"2020-07-29",122,"2020-08-18",,1,,132,20,"-"
"2020-07-30",129,"2020-08-18",,1,,132,19,"-"
"2020-07-31",136,"2020-08-23",,1,,309,23,"-"
"2020-08-01",151,"2020-08-23",,1,,309,22,"-"
"2020-08-03",221,"2020-08-23",,1,,309,20,"-"
"2020-08-04",229,"2020-08-23",,1,,309,19,"-"
"2020-08-05",237,"2020-08-23",,1,,309,18,"-"
"2020-08-06",250,"2020-08-23",1,1,85,309,17,"0.%"
"2020-08-07",252,"2020-08-23",1,1,96,309,16,"0.%"
"2020-08-08",255,"2020-08-23",1,1,96,309,15,"0.%"
"2020-08-09",270,"2020-08-23",1,1,96,309,14,"0.%"
"2020-08-10",270,"2020-08-23",1,1,110,309,13,"0.%"
"2020-08-12",348,"2020-09-01",1,4,111,350,20,"1.26%"
"2020-08-14",370,"2020-09-07",1,4,117,427,24,".97%"
"2020-08-15",370,"2020-09-07",1,4,119,427,23,".97%"
"2020-08-16",388,"2020-09-07",1,4,119,427,22,".97%"
"2020-08-17",401,"2020-09-07",1,4,121,427,21,".98%"
"2020-08-18",401,"2020-09-07",1,4,132,427,20,"1.02%"
"2020-08-20",439,"2020-09-09",1,4,134,474,20,".88%"
"2020-08-21",454,"2020-09-09",1,4,134,474,19,".88%"
"2020-08-23",456,"2020-09-09",1,4,309,474,17,"1.82%"
"2020-08-24",465,"2020-09-09",1,4,329,474,16,"2.07%"
"2020-08-25",469,"2020-09-09",3,4,331,474,15,".7%"
"2020-08-26",478,"2020-09-10",4,4,332,503,15,"0.%"
"2020-08-27",501,"2020-09-10",4,4,334,503,14,"0.%"
"2020-08-28",528,"2020-09-11",4,4,334,534,14,"0.%"
"2020-08-30",532,"2020-09-11",4,4,338,534,12,"0.%"
"2020-08-31",537,"2020-09-12",4,5,338,553,12,".47%"
"2020-09-01",578,"2020-09-14",4,5,350,605,13,".39%"
"2020-09-02",605,"2020-09-14",4,5,350,605,12,".39%"
"2020-09-03",644,"2020-09-15",4,5,351,693,12,".29%"
"2020-09-04",671,"2020-09-15",4,5,355,693,11,".3%"
