"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-11",3150,"2020-10-19",26,27,3056,3151,8,"1.05%"
"2020-10-12",3174,"2020-10-20",26,27,3064,3175,8,".9%"
"2020-10-13",3180,"2020-10-21",26,28,3076,3184,8,"1.85%"
"2020-10-14",3182,"2020-10-21",26,28,3099,3184,7,"2.35%"
"2020-10-15",3200,"2020-10-24",26,28,3104,3200,9,"2.08%"
"2020-10-16",3211,"2020-10-27",26,29,3109,3218,11,"2.75%"
"2020-10-17",3224,"2020-10-30",26,29,3113,3226,13,"2.65%"
"2020-10-18",3234,"2020-11-01",26,29,3122,3236,14,"2.63%"
"2020-10-19",3238,"2020-11-02",27,29,3151,3242,14,"2.2%"
"2020-10-20",3243,"2020-11-03",27,29,3175,3243,14,"2.94%"
"2020-10-21",3259,"2020-11-06",28,29,3184,3261,16,"1.3%"
"2020-10-22",3266,"2020-11-07",28,29,3189,3268,16,"1.27%"
"2020-10-23",3273,"2020-11-09",28,29,3196,3277,17,"1.23%"
"2020-10-24",3287,"2020-11-14",28,29,3200,3288,21,"1.14%"
"2020-10-25",3287,"2020-11-14",29,29,3203,3288,20,"0.%"
"2020-10-26",3293,"2020-11-16",29,29,3207,3294,21,"0.%"
"2020-10-27",3297,"2020-11-17",29,29,3218,3298,21,"0.%"
"2020-10-28",3303,"2020-11-18",29,29,3222,3326,21,"0.%"
"2020-10-29",3307,"2020-11-18",29,29,3223,3326,20,"0.%"
"2020-10-30",3311,"2020-11-18",29,29,3226,3326,19,"0.%"
"2020-10-31",3316,"2020-11-18",29,29,3227,3326,18,"0.%"
"2020-11-01",3320,"2020-11-18",29,29,3236,3326,17,"0.%"
"2020-11-02",3323,"2020-11-18",29,29,3242,3326,16,"0.%"
"2020-11-03",3328,"2020-11-20",29,29,3243,3328,17,"0.%"
"2020-11-04",3328,"2020-11-20",29,29,3247,3328,16,"0.%"
"2020-11-05",3348,"2020-11-25",29,29,3257,3349,20,"0.%"
"2020-11-06",3353,"2020-11-26",29,29,3261,3357,20,"0.%"
"2020-11-07",3357,"2020-11-26",29,29,3268,3357,19,"0.%"
"2020-11-08",3361,"2020-11-27",29,29,3271,3363,19,"0.%"
"2020-11-09",3366,"2020-11-28",29,29,3277,3373,19,"0.%"
"2020-11-10",3367,"2020-11-28",29,29,3280,3373,18,"0.%"
"2020-11-11",3372,"2020-11-28",29,29,3282,3373,17,"0.%"
"2020-11-12",3376,"2020-11-29",29,29,3283,3380,17,"0.%"
"2020-11-13",3380,"2020-11-29",29,29,3286,3380,16,"0.%"
"2020-11-14",3385,"2020-12-01",29,29,3288,3393,17,"0.%"
"2020-11-15",3387,"2020-12-01",29,29,3292,3393,16,"0.%"
"2020-11-16",3395,"2020-12-26",29,29,3294,3403,40,"0.%"
"2020-11-17",3401,"2020-12-26",29,29,3298,3403,39,"0.%"
"2020-11-18",3411,"2020-12-28",29,29,3326,3412,40,"0.%"
"2020-11-19",3418,"2020-12-29",29,29,3327,3424,40,"0.%"
"2020-11-20",3419,"2020-12-29",29,29,3328,3424,39,"0.%"
"2020-11-21",3431,"2020-12-31",29,29,3329,3437,40,"0.%"
"2020-11-22",3431,"2020-12-31",29,29,3330,3437,39,"0.%"
"2020-11-23",3433,"2020-12-31",29,29,3331,3437,38,"0.%"
"2020-11-24",3438,"2021-01-03",29,29,3347,3442,40,"0.%"
"2020-11-25",3438,"2021-01-03",29,29,3349,3442,39,"0.%"
"2020-11-26",3457,"2021-01-04",29,29,3357,3462,39,"0.%"
"2020-11-27",3461,"2021-01-04",29,29,3363,3462,38,"0.%"
"2020-11-28",3467,"2021-01-05",29,29,3373,3477,38,"0.%"
"2020-11-29",3483,"2021-01-07",29,29,3380,3486,39,"0.%"
"2020-11-30",3487,"2021-01-08",29,29,3381,3496,39,"0.%"
"2020-12-01",3494,"2021-01-08",29,29,3393,3496,38,"0.%"
"2020-12-26",3494,"2021-01-08",29,29,3403,3496,13,"0.%"
"2020-12-27",3498,"2021-01-09",29,29,3408,3500,13,"0.%"
"2020-12-28",3498,"2021-01-09",29,29,3412,3500,12,"0.%"
"2020-12-29",3507,"2021-01-12",29,29,3424,3507,14,"0.%"
"2020-12-30",3509,"2021-01-15",29,29,3429,3513,16,"0.%"
"2020-12-31",3513,"2021-01-15",29,29,3437,3513,15,"0.%"
"2021-01-01",3516,"2021-01-19",29,29,3437,3520,18,"0.%"
"2021-01-02",3519,"2021-01-19",29,29,3437,3520,17,"0.%"
"2021-01-03",3519,"2021-01-19",29,29,3442,3520,16,"0.%"
"2021-01-04",3519,"2021-01-19",29,29,3462,3520,15,"0.%"
"2021-01-05",3522,"2021-01-21",29,29,3477,3526,16,"0.%"
"2021-01-06",3527,"2021-01-22",29,29,3481,3527,16,"0.%"
"2021-01-07",3531,"2021-01-29",29,29,3486,3531,22,"0.%"
"2021-01-08",3531,"2021-01-29",29,29,3496,3531,21,"0.%"
"2021-01-09",3533,"2021-02-04",29,29,3500,3533,26,"0.%"
"2021-01-10",3535,"2021-02-10",29,29,3504,3535,31,"0.%"
"2021-01-11",3535,"2021-02-10",29,29,3506,3535,30,"0.%"
"2021-01-12",3538,"2021-02-22",29,29,3507,3538,41,"0.%"
"2021-01-13",3538,"2021-02-22",29,29,3508,3538,40,"0.%"
"2021-01-14",3538,"2021-02-22",29,29,3508,3538,39,"0.%"
"2021-01-15",3538,"2021-02-22",29,29,3513,3538,38,"0.%"
"2021-01-17",3539,"2021-02-28",29,29,3513,3539,42,"0.%"
"2021-01-18",3539,"2021-02-28",29,29,3514,3539,41,"0.%"
"2021-01-19",3540,"2021-03-01",29,29,3520,3540,41,"0.%"
"2021-01-20",3540,"2021-03-01",29,29,3521,3540,40,"0.%"
"2021-01-21",3540,"2021-03-01",29,29,3526,3540,39,"0.%"
"2021-01-22",3541,"2021-03-03",29,29,3527,3541,40,"0.%"
"2021-01-23",3542,"2021-03-04",29,29,3528,3543,40,"0.%"
"2021-01-26",3542,"2021-03-04",29,29,3529,3543,37,"0.%"
"2021-01-28",3542,"2021-03-04",29,29,3530,3543,35,"0.%"
"2021-01-29",3542,"2021-03-04",29,29,3531,3543,34,"0.%"
"2021-01-30",3543,"2021-03-04",29,29,3531,3543,33,"0.%"
"2021-01-31",3544,"2021-03-09",29,29,3531,3545,37,"0.%"
"2021-02-01",3544,"2021-03-09",29,29,3532,3545,36,"0.%"
"2021-02-02",3545,"2021-03-09",29,29,3532,3545,35,"0.%"
"2021-02-04",3545,"2021-03-09",29,29,3533,3545,33,"0.%"
"2021-02-07",3546,"2021-03-10",29,29,3533,3546,31,"0.%"
"2021-02-08",3546,"2021-03-10",29,29,3534,3546,30,"0.%"
"2021-02-10",3546,"2021-03-10",29,29,3535,3546,28,"0.%"
"2021-02-12",3547,"2021-03-13",29,29,3536,3548,29,"0.%"
"2021-02-16",3547,"2021-03-13",29,29,3537,3548,25,"0.%"
"2021-02-17",3548,"2021-03-13",29,29,3537,3548,24,"0.%"
"2021-02-18",3549,"2021-03-17",29,29,3537,3550,27,"0.%"
"2021-02-20",3550,"2021-03-17",29,29,3537,3550,25,"0.%"
"2021-02-21",3551,"2021-03-19",29,29,3537,3552,26,"0.%"
"2021-02-22",3551,"2021-03-19",29,29,3538,3552,25,"0.%"
"2021-02-24",3552,"2021-03-19",29,29,3538,3552,23,"0.%"
"2021-02-25",3554,"2021-03-24",29,29,3538,3554,27,"0.%"
"2021-02-28",3555,"2021-03-30",29,29,3539,3558,30,"0.%"
"2021-03-01",3555,"2021-03-30",29,29,3540,3558,29,"0.%"
"2021-03-03",3557,"2021-03-30",29,29,3541,3558,27,"0.%"
"2021-03-04",3557,"2021-03-30",29,29,3543,3558,26,"0.%"
"2021-03-09",3561,"2021-04-01",29,29,3545,3561,23,"0.%"
"2021-03-10",3561,"2021-04-01",29,29,3546,3561,22,"0.%"
"2021-03-13",3561,"2021-04-01",29,29,3548,3561,19,"0.%"
"2021-03-14",3563,"2021-04-05",29,29,3548,3565,22,"0.%"
"2021-03-17",3563,"2021-04-05",29,29,3550,3565,19,"0.%"
"2021-03-18",3564,"2021-04-05",29,29,3550,3565,18,"0.%"
"2021-03-19",3565,"2021-04-05",29,29,3552,3565,17,"0.%"
"2021-03-20",3566,"2021-04-07",29,29,3552,3567,18,"0.%"
