"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-19",1078,"2020-07-29",19,22,841,1164,10,".93%"
"2020-07-20",1105,"2020-07-29",19,22,879,1164,9,"1.05%"
"2020-07-21",1161,"2020-07-29",19,22,918,1164,8,"1.22%"
"2020-07-22",1184,"2020-07-30",19,24,935,1206,8,"1.85%"
"2020-07-23",1212,"2020-07-31",20,25,936,1221,8,"1.75%"
"2020-07-24",1230,"2020-08-01",21,27,970,1241,8,"2.21%"
"2020-07-25",1230,"2020-08-01",22,27,983,1241,7,"1.94%"
"2020-07-26",1279,"2020-08-03",22,30,1003,1308,8,"2.62%"
"2020-07-27",1317,"2020-08-04",22,30,1046,1320,8,"2.92%"
"2020-07-28",1364,"2020-08-07",22,33,1046,1371,10,"3.38%"
"2020-07-29",1381,"2020-08-08",22,33,1164,1392,10,"4.82%"
"2020-07-30",1432,"2020-08-09",24,34,1206,1432,10,"4.42%"
"2020-07-31",1432,"2020-08-09",25,34,1221,1432,9,"4.27%"
"2020-08-01",1448,"2020-08-10",27,34,1241,1453,9,"3.3%"
"2020-08-02",1481,"2020-08-11",29,34,1266,1499,9,"2.15%"
"2020-08-03",1559,"2020-08-14",30,34,1308,1623,11,"1.27%"
"2020-08-04",1559,"2020-08-14",30,34,1320,1623,10,"1.32%"
"2020-08-05",1596,"2020-08-14",30,34,1338,1623,9,"1.4%"
"2020-08-06",1596,"2020-08-14",31,34,1351,1623,8,"1.1%"
"2020-08-07",1617,"2020-08-14",33,34,1371,1623,7,".4%"
"2020-08-08",1669,"2020-08-16",33,36,1392,1687,8,"1.02%"
"2020-08-09",1703,"2020-08-17",34,36,1432,1708,8,".72%"
"2020-08-10",1721,"2020-08-18",34,36,1453,1744,8,".69%"
"2020-08-11",1773,"2020-08-19",34,38,1499,1773,8,"1.46%"
"2020-08-12",1801,"2020-08-20",34,38,1552,1830,8,"1.44%"
"2020-08-13",1809,"2020-08-20",34,38,1552,1830,7,"1.44%"
"2020-08-14",1873,"2020-08-22",34,39,1623,1886,8,"1.9%"
"2020-08-15",1918,"2020-08-24",36,40,1667,1920,9,"1.58%"
"2020-08-16",1951,"2020-08-25",36,40,1687,1953,9,"1.5%"
"2020-08-17",1970,"2020-08-26",36,40,1708,2002,9,"1.36%"
"2020-08-18",2020,"2020-08-27",36,40,1744,2066,9,"1.24%"
"2020-08-19",2020,"2020-08-27",38,40,1773,2066,8,".68%"
"2020-08-20",2070,"2020-08-28",38,41,1830,2123,8,"1.02%"
"2020-08-21",2157,"2020-08-30",39,41,1851,2158,9,".65%"
"2020-08-22",2202,"2020-08-31",39,42,1886,2229,9,".87%"
"2020-08-23",2202,"2020-08-31",40,42,1900,2229,8,".61%"
"2020-08-24",2213,"2020-08-31",40,42,1920,2229,7,".65%"
"2020-08-25",2226,"2020-08-31",40,42,1953,2229,6,".72%"
"2020-08-26",2239,"2020-09-01",40,42,2002,2279,6,".72%"
"2020-08-27",2256,"2020-09-01",40,42,2066,2279,5,".94%"
"2020-08-28",2293,"2020-09-03",41,42,2123,2335,6,".47%"
"2020-08-29",2328,"2020-09-03",41,42,2144,2335,5,".52%"
"2020-08-30",2368,"2020-09-07",41,43,2158,2376,8,".92%"
"2020-08-31",2404,"2020-09-09",42,43,2229,2426,9,".51%"
"2020-09-01",2422,"2020-09-09",42,43,2279,2426,8,".68%"
"2020-09-02",2443,"2020-09-10",42,43,2279,2456,8,".56%"
"2020-09-03",2457,"2020-09-11",42,43,2335,2523,8,".53%"
"2020-09-04",2482,"2020-09-11",42,43,2345,2523,7,".56%"
"2020-09-05",2514,"2020-09-11",43,43,2355,2523,6,"0.%"
"2020-09-06",2549,"2020-09-13",43,43,2366,2635,7,"0.%"
"2020-09-07",2582,"2020-09-13",43,43,2376,2635,6,"0.%"
