"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-09",2087,"2020-10-18",24,26,1916,2104,9,"1.06%"
"2020-10-10",2107,"2020-10-19",25,26,1926,2108,9,".55%"
"2020-10-11",2122,"2020-10-21",25,27,1940,2125,10,"1.08%"
"2020-10-12",2148,"2020-10-23",26,27,1976,2186,11,".48%"
"2020-10-13",2162,"2020-10-23",26,27,2024,2186,10,".62%"
"2020-10-14",2207,"2020-10-25",26,27,2045,2216,11,".58%"
"2020-10-15",2224,"2020-10-26",26,28,2057,2234,11,"1.13%"
"2020-10-16",2240,"2020-10-27",26,28,2065,2247,11,"1.1%"
"2020-10-17",2262,"2020-10-29",26,29,2068,2265,12,"1.52%"
"2020-10-18",2268,"2020-10-30",26,30,2104,2278,12,"2.3%"
"2020-10-19",2276,"2020-10-30",26,30,2108,2278,11,"2.35%"
"2020-10-20",2284,"2020-10-31",27,31,2121,2288,11,"2.4%"
"2020-10-21",2311,"2020-11-03",27,32,2125,2315,13,"2.63%"
"2020-10-22",2342,"2020-11-05",27,32,2137,2342,14,"2.44%"
"2020-10-23",2352,"2020-11-06",27,33,2186,2352,14,"3.61%"
"2020-10-24",2364,"2020-11-08",27,33,2206,2364,15,"3.8%"
"2020-10-25",2372,"2020-11-09",27,33,2216,2382,15,"3.61%"
"2020-10-26",2380,"2020-11-09",28,33,2234,2382,14,"3.38%"
"2020-10-27",2382,"2020-11-09",28,33,2247,2382,13,"3.7%"
"2020-10-28",2387,"2020-11-10",29,33,2260,2402,13,"2.82%"
"2020-10-29",2403,"2020-11-11",29,33,2265,2424,13,"2.52%"
"2020-10-30",2415,"2020-11-11",30,33,2278,2424,12,"2.05%"
"2020-10-31",2421,"2020-11-11",31,33,2288,2424,11,"1.47%"
"2020-11-01",2428,"2020-11-12",31,33,2300,2432,11,"1.52%"
"2020-11-02",2437,"2020-11-13",31,33,2307,2472,11,"1.21%"
"2020-11-03",2447,"2020-11-13",32,33,2315,2472,10,".64%"
"2020-11-04",2458,"2020-11-13",32,33,2331,2472,9,".71%"
"2020-11-05",2473,"2020-11-14",32,33,2342,2482,9,".71%"
"2020-11-06",2488,"2020-11-15",33,33,2352,2495,9,"0.%"
"2020-11-07",2506,"2020-11-18",33,33,2355,2521,11,"0.%"
"2020-11-08",2524,"2020-11-19",33,33,2364,2533,11,"0.%"
"2020-11-09",2544,"2020-11-20",33,33,2382,2545,11,"0.%"
"2020-11-10",2552,"2020-11-21",33,33,2402,2552,11,"0.%"
"2020-11-11",2581,"2020-11-23",33,33,2424,2623,12,"0.%"
"2020-11-12",2594,"2020-11-23",33,33,2432,2623,11,"0.%"
"2020-11-13",2611,"2020-11-23",33,33,2472,2623,10,"0.%"
"2020-11-14",2639,"2020-11-25",33,33,2482,2648,11,"0.%"
"2020-11-15",2656,"2020-11-27",33,34,2495,2658,12,".61%"
"2020-11-16",2659,"2020-11-28",33,34,2496,2676,12,".56%"
"2020-11-17",2665,"2020-11-28",33,34,2502,2676,11,".57%"
"2020-11-18",2683,"2020-11-29",33,35,2521,2694,11,"1.16%"
"2020-11-19",2700,"2020-11-30",33,35,2533,2718,11,"1.08%"
"2020-11-20",2724,"2020-12-01",33,35,2545,2745,11,"1.%"
"2020-11-21",2751,"2020-12-26",33,35,2552,2766,35,".93%"
"2020-11-22",2792,"2020-12-27",33,35,2555,2792,35,".84%"
"2020-11-23",2805,"2020-12-29",33,35,2623,2818,36,"1.03%"
"2020-11-24",2821,"2020-12-30",33,35,2631,2873,36,".83%"
"2020-11-25",2838,"2020-12-30",33,35,2648,2873,35,".89%"
"2020-11-26",2868,"2020-12-30",34,35,2652,2873,34,".45%"
"2020-11-27",2886,"2020-12-31",34,35,2658,2896,34,".42%"
"2020-11-28",2914,"2021-01-01",34,35,2676,2925,34,".4%"
"2020-11-29",2947,"2021-01-02",35,35,2694,2954,34,"0.%"
"2020-11-30",2968,"2021-01-03",35,36,2718,2985,34,".37%"
"2020-12-01",2985,"2021-01-03",35,36,2745,2985,33,".42%"
"2020-12-26",3027,"2021-01-05",35,36,2766,3055,10,".35%"
"2020-12-27",3038,"2021-01-05",35,36,2792,3055,9,".38%"
"2020-12-28",3072,"2021-01-07",35,36,2794,3096,10,".33%"
"2020-12-29",3096,"2021-01-07",35,36,2818,3096,9,".36%"
"2020-12-30",3122,"2021-01-09",35,36,2873,3151,10,".36%"
"2020-12-31",3140,"2021-01-09",35,36,2896,3151,9,".39%"
"2021-01-01",3151,"2021-01-09",35,36,2925,3151,8,".44%"
"2021-01-02",3174,"2021-01-11",35,36,2954,3196,9,".41%"
"2021-01-03",3188,"2021-01-11",36,36,2985,3196,8,"0.%"
"2021-01-04",3202,"2021-01-12",36,36,3020,3218,8,"0.%"
"2021-01-05",3225,"2021-01-13",36,36,3055,3242,8,"0.%"
"2021-01-06",3244,"2021-01-14",36,37,3066,3257,8,".52%"
"2021-01-07",3275,"2021-01-15",36,37,3096,3280,8,".54%"
"2021-01-08",3283,"2021-01-16",36,37,3107,3299,8,".52%"
"2021-01-09",3297,"2021-01-16",36,37,3151,3299,7,".68%"
"2021-01-10",3318,"2021-01-19",36,37,3167,3323,9,".64%"
"2021-01-11",3318,"2021-01-19",36,37,3196,3323,8,".79%"
"2021-01-12",3323,"2021-01-19",36,37,3218,3323,7,".95%"
"2021-01-13",3336,"2021-01-20",36,37,3242,3364,7,".82%"
"2021-01-14",3343,"2021-01-20",37,37,3257,3364,6,"0.%"
"2021-01-15",3348,"2021-01-20",37,37,3280,3364,5,"0.%"
"2021-01-16",3357,"2021-01-20",37,37,3299,3364,4,"0.%"
"2021-01-17",3362,"2021-01-20",37,37,3307,3364,3,"0.%"
"2021-01-18",3364,"2021-01-20",37,37,3315,3364,2,"0.%"
"2021-01-19",3370,"2021-01-21",37,37,3323,3372,2,"0.%"
"2021-01-20",3378,"2021-01-22",37,37,3364,3395,2,"0.%"
"2021-01-21",3381,"2021-01-22",37,37,3372,3395,1,"0.%"
"2021-01-22",3390,"2021-01-22",37,37,3395,3395,0,"-"
"2021-01-23",3394,"2021-01-23",37,37,3397,3397,0,"-"
"2021-01-24",3400,"2021-01-24",37,37,3426,3426,0,"-"
"2021-01-25",3408,"2021-01-25",37,37,3432,3432,0,"-"
"2021-01-26",3412,"2021-01-26",37,37,3453,3453,0,"-"
"2021-01-27",3413,"2021-01-27",37,37,3457,3457,0,"-"
"2021-01-28",3414,"2021-01-28",37,37,3460,3460,0,"-"
"2021-01-29",3418,"2021-01-29",37,37,3461,3461,0,"-"
"2021-01-30",3425,"2021-01-30",37,37,3470,3470,0,"-"
"2021-01-31",3427,"2021-01-31",37,37,3477,3477,0,"-"
"2021-02-01",3431,"2021-02-01",37,37,3492,3492,0,"-"
"2021-02-02",3433,"2021-02-02",37,37,3496,3496,0,"-"
"2021-02-03",3435,"2021-02-03",37,37,3498,3498,0,"-"
"2021-02-04",3437,"2021-02-04",37,37,3500,3500,0,"-"
"2021-02-05",3441,"2021-02-05",37,37,3504,3504,0,"-"
"2021-02-06",3445,"2021-02-06",37,37,3508,3508,0,"-"
"2021-02-07",3447,"2021-02-07",37,37,3514,3514,0,"-"
"2021-02-08",3447,"2021-02-08",37,37,3516,3516,0,"-"
"2021-02-10",3447,"2021-02-10",37,37,3534,3534,0,"-"
"2021-02-11",3451,"2021-02-11",37,37,3534,3534,0,"-"
"2021-02-12",3454,"2021-02-12",37,37,3536,3536,0,"-"
"2021-02-13",3457,"2021-02-13",37,37,3540,3540,0,"-"
"2021-02-14",3466,"2021-02-14",37,37,3543,3543,0,"-"
"2021-02-15",3467,"2021-02-15",37,37,3546,3546,0,"-"
"2021-02-16",3469,"2021-02-16",37,37,3546,3546,0,"-"
"2021-02-17",3474,"2021-02-17",37,37,3548,3548,0,"-"
"2021-02-18",3474,"2021-02-18",38,38,3549,3549,0,"-"
"2021-02-19",3478,"2021-02-19",39,39,3550,3550,0,"-"
"2021-02-20",3479,"2021-02-20",39,39,3550,3550,0,"-"
"2021-02-21",3482,"2021-02-21",39,39,3551,3551,0,"-"
"2021-02-22",3482,"2021-02-22",39,39,3559,3559,0,"-"
"2021-02-23",3484,"2021-02-23",39,39,3559,3559,0,"-"
"2021-02-24",3492,"2021-02-24",39,39,3564,3564,0,"-"
"2021-02-25",3496,"2021-02-25",39,39,3571,3571,0,"-"
"2021-02-26",3499,"2021-02-26",39,39,3575,3575,0,"-"
"2021-02-27",3501,"2021-02-27",39,39,3578,3578,0,"-"
"2021-02-28",3510,"2021-02-28",39,39,3580,3580,0,"-"
"2021-03-01",3511,"2021-03-01",39,39,3583,3583,0,"-"
"2021-03-02",3524,"2021-03-02",39,39,3585,3585,0,"-"
"2021-03-03",3540,"2021-03-03",39,39,3598,3598,0,"-"
"2021-03-04",3542,"2021-03-04",39,39,3614,3614,0,"-"
"2021-03-05",3554,"2021-03-05",39,39,3616,3616,0,"-"
"2021-03-06",3566,"2021-03-06",39,39,3628,3628,0,"-"
"2021-03-07",3576,"2021-03-07",39,39,3628,3628,0,"-"
"2021-03-08",3582,"2021-03-08",39,39,3628,3628,0,"-"
"2021-03-09",3589,"2021-03-09",39,39,3628,3628,0,"-"
"2021-03-10",3597,"2021-03-10",39,39,3634,3634,0,"-"
"2021-03-11",3605,"2021-03-11",39,39,3634,3634,0,"-"
"2021-03-12",3617,"2021-03-12",39,39,3634,3634,0,"-"
"2021-03-13",3639,"2021-03-15",39,39,3634,3648,2,"0.%"
"2021-03-14",3663,"2021-03-17",39,39,3634,3664,3,"0.%"
"2021-03-15",3675,"2021-03-22",39,41,3648,3676,7,"7.14%"
"2021-03-16",3700,"2021-03-24",39,42,3662,3703,8,"7.32%"
"2021-03-17",3718,"2021-03-26",39,43,3664,3722,9,"6.9%"
"2021-03-18",3752,"2021-03-29",39,45,3666,3776,11,"5.45%"
"2021-03-19",3790,"2021-04-02",39,46,3666,3807,14,"4.96%"
"2021-03-20",3814,"2021-04-05",39,46,3666,3848,16,"3.85%"
"2021-03-21",3837,"2021-04-05",41,46,3674,3848,15,"2.87%"
