"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-27",94,"2020-07-08",6,8,71,101,11,"6.67%"
"2020-06-28",95,"2020-07-08",6,8,72,101,10,"6.9%"
"2020-06-29",97,"2020-07-08",6,8,72,101,9,"6.9%"
"2020-06-30",105,"2020-07-10",6,9,72,105,10,"9.09%"
"2020-07-01",105,"2020-07-10",7,9,85,105,9,"10.%"
"2020-07-02",106,"2020-07-11",7,9,85,107,9,"9.09%"
"2020-07-03",108,"2020-07-14",7,9,85,111,11,"7.69%"
"2020-07-04",109,"2020-07-14",7,9,90,111,10,"9.52%"
"2020-07-06",113,"2020-07-15",7,9,90,113,9,"8.7%"
"2020-07-07",116,"2020-07-17",7,10,91,116,10,"12.%"
"2020-07-08",118,"2020-07-19",8,10,101,125,11,"8.33%"
"2020-07-10",121,"2020-07-19",9,10,105,125,9,"5.%"
"2020-07-11",129,"2020-07-21",9,10,107,130,10,"4.35%"
"2020-07-12",131,"2020-07-22",9,10,107,131,10,"4.17%"
"2020-07-13",132,"2020-07-23",9,10,107,132,10,"4.%"
"2020-07-14",132,"2020-07-23",9,10,111,132,9,"4.76%"
"2020-07-15",137,"2020-07-26",9,11,113,138,11,"8.%"
"2020-07-16",139,"2020-07-29",10,11,114,146,13,"3.12%"
"2020-07-17",141,"2020-07-29",10,11,116,146,12,"3.33%"
"2020-07-18",142,"2020-07-29",10,11,117,146,11,"3.45%"
"2020-07-19",153,"2020-07-31",10,12,125,154,12,"6.9%"
"2020-07-20",158,"2020-08-04",10,12,125,162,15,"5.41%"
"2020-07-21",162,"2020-08-04",10,12,130,162,14,"6.25%"
"2020-07-22",162,"2020-08-04",10,12,131,162,13,"6.45%"
"2020-07-23",165,"2020-08-06",10,12,132,169,14,"5.41%"
"2020-07-24",167,"2020-08-06",10,12,132,169,13,"5.41%"
"2020-07-25",173,"2020-08-08",10,12,133,173,14,"5.%"
"2020-07-26",182,"2020-08-11",11,13,138,200,16,"3.23%"
"2020-07-27",184,"2020-08-11",11,13,138,200,15,"3.23%"
"2020-07-28",185,"2020-08-11",11,13,138,200,14,"3.23%"
"2020-07-29",188,"2020-08-11",11,13,146,200,13,"3.7%"
"2020-07-30",193,"2020-08-11",12,13,147,200,12,"1.89%"
"2020-07-31",197,"2020-08-11",12,13,154,200,11,"2.17%"
"2020-08-01",208,"2020-08-14",12,13,155,242,13,"1.15%"
"2020-08-02",224,"2020-08-14",12,13,155,242,12,"1.15%"
"2020-08-03",254,"2020-08-17",12,13,155,255,14,"1.%"
"2020-08-04",254,"2020-08-17",12,13,162,255,13,"1.08%"
"2020-08-05",280,"2020-08-19",12,13,162,280,14,".85%"
"2020-08-06",280,"2020-08-19",12,13,169,280,13,".9%"
"2020-08-08",280,"2020-08-19",12,13,173,280,11,".93%"
"2020-08-09",305,"2020-08-20",12,13,173,310,11,".73%"
"2020-08-10",307,"2020-08-20",12,13,175,310,10,".74%"
"2020-08-11",331,"2020-08-25",13,13,200,380,14,"0.%"
"2020-08-12",341,"2020-08-25",13,13,200,380,13,"0.%"
"2020-08-13",342,"2020-08-25",13,13,200,380,12,"0.%"
"2020-08-14",346,"2020-08-25",13,13,242,380,11,"0.%"
"2020-08-16",371,"2020-08-25",13,13,250,380,9,"0.%"
"2020-08-17",381,"2020-08-27",13,13,255,383,10,"0.%"
"2020-08-18",385,"2020-08-29",13,13,255,408,11,"0.%"
"2020-08-19",391,"2020-08-29",13,13,280,408,10,"0.%"
"2020-08-20",391,"2020-08-29",13,13,310,408,9,"0.%"
"2020-08-21",397,"2020-08-29",13,13,315,408,8,"0.%"
"2020-08-22",407,"2020-08-29",13,13,317,408,7,"0.%"
"2020-08-23",419,"2020-09-02",13,13,317,455,10,"0.%"
"2020-08-24",432,"2020-09-02",13,13,317,455,9,"0.%"
"2020-08-25",439,"2020-09-02",13,13,380,455,8,"0.%"
"2020-08-26",447,"2020-09-02",13,13,380,455,7,"0.%"
"2020-08-27",455,"2020-09-02",13,13,383,455,6,"0.%"
"2020-08-28",468,"2020-09-07",13,15,383,470,10,"2.3%"
"2020-08-29",472,"2020-09-08",13,16,408,481,10,"4.11%"
"2020-08-30",486,"2020-09-09",13,16,408,487,10,"3.8%"
"2020-08-31",502,"2020-09-11",13,17,408,517,11,"3.67%"
"2020-09-01",515,"2020-09-11",13,17,408,517,10,"3.67%"
"2020-09-02",529,"2020-09-12",13,17,455,529,10,"5.41%"
"2020-09-03",533,"2020-09-13",15,18,457,551,10,"3.19%"
"2020-09-04",556,"2020-09-14",15,18,458,573,10,"2.61%"
"2020-09-05",579,"2020-09-15",15,18,458,600,10,"2.11%"
"2020-09-06",591,"2020-09-15",15,18,465,600,9,"2.22%"
"2020-09-07",602,"2020-09-16",15,19,470,612,9,"2.82%"
"2020-09-08",614,"2020-09-17",16,19,481,629,9,"2.03%"
"2020-09-09",641,"2020-09-19",16,19,487,649,10,"1.85%"
"2020-09-10",663,"2020-09-20",17,19,495,668,10,"1.16%"
"2020-09-11",667,"2020-09-20",17,19,517,668,9,"1.32%"
"2020-09-12",671,"2020-09-21",17,19,529,686,9,"1.27%"
"2020-09-13",679,"2020-09-21",18,19,551,686,8,".74%"
"2020-09-14",707,"2020-09-23",18,19,573,708,9,".74%"
