"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-24",1695,"2020-11-05",23,25,1579,1704,12,"1.6%"
"2020-10-25",1711,"2020-11-08",24,25,1582,1720,14,".72%"
"2020-10-26",1719,"2020-11-08",24,25,1588,1720,13,".76%"
"2020-10-27",1729,"2020-11-10",25,26,1593,1734,14,".71%"
"2020-10-28",1736,"2020-11-11",25,26,1623,1753,14,".77%"
"2020-10-29",1752,"2020-11-11",25,26,1631,1753,13,".82%"
"2020-10-30",1772,"2020-11-13",25,26,1634,1784,14,".67%"
"2020-10-31",1789,"2020-11-14",25,26,1649,1826,14,".56%"
"2020-11-01",1789,"2020-11-14",25,26,1663,1826,13,".61%"
"2020-11-02",1799,"2020-11-14",25,26,1674,1826,12,".66%"
"2020-11-03",1820,"2020-11-14",25,26,1676,1826,11,".67%"
"2020-11-04",1848,"2020-11-16",25,26,1683,1859,12,".57%"
"2020-11-05",1868,"2020-11-17",25,26,1704,1873,12,".59%"
"2020-11-06",1870,"2020-11-17",25,26,1706,1873,11,".6%"
"2020-11-07",1901,"2020-11-20",25,27,1709,1918,13,".96%"
"2020-11-08",1918,"2020-11-20",25,27,1720,1918,12,"1.01%"
"2020-11-09",1950,"2020-11-21",26,28,1728,1971,12,".82%"
"2020-11-10",1954,"2020-11-21",26,28,1734,1971,11,".84%"
"2020-11-11",1968,"2020-11-21",26,28,1753,1971,10,".92%"
"2020-11-12",2004,"2020-11-22",26,28,1757,2010,10,".79%"
"2020-11-13",2024,"2020-11-23",26,28,1784,2116,10,".6%"
"2020-11-14",2036,"2020-11-23",26,28,1826,2116,9,".69%"
"2020-11-15",2040,"2020-11-23",26,28,1844,2116,8,".74%"
"2020-11-16",2075,"2020-11-23",26,28,1859,2116,7,".78%"
"2020-11-17",2105,"2020-11-23",26,28,1873,2116,6,".82%"
"2020-11-18",2168,"2020-11-27",26,28,1879,2195,9,".63%"
"2020-11-19",2175,"2020-11-27",27,28,1890,2195,8,".33%"
"2020-11-20",2220,"2020-11-28",27,28,1918,2258,8,".29%"
"2020-11-21",2305,"2020-11-30",28,28,1971,2310,9,"0.%"
"2020-11-22",2401,"2020-12-27",28,29,2010,2470,35,".22%"
"2020-11-23",2450,"2020-12-27",28,29,2116,2470,34,".28%"
"2020-11-24",2550,"2021-01-01",28,30,2126,2555,38,".47%"
"2020-11-25",2582,"2021-01-02",28,30,2130,2603,38,".42%"
