"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-18",958,"2020-07-27",10,12,843,960,9,"1.71%"
"2020-07-19",977,"2020-07-31",10,13,843,1014,12,"1.75%"
"2020-07-20",1004,"2020-07-31",10,13,846,1014,11,"1.79%"
"2020-07-21",1011,"2020-07-31",12,13,867,1014,10,".68%"
"2020-07-22",1045,"2020-08-03",12,13,870,1069,12,".5%"
"2020-07-23",1056,"2020-08-03",12,13,873,1069,11,".51%"
"2020-07-24",1077,"2020-08-05",12,13,924,1177,12,".4%"
"2020-07-25",1087,"2020-08-05",12,13,931,1177,11,".41%"
"2020-07-26",1120,"2020-08-05",12,13,931,1177,10,".41%"
"2020-07-27",1142,"2020-08-05",12,13,960,1177,9,".46%"
"2020-07-28",1171,"2020-08-05",13,13,961,1177,8,"0.%"
"2020-07-29",1250,"2020-08-09",13,14,968,1267,11,".33%"
"2020-07-30",1254,"2020-08-09",13,14,968,1267,10,".33%"
"2020-07-31",1304,"2020-08-10",13,14,1014,1347,10,".3%"
"2020-08-02",1334,"2020-08-10",13,14,1024,1347,8,".31%"
"2020-08-03",1365,"2020-08-13",13,16,1069,1377,10,".97%"
"2020-08-04",1397,"2020-08-15",13,16,1069,1467,11,".75%"
"2020-08-05",1436,"2020-08-15",13,16,1177,1467,10,"1.03%"
"2020-08-06",1518,"2020-08-18",13,19,1184,1608,12,"1.42%"
"2020-08-08",1565,"2020-08-18",14,19,1228,1608,10,"1.32%"
"2020-08-09",1643,"2020-08-20",14,20,1267,1645,11,"1.59%"
"2020-08-10",1681,"2020-08-21",14,21,1347,1687,11,"2.06%"
"2020-08-11",1681,"2020-08-21",14,21,1357,1687,10,"2.12%"
"2020-08-12",1719,"2020-08-23",14,22,1357,1777,11,"1.9%"
"2020-08-13",1772,"2020-08-23",16,22,1377,1777,10,"1.5%"
"2020-08-14",1815,"2020-08-25",16,24,1394,1983,11,"1.36%"
"2020-08-15",1852,"2020-08-25",16,24,1467,1983,10,"1.55%"
"2020-08-16",1918,"2020-08-25",18,24,1512,1983,9,"1.27%"
"2020-08-17",1988,"2020-08-26",18,24,1512,2049,9,"1.12%"
"2020-08-18",1988,"2020-08-26",19,24,1608,2049,8,"1.13%"
"2020-08-19",1988,"2020-08-26",20,24,1609,2049,7,".91%"
"2020-08-20",2070,"2020-08-28",20,25,1645,2132,8,"1.03%"
"2020-08-21",2098,"2020-08-28",21,25,1687,2132,7,".9%"
"2020-08-22",2110,"2020-08-28",22,25,1710,2132,6,".71%"
