"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-31",274582,"2021-04-03",2293,2424,248113,275288,93,".48%"
"2021-01-01",275191,"2021-04-03",2297,2424,249059,275288,92,".48%"
"2021-01-02",275658,"2021-04-04",2302,2426,249954,275877,92,".48%"
"2021-01-03",276160,"2021-04-05",2307,2438,250760,276416,92,".51%"
"2021-01-04",276617,"2021-04-06",2311,2451,251519,277280,92,".54%"
"2021-01-05",272800,"2021-04-03",2277,2424,248339,275288,88,".55%"
"2021-01-06",273236,"2021-04-03",2281,2424,248907,275288,87,".54%"
"2021-01-07",277959,"2021-04-07",2324,2463,253582,278075,90,".57%"
"2021-01-08",274366,"2021-04-03",2288,2424,250355,275288,85,".55%"
"2021-01-09",269643,"2021-03-28",2246,2379,246590,270047,78,".57%"
"2021-01-10",279335,"2021-04-09",2331,2515,255700,280172,89,".75%"
"2021-01-11",275699,"2021-04-04",2297,2426,252506,275877,83,".55%"
"2021-01-12",275130,"2021-04-03",2306,2424,252474,275288,81,".52%"
"2021-01-13",280430,"2021-04-10",2339,2533,257741,280488,87,".85%"
"2021-01-14",280711,"2021-04-10",2341,2533,258127,280752,86,".85%"
"2021-01-15",277388,"2021-04-07",2304,2463,255121,278075,82,".69%"
"2021-01-16",277721,"2021-04-07",2314,2463,255551,278075,81,".66%"
"2021-01-17",281520,"2021-04-11",2344,2543,259561,281777,84,".9%"
"2021-01-18",275875,"2021-04-04",2287,2426,254691,275877,76,".66%"
"2021-01-19",276084,"2021-04-05",2289,2438,255230,276416,76,".7%"
"2021-01-20",274959,"2021-04-03",2281,2424,254490,275288,73,".69%"
"2021-01-21",269699,"2021-03-28",2231,2379,249310,270047,66,".71%"
"2021-01-22",258429,"2021-03-21",2147,2278,238622,259446,58,".63%"
"2021-01-23",274270,"2021-04-03",2273,2424,254141,275288,70,".71%"
"2021-01-24",263016,"2021-03-23",2174,2323,243917,263488,58,".76%"
"2021-01-25",270022,"2021-03-28",2234,2379,250492,270047,62,".74%"
"2021-01-26",275652,"2021-04-04",2265,2426,256182,275877,68,".82%"
"2021-01-27",263673,"2021-03-23",2173,2328,245019,264273,55,".81%"
"2021-01-28",262760,"2021-03-21",2156,2307,244215,262855,52,".81%"
"2021-01-29",270364,"2021-03-28",2237,2384,251721,270997,58,".76%"
"2021-01-30",253004,"2021-03-09",2071,2218,234885,253201,38,".8%"
"2021-01-31",262585,"2021-03-21",2168,2307,244572,262855,49,".76%"
"2021-02-01",253972,"2021-03-15",2083,2218,236501,254296,42,".76%"
"2021-02-02",250987,"2021-03-09",2016,2172,233770,251267,35,".89%"
"2021-02-03",262332,"2021-03-21",2150,2307,244550,262855,46,".86%"
"2021-02-04",246629,"2021-02-11",2021,2148,229542,247101,7,".72%"
"2021-02-05",253781,"2021-03-15",2101,2218,236859,254296,38,".67%"
"2021-02-06",249259,"2021-02-28",2057,2148,232082,249419,22,".52%"
"2021-02-07",215194,"2021-02-09",1841,1864,199132,218458,2,".12%"
"2021-02-08",225268,"2021-02-09",1837,1986,209139,225725,1,".9%"
"2021-02-09",254276,"2021-03-15",2078,2218,236861,254296,34,".8%"
"2021-02-10",240067,"2021-02-11",1913,2108,223189,240711,1,"1.11%"
"2021-02-11",264447,"2021-03-23",2196,2339,247101,265136,40,".79%"
"2021-02-12",263405,"2021-03-23",2181,2323,246091,263488,39,".82%"
"2021-02-13",253272,"2021-03-14",2096,2218,236050,253626,29,".69%"
"2021-02-14",240319,"2021-02-16",1978,2108,223447,240711,2,".75%"
"2021-02-15",224291,"2021-02-16",1821,1986,208075,225725,1,".93%"
"2021-02-16",260596,"2021-03-21",2156,2307,243845,262855,33,".79%"
"2021-02-17",239611,"2021-02-25",1947,2108,223825,239986,8,"1.%"
"2021-02-18",242181,"2021-02-25",1986,2108,225725,242340,7,".73%"
"2021-02-19",212605,"2021-02-20",1840,1829,196814,213351,1,"-.07%"
"2021-02-20",243264,"2021-02-27",1993,2145,226570,244470,7,".85%"
"2021-02-21",234834,"2021-02-25",1864,2031,218458,235125,4,"1.%"
"2021-02-22",245403,"2021-02-28",2020,2145,228831,245431,6,".75%"
"2021-02-23",218645,"2021-02-25",1749,2031,202614,235125,2,".87%"
"2021-02-24",210379,"2021-02-25",1706,1829,194819,213351,1,".66%"
"2021-02-25",260174,"2021-03-21",2154,2307,243192,262855,24,".78%"
"2021-02-26",257925,"2021-03-21",2135,2278,240711,259446,23,".76%"
"2021-02-27",261333,"2021-03-21",2161,2307,244470,262855,22,".79%"
"2021-02-28",266715,"2021-03-28",2190,2379,249419,270047,28,".92%"
"2021-03-01",255541,"2021-03-15",2108,2244,238373,257021,14,".73%"
"2021-03-02",220683,"2021-03-03",1918,2031,204499,235125,1,".37%"
"2021-03-03",260588,"2021-03-21",2137,2307,243227,262855,18,".87%"
"2021-03-04",259670,"2021-03-21",2108,2307,242340,262855,17,".97%"
"2021-03-05",254422,"2021-03-15",2068,2244,237122,257021,10,".88%"
"2021-03-06",268693,"2021-03-28",2200,2379,250929,270047,22,".94%"
"2021-03-07",259304,"2021-03-21",2119,2278,241710,259446,14,".9%"
"2021-03-08",263272,"2021-03-23",2145,2323,245431,263488,15,".99%"
"2021-03-09",271250,"2021-03-29",2236,2385,253201,271539,20,".81%"
"2021-03-10",268162,"2021-03-28",2148,2379,250276,270047,18,"1.17%"
"2021-03-11",257800,"2021-03-21",2111,2278,239986,259446,10,".86%"
"2021-03-12",253019,"2021-03-14",2031,2218,235125,253626,2,"1.01%"
"2021-03-13",230332,"2021-03-14",1829,2169,213351,245571,1,"1.06%"
"2021-03-14",271973,"2021-04-01",2238,2400,253626,272212,18,".87%"
"2021-03-15",275974,"2021-04-05",2258,2438,257021,276416,21,".93%"
"2021-03-16",263831,"2021-03-23",2169,2328,245571,264273,7,".85%"
"2021-03-17",270013,"2021-03-28",2172,2379,251267,270047,11,"1.1%"
"2021-03-18",276621,"2021-04-06",2244,2451,257189,277280,19,"1.03%"
"2021-03-19",271177,"2021-03-29",2174,2385,251977,271539,10,"1.08%"
"2021-03-20",273630,"2021-04-03",2218,2424,254296,275288,14,".98%"
"2021-03-21",282808,"2021-04-12",2307,2568,262855,283093,22,"1.29%"
"2021-03-22",277622,"2021-04-07",2268,2463,257240,278075,16,".94%"
"2021-03-23",286871,"2021-04-15",2347,2658,265987,288644,23,"1.37%"
"2021-03-24",284825,"2021-04-14",2323,2625,263488,286357,21,"1.32%"
"2021-03-25",285865,"2021-04-14",2328,2625,264273,286357,20,"1.34%"
"2021-03-26",281874,"2021-04-12",2278,2568,259446,283093,17,"1.23%"
"2021-03-27",288200,"2021-04-15",2339,2658,265136,288644,19,"1.36%"
"2021-03-28",295111,"2021-04-18",2389,2768,271122,297452,21,"1.44%"
"2021-03-29",296077,"2021-04-18",2385,2768,271539,297452,20,"1.48%"
"2021-03-30",287949,"2021-04-15",2324,2658,263527,288644,16,"1.33%"
"2021-03-31",295405,"2021-04-18",2379,2768,270047,297452,18,"1.42%"
"2021-04-01",298574,"2021-04-19",2400,2821,272212,299913,18,"1.52%"
"2021-04-02",298174,"2021-04-19",2384,2821,270997,299913,17,"1.51%"
"2021-04-03",303935,"2021-04-21",2424,2947,275288,307011,18,"1.65%"
"2021-04-04",305664,"2021-04-21",2426,2947,275877,307011,17,"1.67%"
"2021-04-05",308093,"2021-04-22",2438,3068,276416,314515,17,"1.65%"
"2021-04-06",310329,"2021-04-22",2451,3068,277280,314515,16,"1.66%"
"2021-04-07",313130,"2021-04-22",2463,3068,278075,314515,15,"1.66%"
"2021-04-08",316656,"2021-04-23",2483,3132,278615,319776,15,"1.58%"
"2021-04-09",324152,"2021-04-24",2515,3206,280172,324809,15,"1.55%"
"2021-04-10",328553,"2021-04-25",2533,3280,280752,331532,15,"1.47%"
