"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-21",25,"2020-07-26",,1,,71,35,"-"
"2020-06-24",25,"2020-07-26",,1,,71,32,"-"
"2020-06-25",26,"2020-07-26",,1,,71,31,"-"
"2020-06-26",27,"2020-07-26",,1,,71,30,"-"
"2020-06-27",27,"2020-07-26",,1,,71,29,"-"
"2020-06-28",28,"2020-07-26",,1,,71,28,"-"
"2020-07-01",29,"2020-07-26",,1,,71,25,"-"
"2020-07-02",41,"2020-07-26",,1,,71,24,"-"
"2020-07-04",43,"2020-07-26",,1,,71,22,"-"
"2020-07-05",65,"2020-07-26",,1,,71,21,"-"
"2020-07-07",67,"2020-07-26",,1,,71,19,"-"
"2020-07-08",73,"2020-07-29",,1,,122,21,"-"
"2020-07-09",74,"2020-07-29",,1,,122,20,"-"
"2020-07-10",61,"2020-07-26",,1,,71,16,"-"
"2020-07-11",87,"2020-07-29",,1,,122,18,"-"
"2020-07-12",91,"2020-07-29",,1,,122,17,"-"
"2020-07-13",92,"2020-07-29",,1,,122,16,"-"
"2020-07-14",131,"2020-07-31",,1,,147,17,"-"
"2020-07-15",142,"2020-07-31",,1,,147,16,"-"
"2020-07-16",155,"2020-08-01",,1,,185,16,"-"
"2020-07-17",180,"2020-08-01",,1,,185,15,"-"
"2020-07-18",199,"2020-08-02",,1,,205,15,"-"
"2020-07-19",209,"2020-08-05",,1,,211,17,"-"
"2020-07-20",231,"2020-08-07",,1,,314,18,"-"
"2020-07-21",255,"2020-08-07",,1,,314,17,"-"
"2020-07-22",316,"2020-08-10",,1,,418,19,"-"
"2020-07-23",335,"2020-08-10",,1,,418,18,"-"
"2020-07-24",346,"2020-08-10",,1,,418,17,"-"
"2020-07-26",346,"2020-08-10",1,1,71,418,15,"0.%"
"2020-07-28",354,"2020-08-10",1,1,71,418,13,"0.%"
"2020-07-29",397,"2020-08-10",1,1,122,418,12,"0.%"
"2020-07-30",425,"2020-08-11",1,1,130,442,12,"0.%"
"2020-07-31",453,"2020-08-12",1,1,147,458,12,"0.%"
"2020-08-01",464,"2020-08-13",1,1,185,489,12,"0.%"
"2020-08-02",471,"2020-08-13",1,1,205,489,11,"0.%"
"2020-08-03",487,"2020-08-13",1,1,205,489,10,"0.%"
"2020-08-04",596,"2020-08-17",1,1,207,609,13,"0.%"
"2020-08-05",613,"2020-08-18",1,2,211,664,13,".22%"
"2020-08-07",667,"2020-08-19",1,3,314,699,12,".52%"
"2020-08-10",723,"2020-08-20",1,3,418,737,10,".63%"
"2020-08-11",726,"2020-08-20",1,3,442,737,9,".68%"
"2020-08-12",743,"2020-08-21",1,3,458,744,9,".7%"
"2020-08-13",744,"2020-08-21",1,3,489,744,8,".78%"
"2020-08-14",893,"2020-08-25",1,3,531,964,11,".46%"
"2020-08-15",961,"2020-08-25",1,3,569,964,10,".51%"
"2020-08-16",980,"2020-08-26",1,3,581,986,10,".49%"
"2020-08-17",1000,"2020-08-27",1,3,609,1061,10,".44%"
"2020-08-18",1020,"2020-08-27",2,3,664,1061,9,".25%"
"2020-08-19",1045,"2020-08-27",3,3,699,1061,8,"0.%"
"2020-08-20",1103,"2020-08-29",3,3,737,1105,9,"0.%"
