"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-22",89539,"2020-08-02",1924,2142,75445,89586,11,"1.54%"
"2020-07-23",90878,"2020-08-04",1932,2187,77156,91996,12,"1.72%"
"2020-07-24",92184,"2020-08-05",1954,2212,78288,93018,12,"1.75%"
"2020-07-25",93515,"2020-08-06",1974,2233,79439,94201,12,"1.75%"
"2020-07-26",94673,"2020-08-07",1996,2257,80776,95328,12,"1.79%"
"2020-07-27",95835,"2020-08-08",2017,2275,82618,96215,12,"1.9%"
"2020-07-28",96416,"2020-08-09",2041,2287,83411,97288,12,"1.77%"
"2020-07-29",97553,"2020-08-10",2061,2312,84665,98618,12,"1.8%"
"2020-07-30",98745,"2020-08-11",2080,2335,85810,99749,12,"1.83%"
"2020-07-31",99772,"2020-08-12",2098,2355,86854,100931,12,"1.83%"
"2020-08-01",100855,"2020-08-12",2125,2355,88266,100931,11,"1.82%"
"2020-08-02",101929,"2020-08-13",2142,2369,89586,102015,11,"1.83%"
"2020-08-03",102963,"2020-08-15",2161,2419,90827,103948,12,"1.97%"
"2020-08-04",104005,"2020-08-16",2187,2439,91996,104977,12,"1.94%"
"2020-08-05",104982,"2020-08-17",2212,2463,93018,105661,12,"1.99%"
"2020-08-06",106074,"2020-08-18",2233,2486,94201,106781,12,"2.01%"
"2020-08-07",107087,"2020-08-19",2257,2502,95328,107836,12,"1.96%"
"2020-08-08",108102,"2020-08-20",2275,2522,96215,108988,12,"1.93%"
"2020-08-09",109095,"2020-08-21",2287,2542,97288,109874,12,"2.03%"
"2020-08-10",110099,"2020-08-22",2312,2549,98618,110934,12,"1.92%"
"2020-08-11",111032,"2020-08-23",2335,2566,99749,111991,12,"1.89%"
"2020-08-12",112037,"2020-08-24",2355,2588,100931,113247,12,"1.89%"
"2020-08-13",113036,"2020-08-24",2369,2588,102015,113247,11,"1.95%"
"2020-08-14",114238,"2020-08-25",2393,2608,102876,114403,11,"1.87%"
"2020-08-15",115422,"2020-08-26",2419,2623,103948,115555,11,"1.76%"
"2020-08-16",116628,"2020-08-27",2439,2651,104977,116939,11,"1.77%"
"2020-08-17",117817,"2020-08-28",2463,2675,105661,118164,11,"1.7%"
"2020-08-18",119037,"2020-08-29",2486,2697,106781,119345,11,"1.68%"
"2020-08-19",120245,"2020-08-30",2502,2714,107836,120789,11,"1.64%"
"2020-08-20",121428,"2020-08-31",2522,2732,108988,122198,11,"1.59%"
"2020-08-21",122735,"2020-09-01",2542,2755,109874,123415,11,"1.57%"
"2020-08-22",124049,"2020-09-02",2549,2773,110934,125020,11,"1.59%"
"2020-08-23",125367,"2020-09-03",2566,2799,111991,126490,11,"1.61%"
"2020-08-24",126655,"2020-09-04",2588,2811,113247,127542,11,"1.56%"
"2020-08-25",127927,"2020-09-05",2608,2833,114403,129101,11,"1.53%"
"2020-08-26",129225,"2020-09-06",2623,2847,115555,130215,11,"1.53%"
"2020-08-27",130542,"2020-09-07",2651,2863,116939,131283,11,"1.48%"
"2020-08-28",131847,"2020-09-08",2675,2881,118164,132398,11,"1.45%"
"2020-08-29",133151,"2020-09-09",2697,2895,119345,133566,11,"1.39%"
"2020-08-30",134414,"2020-09-10",2714,2906,120789,134586,11,"1.39%"
"2020-08-31",135575,"2020-09-12",2732,2944,122198,136771,12,"1.45%"
"2020-09-01",136675,"2020-09-12",2755,2944,123415,136771,11,"1.42%"
"2020-09-02",137710,"2020-09-13",2773,2961,125020,138016,11,"1.45%"
"2020-09-03",138702,"2020-09-14",2799,2977,126490,138972,11,"1.43%"
"2020-09-04",139698,"2020-09-15",2811,2989,127542,140514,11,"1.37%"
"2020-09-05",140663,"2020-09-16",2833,2998,129101,141552,11,"1.33%"
"2020-09-06",141632,"2020-09-17",2847,3008,130215,142518,11,"1.31%"
"2020-09-07",142581,"2020-09-18",2863,3022,131283,143495,11,"1.3%"
"2020-09-08",143580,"2020-09-19",2881,3031,132398,144483,11,"1.24%"
"2020-09-09",144573,"2020-09-20",2895,3043,133566,145758,11,"1.21%"
"2020-09-10",145584,"2020-09-20",2906,3043,134586,145758,10,"1.23%"
"2020-09-11",146571,"2020-09-21",2927,3059,135539,146579,10,"1.2%"
"2020-09-12",147569,"2020-09-23",2944,3082,136771,148551,11,"1.17%"
"2020-09-13",148562,"2020-09-24",2961,3096,138016,149570,11,"1.17%"
"2020-09-14",149561,"2020-09-24",2977,3096,138972,149570,10,"1.12%"
