"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-29",12360,"2021-01-04",138,141,11925,12375,36,".67%"
"2020-11-30",12418,"2021-01-06",138,141,11972,12446,37,".63%"
"2020-12-01",12457,"2021-01-07",138,141,12001,12479,37,".63%"
"2020-12-26",12489,"2021-01-08",138,142,12045,12516,13,".85%"
"2020-12-27",12519,"2021-01-09",138,142,12064,12558,13,".81%"
"2020-12-28",12550,"2021-01-09",138,142,12111,12558,12,".89%"
"2020-12-29",12584,"2021-01-10",139,142,12148,12594,12,".67%"
"2020-12-30",12648,"2021-01-12",140,142,12223,12660,13,".46%"
"2020-12-31",12691,"2021-01-13",140,143,12259,12695,13,".69%"
"2021-01-01",12733,"2021-01-15",140,143,12283,12739,14,".66%"
"2021-01-02",12768,"2021-01-17",140,143,12308,12794,15,".62%"
"2021-01-03",12807,"2021-01-18",140,143,12337,12816,15,".63%"
"2021-01-04",12832,"2021-01-20",141,144,12375,12846,16,".64%"
"2021-01-05",12863,"2021-01-21",141,144,12407,12873,16,".64%"
"2021-01-06",12892,"2021-01-22",141,144,12446,12895,16,".67%"
"2021-01-07",12920,"2021-01-24",141,144,12479,12928,17,".67%"
"2021-01-08",12938,"2021-01-25",142,144,12516,12939,17,".47%"
"2021-01-09",12955,"2021-01-27",142,146,12558,12968,18,".98%"
"2021-01-10",12980,"2021-01-28",142,146,12594,12980,18,"1.04%"
"2021-01-11",13005,"2021-01-31",142,146,12629,13026,20,"1.01%"
"2021-01-12",13026,"2021-01-31",142,146,12660,13026,19,"1.09%"
"2021-01-13",13042,"2021-02-01",143,146,12695,13050,19,".85%"
"2021-01-14",13054,"2021-02-02",143,146,12716,13079,19,".83%"
"2021-01-15",13070,"2021-02-02",143,146,12739,13079,18,".88%"
"2021-01-16",13084,"2021-02-03",143,146,12767,13099,18,".9%"
"2021-01-17",13099,"2021-02-03",143,146,12794,13099,17,".98%"
"2021-01-18",13107,"2021-02-04",143,146,12816,13124,17,".97%"
"2021-01-19",13129,"2021-02-05",144,146,12828,13145,17,".63%"
"2021-01-20",13154,"2021-02-06",144,146,12846,13165,17,".63%"
"2021-01-21",13171,"2021-02-07",144,146,12873,13184,17,".64%"
"2021-01-22",13180,"2021-02-07",144,146,12895,13184,16,".69%"
"2021-01-23",13207,"2021-02-09",144,146,12915,13212,17,".67%"
"2021-01-24",13236,"2021-02-10",144,146,12928,13236,17,".65%"
"2021-01-25",13258,"2021-02-12",144,146,12939,13284,18,".58%"
"2021-01-26",13278,"2021-02-12",144,146,12951,13284,17,".6%"
"2021-01-27",13297,"2021-02-13",146,146,12968,13310,17,"0.%"
"2021-01-28",13317,"2021-02-14",146,146,12980,13326,17,"0.%"
"2021-01-29",13337,"2021-02-15",146,146,12983,13341,17,"0.%"
"2021-01-30",13355,"2021-02-16",146,146,13003,13357,17,"0.%"
"2021-01-31",13373,"2021-02-17",146,146,13026,13378,17,"0.%"
"2021-02-01",13396,"2021-02-18",146,146,13050,13397,17,"0.%"
"2021-02-02",13422,"2021-02-20",146,146,13079,13424,18,"0.%"
"2021-02-03",13440,"2021-02-22",146,146,13099,13456,19,"0.%"
"2021-02-04",13461,"2021-02-23",146,146,13124,13472,19,"0.%"
"2021-02-05",13484,"2021-02-24",146,146,13145,13487,19,"0.%"
"2021-02-06",13499,"2021-02-25",146,146,13165,13504,19,"0.%"
"2021-02-07",13521,"2021-02-27",146,146,13184,13535,20,"0.%"
"2021-02-08",13538,"2021-02-28",146,146,13194,13548,20,"0.%"
"2021-02-09",13563,"2021-03-02",146,146,13212,13572,21,"0.%"
"2021-02-10",13573,"2021-03-03",146,146,13236,13589,21,"0.%"
"2021-02-11",13591,"2021-03-04",146,146,13256,13607,21,"0.%"
"2021-02-12",13602,"2021-03-04",146,146,13284,13607,20,"0.%"
"2021-02-13",13613,"2021-03-05",146,146,13310,13623,20,"0.%"
"2021-02-14",13625,"2021-03-06",146,146,13326,13636,20,"0.%"
"2021-02-15",13636,"2021-03-06",146,146,13341,13636,19,"0.%"
"2021-02-16",13651,"2021-03-08",146,146,13357,13652,20,"0.%"
"2021-02-17",13670,"2021-03-10",146,146,13378,13672,21,"0.%"
"2021-02-18",13687,"2021-03-12",146,146,13397,13697,22,"0.%"
"2021-02-19",13704,"2021-03-14",146,146,13412,13714,23,"0.%"
"2021-02-20",13717,"2021-03-15",146,146,13424,13724,23,"0.%"
"2021-02-21",13731,"2021-03-16",146,146,13439,13737,23,"0.%"
"2021-02-22",13745,"2021-03-17",146,146,13456,13748,23,"0.%"
"2021-02-23",13757,"2021-03-18",146,146,13472,13757,23,"0.%"
"2021-02-24",13768,"2021-03-20",146,146,13487,13780,24,"0.%"
"2021-02-25",13781,"2021-03-21",146,146,13504,13792,24,"0.%"
"2021-02-26",13788,"2021-03-21",146,146,13520,13792,23,"0.%"
"2021-02-27",13794,"2021-03-22",146,146,13535,13805,23,"0.%"
"2021-02-28",13805,"2021-03-22",146,146,13548,13805,22,"0.%"
"2021-03-01",13814,"2021-03-23",146,146,13559,13822,22,"0.%"
"2021-03-02",13827,"2021-03-24",146,146,13572,13846,22,"0.%"
"2021-03-03",13838,"2021-03-24",146,146,13589,13846,21,"0.%"
"2021-03-04",13849,"2021-03-25",146,146,13607,13866,21,"0.%"
"2021-03-05",13859,"2021-03-25",146,146,13623,13866,20,"0.%"
"2021-03-06",13872,"2021-03-26",146,146,13636,13892,20,"0.%"
"2021-03-07",13886,"2021-03-26",146,146,13643,13892,19,"0.%"
"2021-03-08",13896,"2021-03-27",146,146,13652,13913,19,"0.%"
"2021-03-09",13902,"2021-03-27",146,146,13663,13913,18,"0.%"
"2021-03-10",13917,"2021-03-28",146,146,13672,13931,18,"0.%"
"2021-03-11",13935,"2021-03-29",146,146,13685,13956,18,"0.%"
"2021-03-12",13951,"2021-03-29",146,146,13697,13956,17,"0.%"
"2021-03-13",13966,"2021-03-30",146,146,13703,13987,17,"0.%"
"2021-03-14",13989,"2021-03-31",146,146,13714,14012,17,"0.%"
"2021-03-15",14006,"2021-03-31",146,146,13724,14012,16,"0.%"
"2021-03-16",14017,"2021-04-01",146,146,13737,14038,16,"0.%"
"2021-03-17",14029,"2021-04-01",146,146,13748,14038,15,"0.%"
"2021-03-18",14038,"2021-04-01",146,146,13757,14038,14,"0.%"
"2021-03-19",14051,"2021-04-02",146,146,13767,14063,14,"0.%"
"2021-03-20",14058,"2021-04-02",146,146,13780,14063,13,"0.%"
"2021-03-21",14072,"2021-04-03",146,146,13792,14089,13,"0.%"
"2021-03-22",14094,"2021-04-04",146,146,13805,14103,13,"0.%"
"2021-03-23",14124,"2021-04-05",146,146,13822,14150,13,"0.%"
"2021-03-24",14153,"2021-04-06",146,146,13846,14173,13,"0.%"
"2021-03-25",14184,"2021-04-07",146,146,13866,14190,13,"0.%"
"2021-03-26",14202,"2021-04-09",146,146,13892,14228,14,"0.%"
"2021-03-27",14234,"2021-04-10",146,146,13913,14237,14,"0.%"
"2021-03-28",14264,"2021-04-11",146,146,13931,14274,14,"0.%"
"2021-03-29",14303,"2021-04-13",146,147,13956,14363,15,".25%"
"2021-03-30",14328,"2021-04-13",146,147,13987,14363,14,".27%"
"2021-03-31",14364,"2021-04-14",146,147,14012,14437,14,".24%"
"2021-04-01",14396,"2021-04-14",146,147,14038,14437,13,".25%"
"2021-04-02",14437,"2021-04-14",146,147,14063,14437,12,".27%"
"2021-04-03",14486,"2021-04-16",146,148,14089,14531,13,".45%"
"2021-04-04",14513,"2021-04-16",146,148,14103,14531,12,".47%"
"2021-04-05",14549,"2021-04-17",146,148,14150,14611,12,".43%"
"2021-04-06",14587,"2021-04-17",146,148,14173,14611,11,".46%"
"2021-04-07",14646,"2021-04-18",146,148,14190,14682,11,".41%"
"2021-04-08",14692,"2021-04-19",146,148,14201,14788,11,".34%"
"2021-04-09",14762,"2021-04-19",146,148,14228,14788,10,".36%"
"2021-04-10",14843,"2021-04-20",146,148,14237,14863,10,".32%"
"2021-04-11",14952,"2021-04-22",146,148,14274,15036,11,".26%"
"2021-04-12",15061,"2021-04-23",146,149,14293,15130,11,".36%"
"2021-04-13",15148,"2021-04-24",147,149,14363,15318,11,".21%"
"2021-04-14",15305,"2021-04-24",147,149,14437,15318,10,".23%"
"2021-04-15",15449,"2021-04-25",148,150,14468,15531,10,".19%"
"2021-04-16",15584,"2021-04-26",148,152,14531,15772,10,".32%"
"2021-04-17",15727,"2021-04-26",148,152,14611,15772,9,".34%"
"2021-04-18",15934,"2021-04-27",148,153,14682,16006,9,".38%"
"2021-04-19",16175,"2021-04-28",148,155,14788,16305,9,".46%"
"2021-04-20",16388,"2021-04-29",148,156,14863,16614,9,".46%"
"2021-04-21",16663,"2021-04-30",148,157,14950,16892,9,".46%"
"2021-04-22",16886,"2021-04-30",148,157,15036,16892,8,".48%"
"2021-04-23",17209,"2021-05-01",149,162,15130,17254,8,".61%"
"2021-04-24",17599,"2021-05-02",149,163,15318,17693,8,".59%"
"2021-04-25",17912,"2021-05-03",150,163,15531,18249,8,".48%"
"2021-04-26",18416,"2021-05-04",152,163,15772,18820,8,".36%"
"2021-04-27",18823,"2021-05-05",153,164,16006,19430,8,".32%"
"2021-04-28",19265,"2021-05-05",155,164,16305,19430,7,".29%"
"2021-04-29",19741,"2021-05-06",156,164,16614,20029,7,".23%"
"2021-04-30",20251,"2021-05-07",157,167,16892,20476,7,".28%"
"2021-05-01",20629,"2021-05-08",162,168,17254,21028,7,".16%"
"2021-05-02",21177,"2021-05-09",163,169,17693,21586,7,".15%"
"2021-05-03",21829,"2021-05-10",163,170,18249,22264,7,".17%"
"2021-05-04",22400,"2021-05-11",163,173,18820,22814,7,".25%"
"2021-05-05",23028,"2021-05-12",164,175,19430,23382,7,".28%"
"2021-05-06",23611,"2021-05-13",164,176,20029,23963,7,".31%"
"2021-05-07",24252,"2021-05-14",167,182,20476,24582,7,".37%"
"2021-05-08",25028,"2021-05-15",168,184,21028,25219,7,".38%"
"2021-05-09",25713,"2021-05-16",169,186,21586,25863,7,".4%"
"2021-05-10",26471,"2021-05-18",170,197,22264,26959,8,".58%"
"2021-05-11",27396,"2021-05-19",173,206,22814,27772,8,".67%"
"2021-05-12",28358,"2021-05-20",175,212,23382,28561,8,".71%"
"2021-05-13",29266,"2021-05-21",176,222,23963,29383,8,".85%"
"2021-05-14",30047,"2021-05-22",182,232,24582,30374,8,".86%"
"2021-05-15",30877,"2021-05-23",184,236,25219,30999,8,".9%"
"2021-05-16",32112,"2021-05-25",186,261,25863,32828,9,"1.08%"
"2021-05-17",33201,"2021-05-26",194,275,26287,33863,9,"1.07%"
