"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",10815,"2021-04-09",107,107,10774,10815,20,"0.%"
"2021-03-21",10814,"2021-04-09",107,107,10775,10815,19,"0.%"
"2021-03-22",10813,"2021-04-08",107,107,10775,10813,17,"0.%"
"2021-03-23",10814,"2021-04-09",107,107,10775,10815,17,"0.%"
"2021-03-24",10817,"2021-04-10",107,107,10776,10819,17,"0.%"
"2021-03-25",10819,"2021-04-10",107,107,10778,10819,16,"0.%"
"2021-03-26",10825,"2021-04-12",107,107,10778,10840,17,"0.%"
"2021-03-27",10829,"2021-04-12",107,107,10778,10840,16,"0.%"
"2021-03-28",10831,"2021-04-12",107,107,10780,10840,15,"0.%"
"2021-03-29",10836,"2021-04-12",107,107,10783,10840,14,"0.%"
"2021-03-30",10839,"2021-04-12",107,107,10784,10840,13,"0.%"
"2021-03-31",10844,"2021-04-13",107,107,10785,10853,13,"0.%"
"2021-04-01",10854,"2021-04-14",107,107,10796,10863,13,"0.%"
"2021-04-02",10866,"2021-04-15",107,107,10803,10873,13,"0.%"
"2021-04-03",10875,"2021-04-16",107,107,10805,10887,13,"0.%"
"2021-04-04",10884,"2021-04-16",107,107,10806,10887,12,"0.%"
"2021-04-05",10908,"2021-04-18",107,107,10807,10943,13,"0.%"
"2021-04-06",10919,"2021-04-18",107,107,10808,10943,12,"0.%"
"2021-04-07",10943,"2021-04-18",107,107,10810,10943,11,"0.%"
"2021-04-08",10949,"2021-04-19",107,107,10813,10966,11,"0.%"
"2021-04-09",10974,"2021-04-20",107,107,10815,10988,11,"0.%"
"2021-04-10",10989,"2021-04-21",107,107,10819,11029,11,"0.%"
"2021-04-11",11035,"2021-04-22",107,107,10821,11064,11,"0.%"
"2021-04-12",11077,"2021-04-23",107,107,10840,11089,11,"0.%"
"2021-04-13",11104,"2021-04-24",107,107,10853,11164,11,"0.%"
"2021-04-14",11137,"2021-04-24",107,107,10863,11164,10,"0.%"
"2021-04-15",11173,"2021-04-25",107,107,10873,11221,10,"0.%"
"2021-04-16",11230,"2021-04-26",107,108,10887,11302,10,".24%"
"2021-04-17",11262,"2021-04-26",107,108,10896,11302,9,".25%"
"2021-04-18",11328,"2021-04-27",107,108,10943,11437,9,".2%"
"2021-04-19",11447,"2021-04-28",107,108,10966,11480,9,".19%"
"2021-04-20",11473,"2021-04-28",107,108,10988,11480,8,".2%"
"2021-04-21",11508,"2021-04-29",107,108,11029,11528,8,".2%"
"2021-04-22",11586,"2021-05-01",107,110,11064,11649,9,".51%"
"2021-04-23",11657,"2021-05-02",107,111,11089,11759,9,".6%"
"2021-04-24",11734,"2021-05-02",107,111,11164,11759,8,".67%"
"2021-04-25",11863,"2021-05-03",107,112,11221,12032,8,".62%"
"2021-04-26",12034,"2021-05-04",108,113,11302,12170,8,".58%"
"2021-04-27",12120,"2021-05-04",108,113,11437,12170,7,".68%"
"2021-04-28",12168,"2021-05-04",108,113,11480,12170,6,".72%"
"2021-04-29",12388,"2021-05-06",108,114,11528,12462,7,".64%"
"2021-04-30",12464,"2021-05-07",109,115,11576,12577,7,".6%"
"2021-05-01",12587,"2021-05-08",110,117,11649,12665,7,".69%"
"2021-05-02",12663,"2021-05-08",111,117,11759,12665,6,".66%"
"2021-05-03",12791,"2021-05-10",112,117,12032,12932,7,".56%"
"2021-05-04",12930,"2021-05-10",113,117,12170,12932,6,".52%"
"2021-05-05",13065,"2021-05-12",113,117,12320,13154,7,".48%"
"2021-05-06",13236,"2021-05-14",114,117,12462,13299,8,".36%"
"2021-05-07",13440,"2021-05-16",115,117,12577,13457,9,".23%"
"2021-05-08",13561,"2021-05-17",117,117,12665,13733,9,"0.%"
"2021-05-09",13845,"2021-05-18",117,117,12763,13992,9,"0.%"
"2021-05-10",14003,"2021-05-19",117,117,12932,14183,9,"0.%"
"2021-05-11",14430,"2021-05-22",117,120,13054,14493,11,".21%"
"2021-05-12",14574,"2021-05-23",117,120,13154,14740,11,".19%"
"2021-05-13",14724,"2021-05-23",117,120,13218,14740,10,".2%"
"2021-05-14",14904,"2021-05-24",117,120,13299,14967,10,".18%"
"2021-05-15",15217,"2021-05-25",117,125,13381,15332,10,".41%"
"2021-05-16",15739,"2021-05-28",117,128,13457,15962,12,".44%"
"2021-05-17",16118,"2021-05-29",117,128,13733,16241,12,".44%"
"2021-05-18",16393,"2021-05-30",117,129,13992,16401,12,".5%"
"2021-05-19",16758,"2021-06-01",117,138,14183,16827,13,".79%"
"2021-05-20",17157,"2021-06-03",118,142,14281,17486,14,".75%"
"2021-05-21",17458,"2021-06-03",119,142,14371,17486,13,".74%"
"2021-05-22",17725,"2021-06-04",120,143,14493,17854,13,".68%"
"2021-05-23",18148,"2021-06-05",120,143,14740,18166,13,".67%"
"2021-05-24",18486,"2021-06-06",120,146,14967,18545,13,".73%"
"2021-05-25",18866,"2021-06-07",125,150,15332,18903,13,".7%"
"2021-05-26",19290,"2021-06-09",127,160,15504,19674,14,".79%"
"2021-05-27",19726,"2021-06-10",127,168,15699,20045,14,".94%"
"2021-05-28",20066,"2021-06-11",128,171,15962,20458,14,".96%"
"2021-05-29",20413,"2021-06-11",128,171,16241,20458,13,"1.02%"
"2021-05-30",20722,"2021-06-12",129,175,16401,20993,13,"1.%"
"2021-05-31",21093,"2021-06-13",132,181,16615,21635,13,".98%"
"2021-06-01",21433,"2021-06-13",138,181,16827,21635,12,".89%"
"2021-06-02",21797,"2021-06-14",141,182,17154,22249,12,".8%"
"2021-06-03",22112,"2021-06-14",142,182,17486,22249,11,".84%"
"2021-06-04",22355,"2021-06-15",143,183,17854,22510,11,".86%"
"2021-06-05",22581,"2021-06-16",143,184,18166,22838,11,".88%"
"2021-06-06",22885,"2021-06-17",146,185,18545,23097,11,".86%"
