"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",7814,"2021-03-29",114,115,7714,7824,17,".91%"
"2021-03-13",7822,"2021-03-29",114,115,7716,7824,16,".93%"
"2021-03-14",7828,"2021-03-30",114,115,7718,7841,16,".81%"
"2021-03-15",7833,"2021-03-30",114,115,7720,7841,15,".83%"
"2021-03-16",7838,"2021-03-30",114,115,7724,7841,14,".85%"
"2021-03-17",7847,"2021-03-31",114,115,7727,7852,14,".8%"
"2021-03-18",7855,"2021-04-01",114,115,7729,7865,14,".74%"
"2021-03-19",7865,"2021-04-01",114,115,7732,7865,13,".75%"
"2021-03-20",7878,"2021-04-02",114,115,7736,7881,13,".69%"
"2021-03-21",7896,"2021-04-04",114,115,7741,7916,14,".57%"
"2021-03-22",7904,"2021-04-04",114,115,7748,7916,13,".6%"
"2021-03-23",7914,"2021-04-04",114,115,7757,7916,12,".63%"
"2021-03-24",7934,"2021-04-05",114,115,7762,7938,12,".57%"
"2021-03-25",7944,"2021-04-06",114,115,7768,7959,12,".52%"
"2021-03-26",7962,"2021-04-07",115,115,7774,7982,12,"0.%"
"2021-03-27",7982,"2021-04-07",115,115,7790,7982,11,"0.%"
"2021-03-28",8003,"2021-04-08",115,115,7809,8008,11,"0.%"
"2021-03-29",8028,"2021-04-09",115,115,7824,8038,11,"0.%"
"2021-03-30",8048,"2021-04-10",115,115,7841,8072,11,"0.%"
"2021-03-31",8075,"2021-04-11",115,115,7852,8107,11,"0.%"
"2021-04-01",8106,"2021-04-11",115,115,7865,8107,10,"0.%"
"2021-04-02",8153,"2021-04-13",115,115,7881,8195,11,"0.%"
"2021-04-03",8200,"2021-04-14",115,115,7893,8242,11,"0.%"
"2021-04-04",8244,"2021-04-15",115,115,7916,8264,11,"0.%"
"2021-04-05",8293,"2021-04-16",115,116,7938,8311,11,".27%"
"2021-04-06",8327,"2021-04-17",115,116,7959,8374,11,".24%"
"2021-04-07",8376,"2021-04-18",115,116,7982,8436,11,".22%"
"2021-04-08",8437,"2021-04-19",115,116,8008,8566,11,".18%"
"2021-04-09",8533,"2021-04-19",115,116,8038,8566,10,".19%"
"2021-04-10",8629,"2021-04-20",115,116,8072,8699,10,".16%"
"2021-04-11",8763,"2021-04-21",115,117,8107,8815,10,".28%"
"2021-04-12",8882,"2021-04-22",115,118,8131,8905,10,".39%"
"2021-04-13",8937,"2021-04-23",115,119,8195,9036,10,".48%"
"2021-04-14",9093,"2021-04-24",115,119,8242,9200,10,".42%"
"2021-04-15",9256,"2021-04-25",115,121,8264,9373,10,".54%"
"2021-04-16",9427,"2021-04-26",116,121,8311,9700,10,".36%"
"2021-04-17",9621,"2021-04-26",116,121,8374,9700,9,".38%"
"2021-04-18",9854,"2021-04-27",116,122,8436,10083,9,".36%"
"2021-04-19",10144,"2021-04-28",116,123,8566,10363,9,".39%"
"2021-04-20",10326,"2021-04-28",116,123,8699,10363,8,".42%"
"2021-04-21",10585,"2021-04-29",117,123,8815,10631,8,".33%"
"2021-04-22",10904,"2021-05-01",118,125,8905,11324,9,".29%"
"2021-04-23",11276,"2021-05-01",119,125,9036,11324,8,".26%"
"2021-04-24",11597,"2021-05-02",119,127,9200,11766,8,".31%"
"2021-04-25",11868,"2021-05-03",121,128,9373,12303,8,".24%"
"2021-04-26",12352,"2021-05-04",121,129,9700,12854,8,".25%"
"2021-04-27",12781,"2021-05-04",122,129,10083,12854,7,".25%"
"2021-04-28",13236,"2021-05-05",123,134,10363,13435,7,".36%"
"2021-04-29",13611,"2021-05-06",123,134,10631,14019,7,".32%"
"2021-04-30",14124,"2021-05-07",124,136,10901,14512,7,".33%"
"2021-05-01",14551,"2021-05-08",125,140,11324,15022,7,".41%"
"2021-05-02",15055,"2021-05-09",127,143,11766,15535,7,".42%"
"2021-05-03",15499,"2021-05-09",128,143,12303,15535,6,".46%"
"2021-05-04",15807,"2021-05-11",129,147,12854,15905,7,".59%"
"2021-05-05",16132,"2021-05-13",134,149,13435,16244,8,".53%"
"2021-05-06",16532,"2021-05-14",134,152,14019,16566,8,".71%"
"2021-05-07",17041,"2021-05-17",136,155,14512,17193,10,".71%"
"2021-05-08",17470,"2021-05-19",140,161,15022,17777,11,".76%"
"2021-05-09",17960,"2021-05-20",143,166,15535,18240,11,".85%"
"2021-05-10",18857,"2021-05-23",147,173,15795,18863,13,".85%"
"2021-05-11",19341,"2021-05-24",147,177,15905,20035,13,".73%"
"2021-05-12",19842,"2021-05-24",148,177,16036,20035,12,".73%"
"2021-05-13",20458,"2021-05-25",149,179,16244,21657,12,".55%"
"2021-05-14",21175,"2021-05-25",152,179,16566,21657,11,".53%"
"2021-05-15",21852,"2021-05-26",154,180,16814,22475,11,".46%"
"2021-05-16",22543,"2021-05-27",154,183,16926,23556,11,".44%"
"2021-05-17",23262,"2021-05-27",155,183,17193,23556,10,".44%"
"2021-05-18",23874,"2021-05-28",157,185,17444,24788,10,".38%"
"2021-05-19",24593,"2021-05-28",161,185,17777,24788,9,".34%"
"2021-05-20",25321,"2021-05-29",166,185,18240,25866,9,".25%"
"2021-05-21",26062,"2021-05-30",169,191,18540,26603,9,".27%"
"2021-05-22",26843,"2021-05-31",171,196,18651,27240,9,".29%"
"2021-05-23",27655,"2021-06-01",173,199,18863,28093,9,".28%"
"2021-05-24",28489,"2021-06-02",177,204,20035,28925,9,".3%"
"2021-05-25",29278,"2021-06-03",179,209,21657,29813,9,".37%"
"2021-05-26",29949,"2021-06-04",180,215,22475,30456,9,".44%"
"2021-05-27",30417,"2021-06-04",183,215,23556,30456,8,".46%"
"2021-05-28",30903,"2021-06-05",185,220,24788,30905,8,".57%"
"2021-05-29",31400,"2021-06-07",185,229,25866,31677,9,".76%"
"2021-05-30",31889,"2021-06-08",191,232,26603,32003,9,".76%"
"2021-05-31",32347,"2021-06-09",196,242,27240,32629,9,".85%"
"2021-06-01",32774,"2021-06-10",199,252,28093,33311,9,"1.02%"
"2021-06-02",33255,"2021-06-10",204,252,28925,33311,8,"1.09%"
"2021-06-03",33671,"2021-06-11",209,253,29813,33716,8,"1.13%"
"2021-06-04",34048,"2021-06-12",215,256,30456,34088,8,"1.13%"
"2021-06-05",34407,"2021-06-14",220,258,30905,34811,9,".97%"
