"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",8398,"2021-04-04",133,140,8163,8431,15,"2.61%"
"2021-03-21",8418,"2021-04-04",134,140,8176,8431,14,"2.35%"
"2021-03-22",8433,"2021-04-05",134,141,8183,8458,14,"2.55%"
"2021-03-23",8454,"2021-04-05",135,141,8193,8458,13,"2.26%"
"2021-03-24",8484,"2021-04-06",134,141,8207,8503,13,"2.36%"
"2021-03-25",8497,"2021-04-06",134,141,8216,8503,12,"2.44%"
"2021-03-26",8530,"2021-04-07",134,142,8226,8558,12,"2.41%"
"2021-03-27",8579,"2021-04-08",134,142,8248,8613,12,"2.19%"
"2021-03-28",8633,"2021-04-09",134,143,8268,8646,12,"2.38%"
"2021-03-29",8689,"2021-04-10",135,145,8281,8696,12,"2.41%"
"2021-03-30",8750,"2021-04-11",136,145,8298,8761,12,"1.94%"
"2021-03-31",8792,"2021-04-12",138,147,8319,8822,12,"1.79%"
"2021-04-01",8841,"2021-04-13",139,147,8348,8889,12,"1.48%"
"2021-04-02",8899,"2021-04-14",139,148,8365,8960,12,"1.51%"
"2021-04-03",8962,"2021-04-15",140,151,8394,9046,12,"1.69%"
"2021-04-04",9042,"2021-04-15",140,151,8431,9046,11,"1.79%"
"2021-04-05",9109,"2021-04-16",141,153,8458,9140,11,"1.76%"
"2021-04-06",9190,"2021-04-17",141,153,8503,9242,11,"1.62%"
"2021-04-07",9252,"2021-04-18",142,155,8558,9365,11,"1.61%"
"2021-04-08",9371,"2021-04-19",142,155,8613,9509,11,"1.45%"
"2021-04-09",9495,"2021-04-19",143,155,8646,9509,10,"1.39%"
"2021-04-10",9639,"2021-04-20",145,157,8696,9657,10,"1.25%"
"2021-04-11",9802,"2021-04-22",145,160,8761,9894,11,"1.32%"
"2021-04-12",9929,"2021-04-23",147,160,8822,10050,11,"1.06%"
"2021-04-13",10051,"2021-04-24",147,162,8889,10227,11,"1.12%"
"2021-04-14",10209,"2021-04-24",148,162,8960,10227,10,"1.1%"
"2021-04-15",10345,"2021-04-25",151,163,9046,10359,10,".91%"
"2021-04-16",10475,"2021-04-26",153,164,9140,10630,10,".74%"
"2021-04-17",10553,"2021-04-26",153,164,9242,10630,9,".79%"
"2021-04-18",10781,"2021-04-27",155,164,9365,10792,9,".63%"
"2021-04-19",10909,"2021-04-28",155,164,9509,10946,9,".63%"
"2021-04-20",11021,"2021-04-29",157,164,9657,11098,9,".49%"
"2021-04-21",11120,"2021-04-30",158,165,9795,11260,9,".48%"
"2021-04-22",11318,"2021-05-01",160,165,9894,11444,9,".32%"
"2021-04-23",11495,"2021-05-02",160,167,10050,11651,9,".44%"
"2021-04-24",11615,"2021-05-02",162,167,10227,11651,8,".35%"
"2021-04-25",11799,"2021-05-03",163,171,10359,11868,8,".53%"
"2021-04-26",11982,"2021-05-04",164,173,10630,12223,8,".56%"
"2021-04-27",12333,"2021-05-05",164,175,10792,12612,8,".6%"
"2021-04-28",12617,"2021-05-06",164,177,10946,12925,8,".66%"
"2021-04-29",12882,"2021-05-06",164,177,11098,12925,7,".71%"
"2021-04-30",13046,"2021-05-07",165,180,11260,13191,7,".78%"
"2021-05-01",13283,"2021-05-08",165,182,11444,13353,7,".89%"
"2021-05-02",13447,"2021-05-09",167,187,11651,13528,7,"1.07%"
"2021-05-03",13683,"2021-05-10",171,189,11868,13997,7,".85%"
"2021-05-04",14072,"2021-05-11",173,201,12223,14382,7,"1.3%"
