"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",11478,"2021-03-26",156,157,11420,11487,14,"1.49%"
"2021-03-13",11480,"2021-03-26",156,157,11425,11487,13,"1.61%"
"2021-03-14",11484,"2021-03-26",156,157,11429,11487,12,"1.72%"
"2021-03-15",11493,"2021-03-27",156,159,11432,11499,12,"4.48%"
"2021-03-16",11499,"2021-03-27",156,159,11437,11499,11,"4.84%"
"2021-03-17",11510,"2021-03-29",156,159,11441,11515,12,"4.05%"
"2021-03-18",11515,"2021-03-29",156,159,11444,11515,11,"4.23%"
"2021-03-19",11523,"2021-03-31",156,159,11446,11527,12,"3.7%"
"2021-03-20",11525,"2021-03-31",156,159,11449,11527,11,"3.85%"
"2021-03-21",11530,"2021-04-01",157,159,11452,11535,11,"2.41%"
"2021-03-22",11534,"2021-04-01",157,159,11453,11535,10,"2.44%"
"2021-03-23",11537,"2021-04-02",157,159,11457,11542,10,"2.35%"
"2021-03-24",11547,"2021-04-03",157,159,11467,11555,10,"2.27%"
"2021-03-25",11555,"2021-04-03",157,159,11476,11555,9,"2.53%"
"2021-03-26",11570,"2021-04-05",157,159,11487,11580,10,"2.15%"
"2021-03-27",11586,"2021-04-06",159,159,11499,11596,10,"0.%"
"2021-03-28",11598,"2021-04-07",159,159,11507,11604,10,"0.%"
"2021-03-29",11616,"2021-04-08",159,159,11515,11622,10,"0.%"
"2021-03-30",11630,"2021-04-09",159,159,11520,11639,10,"0.%"
"2021-03-31",11652,"2021-04-10",159,159,11527,11661,10,"0.%"
"2021-04-01",11669,"2021-04-11",159,159,11535,11674,10,"0.%"
"2021-04-02",11688,"2021-04-13",159,159,11542,11700,11,"0.%"
"2021-04-03",11703,"2021-04-14",159,159,11555,11725,11,"0.%"
"2021-04-04",11737,"2021-04-16",159,159,11569,11753,12,"0.%"
"2021-04-05",11760,"2021-04-17",159,159,11580,11778,12,"0.%"
"2021-04-06",11783,"2021-04-18",159,159,11596,11802,12,"0.%"
"2021-04-07",11809,"2021-04-19",159,159,11604,11844,12,"0.%"
"2021-04-08",11830,"2021-04-19",159,159,11622,11844,11,"0.%"
"2021-04-09",11874,"2021-04-20",159,159,11639,11912,11,"0.%"
"2021-04-10",11899,"2021-04-20",159,159,11661,11912,10,"0.%"
"2021-04-11",11942,"2021-04-21",159,159,11674,11957,10,"0.%"
"2021-04-12",11987,"2021-04-22",159,159,11678,12000,10,"0.%"
"2021-04-13",12028,"2021-04-23",159,159,11700,12051,10,"0.%"
"2021-04-14",12078,"2021-04-24",159,159,11725,12116,10,"0.%"
"2021-04-15",12141,"2021-04-25",159,159,11730,12191,10,"0.%"
"2021-04-16",12188,"2021-04-25",159,159,11753,12191,9,"0.%"
"2021-04-17",12249,"2021-04-26",159,159,11778,12284,9,"0.%"
"2021-04-18",12310,"2021-04-27",159,159,11802,12369,9,"0.%"
"2021-04-19",12396,"2021-04-28",159,161,11844,12490,9,".31%"
"2021-04-20",12486,"2021-04-28",159,161,11912,12490,8,".35%"
"2021-04-21",12549,"2021-04-29",159,162,11957,12585,8,".48%"
"2021-04-22",12629,"2021-04-30",159,162,12000,12655,8,".46%"
"2021-04-23",12735,"2021-05-01",159,162,12051,12769,8,".42%"
"2021-04-24",12829,"2021-05-02",159,162,12116,12898,8,".38%"
"2021-04-25",12945,"2021-05-03",159,162,12191,13050,8,".35%"
"2021-04-26",13069,"2021-05-04",159,162,12284,13146,8,".35%"
"2021-04-27",13141,"2021-05-04",159,162,12369,13146,7,".39%"
"2021-04-28",13239,"2021-05-05",161,163,12490,13255,7,".26%"
"2021-04-29",13347,"2021-05-06",162,165,12585,13368,7,".38%"
"2021-04-30",13496,"2021-05-07",162,166,12655,13499,7,".47%"
"2021-05-01",13660,"2021-05-09",162,167,12769,13811,8,".48%"
"2021-05-02",13825,"2021-05-10",162,168,12898,13999,8,".54%"
"2021-05-03",13934,"2021-05-10",162,168,13050,13999,7,".63%"
"2021-05-04",14010,"2021-05-11",162,168,13146,14153,7,".6%"
"2021-05-05",14170,"2021-05-12",163,170,13255,14325,7,".65%"
"2021-05-06",14361,"2021-05-13",165,170,13368,14452,7,".46%"
"2021-05-07",14529,"2021-05-14",166,170,13499,14560,7,".38%"
"2021-05-08",14749,"2021-05-16",167,171,13645,14852,8,".33%"
"2021-05-09",14992,"2021-05-17",167,173,13811,15139,8,".45%"
"2021-05-10",15233,"2021-05-18",168,175,13999,15368,8,".51%"
"2021-05-11",15418,"2021-05-19",168,179,14153,15578,8,".77%"
"2021-05-12",15680,"2021-05-20",170,180,14325,15806,8,".68%"
"2021-05-13",15975,"2021-05-22",170,185,14452,16148,9,".88%"
"2021-05-14",16321,"2021-05-23",170,188,14560,16363,9,"1.%"
"2021-05-15",16679,"2021-05-25",170,191,14702,16841,10,".98%"
"2021-05-16",17011,"2021-05-26",171,192,14852,17212,10,".89%"
"2021-05-17",17416,"2021-05-27",173,192,15139,17440,10,".83%"
"2021-05-18",17640,"2021-05-28",175,194,15368,17749,10,".8%"
"2021-05-19",18061,"2021-05-30",179,203,15578,18193,11,".92%"
"2021-05-20",18507,"2021-05-31",180,206,15806,18776,11,".88%"
"2021-05-21",18932,"2021-06-01",182,207,15919,19230,11,".76%"
"2021-05-22",19332,"2021-06-02",185,209,16148,19748,11,".67%"
"2021-05-23",19751,"2021-06-03",188,216,16363,20521,11,".67%"
"2021-05-24",20145,"2021-06-03",191,216,16572,20521,10,".63%"
"2021-05-25",20495,"2021-06-03",191,216,16841,20521,9,".68%"
"2021-05-26",20818,"2021-06-04",192,223,17212,21068,9,".8%"
"2021-05-27",21202,"2021-06-05",192,231,17440,21467,9,".97%"
"2021-05-28",21627,"2021-06-06",194,238,17749,21751,9,"1.1%"
"2021-05-29",21973,"2021-06-08",198,250,17950,22275,10,"1.2%"
"2021-05-30",22299,"2021-06-09",203,250,18193,22596,10,"1.07%"
"2021-05-31",22634,"2021-06-10",206,256,18776,22902,10,"1.21%"
