"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-07",15911,"2021-02-24",185,187,15825,15912,17,"2.3%"
"2021-02-08",15915,"2021-02-25",186,187,15836,15917,17,"1.23%"
"2021-02-09",15918,"2021-02-26",186,187,15838,15923,17,"1.18%"
"2021-02-10",15920,"2021-02-26",186,187,15842,15923,16,"1.23%"
"2021-02-11",15927,"2021-02-27",186,187,15844,15927,16,"1.2%"
"2021-02-12",15937,"2021-03-02",187,187,15849,15942,18,"0.%"
"2021-02-13",15946,"2021-03-03",187,187,15855,15947,18,"0.%"
"2021-02-14",15952,"2021-03-05",187,187,15864,15956,19,"0.%"
"2021-02-15",15957,"2021-03-06",187,187,15871,15958,19,"0.%"
"2021-02-16",15957,"2021-03-06",187,187,15874,15958,18,"0.%"
"2021-02-17",15962,"2021-03-09",187,187,15878,15962,20,"0.%"
"2021-02-18",15965,"2021-03-12",187,187,15881,15966,22,"0.%"
"2021-02-19",15966,"2021-03-12",187,187,15886,15966,21,"0.%"
"2021-02-20",15967,"2021-03-13",187,187,15889,15968,21,"0.%"
"2021-02-21",15969,"2021-03-14",187,187,15895,15970,21,"0.%"
"2021-02-22",15974,"2021-03-16",187,187,15902,15974,22,"0.%"
"2021-02-23",15975,"2021-03-17",187,187,15908,15977,22,"0.%"
"2021-02-24",15983,"2021-03-20",187,188,15912,15984,24,"1.39%"
"2021-02-25",15985,"2021-03-21",187,188,15917,15987,24,"1.43%"
"2021-02-26",15999,"2021-03-23",187,188,15923,16001,25,"1.28%"
"2021-02-27",16004,"2021-03-24",187,188,15927,16005,25,"1.28%"
"2021-02-28",16006,"2021-03-27",187,188,15932,16015,27,"1.2%"
"2021-03-01",16007,"2021-03-27",187,188,15936,16015,26,"1.27%"
"2021-03-02",16010,"2021-03-27",187,188,15942,16015,25,"1.37%"
"2021-03-03",16011,"2021-03-27",187,188,15947,16015,24,"1.47%"
"2021-03-04",16014,"2021-03-27",187,188,15950,16015,23,"1.54%"
"2021-03-05",16015,"2021-03-27",187,188,15956,16015,22,"1.69%"
"2021-03-06",16017,"2021-03-28",187,188,15958,16024,22,"1.52%"
