"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",6713,"2021-04-03",127,127,6619,6723,14,"0.%"
"2021-03-21",6724,"2021-04-04",127,127,6623,6740,14,"0.%"
"2021-03-22",6736,"2021-04-04",127,127,6628,6740,13,"0.%"
"2021-03-23",6743,"2021-04-05",127,127,6636,6753,13,"0.%"
"2021-03-24",6748,"2021-04-05",127,127,6642,6753,12,"0.%"
"2021-03-25",6758,"2021-04-06",127,127,6648,6765,12,"0.%"
"2021-03-26",6770,"2021-04-07",127,127,6652,6786,12,"0.%"
"2021-03-27",6789,"2021-04-08",127,127,6660,6801,12,"0.%"
"2021-03-28",6799,"2021-04-08",127,127,6667,6801,11,"0.%"
"2021-03-29",6811,"2021-04-10",127,127,6675,6817,12,"0.%"
"2021-03-30",6832,"2021-04-11",127,128,6686,6843,12,".64%"
"2021-03-31",6847,"2021-04-12",127,128,6695,6861,12,".6%"
"2021-04-01",6865,"2021-04-13",127,128,6701,6886,12,".54%"
"2021-04-02",6894,"2021-04-14",127,128,6711,6898,12,".53%"
"2021-04-03",6912,"2021-04-15",127,128,6723,6929,12,".49%"
"2021-04-04",6935,"2021-04-16",127,129,6740,6962,12,".9%"
"2021-04-05",6946,"2021-04-16",127,129,6753,6962,11,".96%"
"2021-04-06",6975,"2021-04-17",127,129,6765,7002,11,".84%"
"2021-04-07",6985,"2021-04-17",127,129,6786,7002,10,".93%"
"2021-04-08",7030,"2021-04-18",127,129,6801,7036,10,".85%"
"2021-04-09",7088,"2021-04-20",127,129,6804,7134,11,".61%"
"2021-04-10",7127,"2021-04-20",127,129,6817,7134,10,".63%"
"2021-04-11",7187,"2021-04-21",128,129,6843,7203,10,".28%"
"2021-04-12",7259,"2021-04-23",128,129,6861,7278,11,".24%"
"2021-04-13",7284,"2021-04-24",128,130,6886,7335,11,".45%"
"2021-04-14",7323,"2021-04-24",128,130,6898,7335,10,".46%"
"2021-04-15",7378,"2021-04-25",128,130,6929,7400,10,".42%"
"2021-04-16",7419,"2021-04-26",129,130,6962,7475,10,".19%"
"2021-04-17",7482,"2021-04-27",129,130,7002,7503,10,".2%"
"2021-04-18",7529,"2021-04-28",129,130,7036,7581,10,".18%"
"2021-04-19",7568,"2021-04-28",129,130,7078,7581,9,".2%"
"2021-04-20",7610,"2021-04-29",129,130,7134,7645,9,".2%"
"2021-04-21",7670,"2021-04-30",129,132,7203,7686,9,".62%"
"2021-04-22",7715,"2021-05-01",129,133,7242,7754,9,".78%"
"2021-04-23",7794,"2021-05-02",129,134,7278,7841,9,".89%"
"2021-04-24",7868,"2021-05-03",130,136,7335,7998,9,".9%"
"2021-04-25",7938,"2021-05-03",130,136,7400,7998,8,"1.%"
"2021-04-26",8040,"2021-05-04",130,136,7475,8106,8,".95%"
"2021-04-27",8113,"2021-05-05",130,136,7503,8196,8,".87%"
"2021-04-28",8189,"2021-05-05",130,136,7581,8196,7,".98%"
"2021-04-29",8290,"2021-05-06",130,136,7645,8299,7,".92%"
"2021-04-30",8416,"2021-05-07",132,136,7686,8425,7,".54%"
"2021-05-01",8526,"2021-05-08",133,136,7754,8585,7,".36%"
"2021-05-02",8650,"2021-05-09",134,136,7841,8746,7,".22%"
"2021-05-03",8777,"2021-05-10",136,137,7998,8857,7,".12%"
"2021-05-04",8907,"2021-05-11",136,138,8106,8989,7,".23%"
"2021-05-05",9050,"2021-05-12",136,139,8196,9068,7,".34%"
"2021-05-06",9183,"2021-05-14",136,141,8299,9248,8,".53%"
"2021-05-07",9290,"2021-05-15",136,142,8425,9379,8,".63%"
"2021-05-08",9429,"2021-05-16",136,142,8585,9518,8,".64%"
"2021-05-09",9556,"2021-05-17",136,143,8746,9691,8,".74%"
"2021-05-10",9757,"2021-05-18",137,145,8857,9915,8,".76%"
"2021-05-11",9972,"2021-05-19",138,145,8989,10113,8,".62%"
"2021-05-12",10164,"2021-05-20",139,145,9068,10327,8,".48%"
"2021-05-13",10378,"2021-05-21",139,146,9133,10512,8,".51%"
"2021-05-14",10601,"2021-05-22",141,146,9248,10743,8,".33%"
"2021-05-15",10844,"2021-05-23",142,147,9379,10864,8,".34%"
"2021-05-16",11070,"2021-05-26",142,152,9518,11213,10,".59%"
"2021-05-17",11297,"2021-05-27",143,156,9691,11388,10,".77%"
"2021-05-18",11476,"2021-05-28",145,157,9915,11577,10,".72%"
"2021-05-19",11691,"2021-05-29",145,159,10113,11807,10,".83%"
"2021-05-20",11923,"2021-05-30",145,159,10327,12063,10,".81%"
"2021-05-21",12136,"2021-05-31",146,161,10512,12217,10,".88%"
"2021-05-22",12299,"2021-06-01",146,161,10743,12420,10,".89%"
"2021-05-23",12514,"2021-06-02",147,161,10864,12650,10,".78%"
"2021-05-24",12729,"2021-06-03",153,162,10955,12855,10,".47%"
"2021-05-25",13047,"2021-06-04",153,167,11041,13124,10,".67%"
"2021-05-26",13282,"2021-06-05",152,168,11213,13330,10,".76%"
"2021-05-27",13448,"2021-06-06",156,175,11388,13521,10,".89%"
"2021-05-28",13663,"2021-06-07",157,175,11577,13708,10,".84%"
"2021-05-29",13867,"2021-06-08",159,176,11807,13917,10,".81%"
"2021-05-30",14085,"2021-06-10",159,178,12063,14213,11,".88%"
"2021-05-31",14243,"2021-06-11",161,179,12217,14429,11,".81%"
"2021-06-01",14475,"2021-06-12",161,181,12420,14612,11,".91%"
"2021-06-02",14687,"2021-06-13",161,181,12650,14957,11,".87%"
"2021-06-03",14849,"2021-06-13",162,181,12855,14957,10,".9%"
"2021-06-04",15036,"2021-06-14",167,182,13124,15195,10,".72%"
"2021-06-05",15182,"2021-06-14",168,182,13330,15195,9,".75%"
"2021-06-06",15310,"2021-06-15",175,186,13521,15342,9,".6%"
"2021-06-07",15418,"2021-06-16",175,186,13708,15430,9,".64%"
"2021-06-08",15558,"2021-06-17",176,186,13917,15566,9,".61%"
